prec_id,amer_indian,asian,black,hispanic,other,polyracial,white
alamance_03C,1,13,25,11,40,9,52
alamance_03N,3,17,34,21,41,10,58
alamance_03N2,0,0,2,1,5,0,19
alamance_03S,7,28,37,45,54,11,55
alamance_03W,7,5,32,17,29,5,55
alamance_06E,10,6,43,25,21,8,52
alamance_06N,5,3,44,27,38,9,52
alamance_06S,5,10,36,19,40,3,54
alamance_06W,1,2,35,17,13,3,47
alamance_08N,4,6,34,25,36,7,53
alamance_08S,4,2,22,10,19,3,51
alamance_09N,3,4,32,8,18,4,50
alamance_09S,10,10,37,35,52,14,55
alamance_1,2,3,30,13,23,9,57
alamance_103,3,5,28,22,27,5,56
alamance_10N,4,6,33,25,33,5,56
alamance_10S,8,14,43,44,51,18,61
alamance_11,6,1,46,15,30,6,54
alamance_1210,3,10,35,22,31,5,51
alamance_124,1,3,34,16,21,6,52
alamance_125,3,14,27,17,31,3,52
alamance_126,1,3,18,10,26,6,51
alamance_127,6,8,44,37,47,11,52
alamance_128,2,9,41,31,34,9,48
alamance_129,2,12,20,15,23,3,49
alamance_12E,7,5,39,30,30,7,49
alamance_12N,9,4,53,35,47,12,48
alamance_12S,1,7,34,25,23,7,47
alamance_12W,3,4,30,13,28,3,54
alamance_13,6,5,41,26,30,12,50
alamance_2,7,3,18,10,32,3,54
alamance_35,9,8,34,26,38,19,61
alamance_4,2,2,37,9,28,8,60
alamance_5,4,0,27,5,25,1,49
alamance_63,5,8,37,36,36,9,48
alamance_64,7,15,36,28,42,10,56
alamance_7,5,6,27,21,21,7,53
alexander_,0,0,7,0,0,0,16
alexander_B1,0,13,11,3,17,3,59
alexander_B2,3,12,8,14,21,2,61
alexander_E,2,2,23,4,10,0,58
alexander_G1,2,0,1,0,5,0,47
alexander_G2,1,0,15,2,6,1,47
alexander_L,1,4,21,3,5,0,50
alexander_M,1,10,24,14,11,3,53
alexander_S1,4,2,20,19,13,4,56
alexander_S2,1,1,16,1,2,3,50
alexander_SL,0,0,2,4,1,0,47
alexander_T1,3,9,17,11,9,1,53
alexander_T2,3,3,30,14,13,4,49
alexander_T3,0,4,15,6,5,3,50
alexander_T4,0,6,30,8,10,3,54
alexander_T5,1,3,19,9,7,0,51
alexander_W,2,2,4,7,12,1,52
alleghany_,0,0,0,0,0,0,5
alleghany_1,0,0,5,5,11,1,53
alleghany_2,0,0,1,2,1,0,35
alleghany_3,6,2,14,30,23,3,55
alleghany_4,1,0,5,7,14,2,51
alleghany_5,0,0,1,16,8,0,49
alleghany_6,0,0,2,1,4,0,43
alleghany_7,1,0,0,3,4,1,45
anson_,0,0,22,0,0,0,15
anson_ANS,2,1,36,2,11,6,51
anson_BURN,8,5,27,1,13,0,55
anson_GULL,2,0,36,1,11,2,45
anson_LILE,5,2,43,2,10,2,51
anson_MM,2,0,36,3,13,2,41
anson_PEAC,2,11,27,0,19,0,55
anson_POLK,1,4,34,0,10,4,49
anson_W1,5,8,45,4,21,8,49
anson_W2,3,2,46,8,19,2,49
anson_W3,6,11,40,3,20,3,54
anson_WS,0,1,24,1,6,0,36
ashe_,0,0,0,0,0,0,16
ashe_10,0,0,0,3,3,0,32
ashe_11,0,0,13,6,16,0,52
ashe_12,0,1,0,0,8,0,44
ashe_13,0,4,3,5,11,0,44
ashe_14,2,4,4,8,9,1,51
ashe_15,1,1,2,0,4,0,46
ashe_16,0,2,9,5,21,0,54
ashe_17,0,0,0,0,5,0,48
ashe_18,1,1,1,0,0,0,27
ashe_2,3,1,3,4,8,0,49
ashe_20,4,6,11,26,23,1,55
ashe_3,0,1,0,0,2,0,40
ashe_4,0,0,0,1,6,0,43
ashe_6,0,0,0,0,3,0,38
ashe_7,0,0,0,1,4,0,40
ashe_8,0,0,0,1,2,0,35
ashe_9,3,2,17,16,17,3,53
avery_,0,0,0,0,1,0,13
avery_1,3,2,2,5,7,0,44
avery_10,1,0,0,2,10,0,46
avery_11,0,0,1,0,7,1,42
avery_12,0,0,0,1,3,0,37
avery_13,0,0,0,0,2,0,43
avery_14,0,1,4,2,5,1,44
avery_15,3,0,1,6,4,1,46
avery_16,0,0,0,2,16,0,49
avery_17,0,0,8,2,5,0,42
avery_18,1,0,0,0,3,0,36
avery_19,2,0,0,2,3,0,36
avery_2,3,3,18,15,41,4,56
avery_3,4,0,0,2,8,3,42
avery_4,0,0,0,0,1,0,31
avery_5,0,0,0,1,2,0,39
avery_6,0,1,2,4,6,0,42
avery_7,0,0,4,1,3,0,26
avery_8,0,0,0,0,5,0,37
avery_9,1,0,1,0,5,0,36
beaufort_,0,0,12,0,1,0,13
beaufort_AUROR,4,0,43,2,12,5,49
beaufort_BEADM,1,0,23,3,18,2,52
beaufort_BELHV,1,0,41,3,10,2,50
beaufort_BLCK,2,0,29,3,9,1,52
beaufort_CHOCO,3,3,45,18,43,6,61
beaufort_EDWAR,2,1,31,2,13,2,48
beaufort_GILEA,1,4,27,1,14,3,54
beaufort_HB,1,0,18,1,11,0,51
beaufort_NCRK,1,0,22,2,10,4,49
beaufort_OLDF,1,1,35,9,10,2,48
beaufort_PANTE,1,2,36,0,6,2,48
beaufort_PINET,0,0,18,3,13,1,48
beaufort_PSJW3,3,5,48,11,21,2,47
beaufort_RVRD,2,0,40,17,17,2,56
beaufort_SURBA,1,2,23,4,13,0,51
beaufort_TCRK,1,4,38,9,24,2,60
beaufort_WASH1,0,5,45,7,19,2,50
beaufort_WASH2,1,1,43,4,21,0,50
beaufort_WASH4,1,1,40,14,23,7,53
beaufort_WASHP,0,0,29,8,16,3,53
beaufort_WDPD,5,0,23,7,7,0,54
bertie_,0,0,15,0,0,0,11
bertie_C1,1,0,38,3,18,1,52
bertie_C2,1,0,47,1,25,6,46
bertie_IW,0,0,33,0,7,3,18
bertie_M1,1,1,29,0,7,2,46
bertie_M2,0,0,37,2,24,2,44
bertie_MH,0,0,32,0,7,1,44
bertie_RX,3,0,41,2,22,4,40
bertie_SN,1,0,39,0,13,4,38
bertie_W1,6,1,48,5,39,14,52
bertie_W2,2,0,6,0,8,0,45
bertie_WD,1,0,41,3,21,3,30
bertie_WH,1,0,41,2,11,2,48
bladen_P10,1,4,25,1,4,0,44
bladen_P15,10,6,37,20,27,2,52
bladen_P201,5,3,27,3,13,2,48
bladen_P202,7,4,35,6,18,5,49
bladen_P25,9,5,35,4,13,2,50
bladen_P30,30,21,42,1,15,1,34
bladen_P35,5,5,36,6,11,1,42
bladen_P40,2,1,35,7,18,3,48
bladen_P45,3,3,21,4,10,4,47
bladen_P501,7,5,48,18,26,7,47
bladen_P502,5,4,45,9,12,2,49
bladen_P55,6,2,25,1,6,1,43
bladen_P60,11,6,34,11,16,2,46
bladen_P65,1,2,19,5,3,3,42
bladen_P70,5,1,30,8,8,1,39
bladen_P75,15,12,38,6,12,3,45
bladen_P80,6,6,35,12,12,0,53
brunswick_,0,0,5,0,0,0,14
brunswick_04A,12,16,45,33,50,7,70
brunswick_04B,6,7,34,11,34,8,60
brunswick_04C,3,5,32,11,27,4,59
brunswick_1,10,1,37,9,24,4,53
brunswick_10,6,4,38,17,43,5,64
brunswick_11,6,1,45,17,19,5,52
brunswick_12,7,1,32,5,19,3,62
brunswick_13,19,6,42,33,22,7,63
brunswick_14,5,8,41,15,31,2,59
brunswick_15,13,7,38,19,37,3,62
brunswick_16,4,5,21,12,35,4,65
brunswick_17,9,8,54,21,35,7,61
brunswick_18,6,0,32,25,16,1,56
brunswick_19,6,3,27,9,32,3,62
brunswick_2,19,11,47,35,41,13,66
brunswick_20,8,5,28,30,35,3,60
brunswick_21,10,9,28,17,33,7,67
brunswick_22,3,2,7,1,32,2,64
brunswick_23,5,2,12,7,25,4,62
brunswick_3,7,3,45,15,23,6,57
brunswick_5,15,3,42,16,26,8,56
brunswick_6,5,0,40,3,24,2,54
brunswick_7,5,7,37,18,25,2,56
brunswick_8,5,6,37,17,30,4,65
brunswick_9,1,2,2,6,19,1,57
buncombe_,0,0,4,0,4,0,35
buncombe_1.1,7,5,40,16,49,11,61
buncombe_10.1,5,3,49,12,44,9,43
buncombe_11.1,11,6,37,16,44,15,62
buncombe_12.1,3,4,27,21,43,9,61
buncombe_13.1,7,5,41,18,48,15,56
buncombe_14.2,4,7,40,29,54,11,59
buncombe_14.3,1,11,28,12,35,7,57
buncombe_15.1,0,4,21,12,44,8,61
buncombe_16.2,7,8,34,27,54,11,55
buncombe_17.1,2,5,23,9,40,6,57
buncombe_18.2,7,28,31,24,62,6,70
buncombe_19.1,1,3,26,16,21,4,56
buncombe_2.1,5,7,45,21,55,20,63
buncombe_20.1,0,3,29,8,23,7,53
buncombe_21.1,2,16,40,16,44,7,58
buncombe_22.2,4,8,10,13,38,9,65
buncombe_23.2,1,1,0,1,13,5,41
buncombe_23.3,0,2,14,5,18,1,53
buncombe_24.1,1,6,27,21,39,3,56
buncombe_25.1,6,11,29,18,50,12,63
buncombe_26.1,4,6,24,19,41,10,60
buncombe_27.2,1,1,4,5,23,3,51
buncombe_28.1,5,16,30,27,57,11,63
buncombe_29.2,7,11,31,18,43,4,61
buncombe_3.1,4,7,37,19,62,11,64
buncombe_30.2,3,4,20,11,37,3,58
buncombe_30.3,5,6,18,17,42,3,55
buncombe_31.1,0,0,1,4,28,0,52
buncombe_32.1,4,3,21,11,25,5,57
buncombe_33.2,2,2,17,2,24,4,54
buncombe_33.3,4,3,28,16,32,2,61
buncombe_34.1,2,4,7,5,20,1,57
buncombe_35.1,1,3,27,4,23,2,55
buncombe_36.1,4,6,17,7,36,4,58
buncombe_37.1,3,2,2,7,33,3,57
buncombe_38.2,5,1,4,6,31,7,62
buncombe_38.3,7,4,25,18,56,7,64
buncombe_39.2,0,2,10,8,28,5,58
buncombe_39.3,4,3,9,9,40,7,59
buncombe_4.1,1,7,15,4,39,8,54
buncombe_40.2,2,4,11,7,50,9,67
buncombe_41.1,6,2,11,17,50,6,62
buncombe_42.1,3,3,33,25,50,9,54
buncombe_43.2,6,8,29,29,35,7,57
buncombe_44.1,9,16,18,25,61,4,61
buncombe_45.1,5,7,20,24,54,10,65
buncombe_46.1,1,2,7,5,22,1,57
buncombe_47.1,4,9,13,18,54,2,65
buncombe_48.1,5,3,24,19,44,5,63
buncombe_49.1,11,5,20,13,56,7,65
buncombe_5.1,2,5,17,15,39,4,64
buncombe_50.1,2,2,5,0,26,1,59
buncombe_51.2,4,1,7,10,31,4,62
buncombe_52.1,3,2,20,15,60,9,62
buncombe_53.1,4,5,13,7,39,4,59
buncombe_54.2,6,7,38,33,53,10,62
buncombe_55.1,4,12,26,12,39,6,60
buncombe_56.2,0,6,25,15,35,4,60
buncombe_57.1,7,8,22,10,47,6,66
buncombe_58.1,2,3,7,8,41,1,54
buncombe_59.1,2,1,16,13,39,9,60
buncombe_6.1,0,5,22,9,32,8,55
buncombe_60.2,1,3,14,7,19,3,56
buncombe_60.4,2,7,9,12,28,6,54
buncombe_61.1,4,8,15,6,32,5,58
buncombe_62.1,2,8,25,12,36,8,67
buncombe_63.1,1,0,1,3,8,2,46
buncombe_64.1,4,3,29,12,28,3,59
buncombe_65.1,3,15,17,17,41,7,60
buncombe_66.1,4,9,26,23,56,10,65
buncombe_67.1,4,4,16,10,38,3,58
buncombe_68.1,10,6,29,23,61,11,64
buncombe_681,5,0,2,1,9,0,43
buncombe_69.1,5,5,26,20,52,6,66
buncombe_7.1,3,5,31,8,42,7,54
buncombe_70.1,4,8,22,20,54,10,63
buncombe_71.1,6,11,15,17,50,6,71
buncombe_8.2,8,9,45,22,47,11,60
buncombe_8.3,6,7,41,17,40,11,61
buncombe_9.1,6,10,39,31,48,7,61
burke_,0,0,6,0,0,0,17
burke_0029-A,1,17,16,2,11,1,50
burke_0029-B,3,1,7,3,4,1,53
burke_0047-A,3,8,33,5,26,3,55
burke_0047-B,2,5,26,0,20,2,49
burke_1,2,24,26,17,28,2,58
burke_11,2,29,16,12,21,3,57
burke_12,2,6,3,3,12,1,55
burke_13,4,21,13,11,21,3,54
burke_14,2,16,1,3,17,1,55
burke_15,2,16,13,5,17,2,50
burke_18,0,0,1,1,5,0,48
burke_19,0,0,20,2,4,1,44
burke_20,2,0,18,2,4,1,51
burke_21,1,15,9,5,17,2,51
burke_22,3,18,13,7,18,2,49
burke_24,1,13,12,10,23,3,55
burke_3,0,9,7,4,14,0,52
burke_31,4,3,37,26,25,3,52
burke_34,3,6,30,13,23,8,54
burke_35,6,4,37,18,12,6,49
burke_36,1,14,17,12,20,2,52
burke_38,1,18,20,18,21,0,56
burke_39,9,16,38,20,23,2,55
burke_40,1,13,25,9,16,1,55
burke_48,2,8,24,6,16,3,51
burke_51,1,29,38,22,30,6,58
burke_52,1,20,25,5,21,4,48
burke_53,2,17,12,10,25,1,51
burke_62,0,1,8,4,5,0,46
burke_64,0,2,1,2,11,0,49
