prec_id,amer_indian,asian,black,hispanic,other,polyracial,white
alamance_03C,3,16,28,17,45,8,54
alamance_03N,3,25,33,28,53,10,61
alamance_03N2,0,0,2,1,5,0,20
alamance_03S,6,32,41,48,67,16,60
alamance_03W,7,8,36,20,37,4,55
alamance_06E,8,8,42,29,29,9,58
alamance_06N,8,5,43,35,41,11,51
alamance_06S,6,11,36,29,41,7,57
alamance_06W,2,3,32,23,24,4,48
alamance_08N,8,5,33,34,41,8,56
alamance_08S,3,4,23,17,23,3,55
alamance_09N,0,6,36,10,29,9,52
alamance_09S,16,7,38,45,59,14,62
alamance_1,4,2,31,18,30,9,63
alamance_103,4,6,29,26,35,6,59
alamance_10N,4,7,36,24,47,7,59
alamance_10S,13,17,46,59,70,22,65
alamance_11,8,2,47,19,34,11,55
alamance_1210,3,11,35,30,31,12,54
alamance_124,1,9,34,23,30,3,55
alamance_125,3,14,31,23,36,8,54
alamance_126,1,3,20,12,28,4,51
alamance_127,6,12,46,44,55,13,52
alamance_128,4,12,41,38,42,13,53
alamance_129,1,12,24,16,27,3,51
alamance_12E,10,6,38,38,37,8,52
alamance_12N,12,8,53,47,48,15,49
alamance_12S,4,6,38,32,26,12,48
alamance_12W,3,4,32,20,40,8,58
alamance_13,7,5,40,37,44,12,54
alamance_2,11,3,20,11,34,3,61
alamance_35,7,11,39,34,44,16,64
alamance_4,3,3,39,14,34,10,65
alamance_5,5,1,25,10,31,3,51
alamance_63,6,6,44,40,47,6,49
alamance_64,6,20,34,38,43,9,57
alamance_7,7,10,27,26,28,4,52
alexander_,0,0,4,0,0,0,11
alexander_B1,2,16,12,9,24,2,60
alexander_B2,3,12,16,19,24,4,64
alexander_E,2,2,25,5,11,1,56
alexander_G1,2,0,1,0,6,0,50
alexander_G2,1,0,16,5,10,1,48
alexander_L,1,3,19,2,7,0,51
alexander_M,1,11,22,15,15,2,52
alexander_S1,5,2,21,23,12,3,55
alexander_S2,2,1,17,4,5,3,54
alexander_SL,0,0,3,4,1,1,48
alexander_T1,3,12,19,13,14,4,55
alexander_T2,4,4,34,16,13,4,52
alexander_T3,0,7,13,10,7,4,50
alexander_T4,0,7,32,11,12,6,55
alexander_T5,1,3,21,14,9,0,50
alexander_W,3,5,4,11,17,2,50
alleghany_,0,0,0,0,0,0,3
alleghany_1,1,0,7,4,10,1,54
alleghany_2,0,0,1,3,3,0,41
alleghany_3,8,3,17,38,25,3,61
alleghany_4,2,0,5,11,15,2,52
alleghany_5,0,0,1,17,6,0,49
alleghany_6,0,0,2,2,5,0,43
alleghany_7,1,0,0,6,5,1,48
anson_,0,0,19,0,0,0,15
anson_ANS,1,3,38,2,20,5,55
anson_BURN,7,7,25,1,18,0,59
anson_GULL,1,0,37,3,18,2,47
anson_LILE,6,2,43,2,17,1,54
anson_MM,2,2,37,3,21,1,43
anson_PEAC,2,14,28,1,26,0,58
anson_POLK,1,7,32,1,20,3,52
anson_W1,5,7,44,6,26,6,50
anson_W2,1,0,44,9,24,1,48
anson_W3,7,14,44,7,29,3,56
anson_WS,0,1,25,1,12,0,38
ashe_,0,0,0,0,0,0,13
ashe_10,0,0,0,3,5,0,32
ashe_11,0,0,12,12,16,0,52
ashe_12,1,2,0,2,7,0,45
ashe_13,0,3,2,7,10,0,50
ashe_14,1,3,3,8,11,2,54
ashe_15,2,1,2,0,5,0,47
ashe_16,1,2,8,10,23,0,56
ashe_17,0,0,0,1,5,1,50
ashe_18,1,0,1,1,0,0,29
ashe_2,2,1,3,7,8,0,52
ashe_20,3,9,12,27,22,4,58
ashe_3,0,1,1,0,4,0,40
ashe_4,0,0,0,1,7,0,44
ashe_6,0,1,0,0,3,0,40
ashe_7,0,0,0,1,6,0,39
ashe_8,0,0,0,1,1,0,35
ashe_9,4,4,21,16,17,3,54
avery_,0,0,0,0,0,0,15
avery_1,2,2,4,7,9,0,44
avery_10,2,0,1,2,10,0,47
avery_11,0,1,1,0,10,1,43
avery_12,0,0,0,1,2,0,37
avery_13,0,0,0,0,2,0,41
avery_14,2,1,7,6,7,0,47
avery_15,5,0,2,5,5,0,46
avery_16,0,0,0,4,18,1,49
avery_17,0,0,9,2,6,0,43
avery_18,1,0,0,0,2,0,40
avery_19,3,0,0,2,4,0,39
avery_2,3,4,22,24,46,5,59
avery_3,3,0,0,3,9,3,42
avery_4,0,0,0,0,1,0,30
avery_5,0,0,0,1,2,0,38
avery_6,1,1,2,5,8,0,42
avery_7,0,0,4,1,3,0,29
avery_8,0,0,0,0,5,0,38
avery_9,1,0,1,0,4,0,39
beaufort_,0,0,12,0,1,0,10
beaufort_AUROR,4,1,38,5,13,4,49
beaufort_BEADM,2,2,24,5,19,3,56
beaufort_BELHV,2,0,42,5,10,3,54
beaufort_BLCK,3,0,32,3,11,2,52
beaufort_CHOCO,3,3,49,26,44,8,64
beaufort_EDWAR,1,1,34,2,13,2,49
beaufort_GILEA,1,4,31,1,17,4,58
beaufort_HB,1,0,21,4,10,0,53
beaufort_NCRK,2,0,26,3,17,3,51
beaufort_OLDF,1,1,39,10,14,3,48
beaufort_PANTE,0,2,36,3,10,1,52
beaufort_PINET,0,0,21,3,11,1,52
beaufort_PSJW3,4,7,49,13,23,3,47
beaufort_RVRD,2,0,41,21,20,3,59
beaufort_SURBA,2,1,23,5,16,2,55
beaufort_TCRK,1,3,37,9,31,2,63
beaufort_WASH1,1,2,50,12,30,5,55
beaufort_WASH2,2,0,48,7,23,4,51
beaufort_WASH4,1,1,45,21,31,8,55
beaufort_WASHP,0,0,31,7,17,4,53
beaufort_WDPD,3,1,23,5,9,1,55
bertie_,0,0,15,0,0,0,12
bertie_C1,1,0,40,4,21,1,53
bertie_C2,1,1,43,1,32,7,50
bertie_IW,0,1,32,1,8,3,20
bertie_M1,2,1,33,0,10,2,48
bertie_M2,0,0,39,2,24,2,45
bertie_MH,0,0,34,1,12,1,44
bertie_RX,3,1,44,2,23,4,41
bertie_SN,2,2,39,1,17,5,40
bertie_W1,5,5,52,7,47,12,53
bertie_W2,2,1,10,0,8,0,44
bertie_WD,1,0,43,3,22,3,33
bertie_WH,1,1,40,2,18,2,51
bladen_,2,0,7,0,0,0,11
bladen_P10,1,4,27,1,3,2,47
bladen_P15,12,6,39,30,29,2,52
bladen_P201,7,2,30,6,16,2,48
bladen_P202,9,4,38,9,21,6,50
bladen_P25,8,4,38,4,12,2,50
bladen_P30,35,19,42,1,17,2,36
bladen_P35,6,5,36,7,13,4,43
bladen_P40,3,2,34,14,14,3,49
bladen_P45,3,2,21,4,10,4,48
bladen_P501,7,7,48,24,23,7,51
bladen_P502,11,5,45,15,21,4,54
bladen_P55,5,1,30,1,6,2,44
bladen_P60,12,5,37,15,22,3,47
bladen_P65,1,3,18,9,2,2,45
bladen_P70,6,0,31,8,9,2,41
bladen_P75,16,9,41,8,15,3,45
bladen_P80,7,5,34,14,12,2,52
brunswick_,0,0,0,0,0,0,1
brunswick_04A,7,21,43,32,60,12,74
brunswick_04B,5,10,36,23,40,5,61
brunswick_04C,5,12,33,14,38,8,60
brunswick_1,14,4,41,15,32,3,59
brunswick_10A,3,1,37,10,39,3,61
brunswick_10B,1,5,16,6,24,4,54
brunswick_11,7,4,46,19,27,6,51
brunswick_12,8,1,35,6,22,3,65
brunswick_13,16,9,45,38,31,9,63
brunswick_14,6,9,38,22,37,3,60
brunswick_15,13,7,39,23,39,4,66
brunswick_16,3,4,24,16,30,3,67
brunswick_17,10,10,55,24,43,7,66
brunswick_18,6,1,35,29,16,1,56
brunswick_19,7,4,30,11,35,4,62
brunswick_2,17,11,47,49,54,12,65
brunswick_20,8,9,36,35,37,3,64
brunswick_21,12,10,34,24,37,15,66
brunswick_22,7,3,6,3,32,0,63
brunswick_23,5,3,12,6,30,1,58
brunswick_3,7,4,41,18,33,8,54
brunswick_5,16,6,44,27,38,10,61
brunswick_6,4,0,39,6,24,3,58
brunswick_7,5,7,38,17,36,6,57
brunswick_8,5,6,40,22,37,7,66
brunswick_9,1,2,4,6,20,2,56
buncombe_,5,8,10,13,33,11,48
buncombe_1.1,8,12,42,16,54,9,62
buncombe_10.1,4,2,46,23,52,8,51
buncombe_11.1,14,5,38,13,53,14,60
buncombe_12.1,5,5,28,27,46,13,60
buncombe_13.1,6,6,43,30,46,18,61
buncombe_14.2,2,10,44,31,55,7,59
buncombe_14.3,3,9,29,17,48,11,60
buncombe_15.1,2,3,23,16,59,11,64
buncombe_16.2,9,11,39,33,55,10,60
buncombe_17.1,2,6,24,11,46,7,62
