prec_id,Elaine Marshall,Richard Burr,Michael Beitler,Write-in
forsyth_301,241,13,4,1
forsyth_302,324,20,3,0
forsyth_303,231,8,4,0
forsyth_304,849,18,5,0
forsyth_305,613,20,3,0
forsyth_306,370,76,7,0
forsyth_401,517,39,7,0
forsyth_402,433,10,4,0
forsyth_403,409,21,1,0
forsyth_404,474,62,3,0
forsyth_405,367,6,3,0
forsyth_501,738,72,9,0
forsyth_502,457,32,2,0
forsyth_503,335,73,7,2
forsyth_504,290,69,12,0
forsyth_505,434,142,9,0
forsyth_506,231,278,18,0
forsyth_507,693,568,17,0
forsyth_601,353,213,10,2
forsyth_602,857,730,19,0
forsyth_603,499,238,18,0
forsyth_604,275,158,10,0
forsyth_605,595,494,15,0
forsyth_606,294,300,12,0
forsyth_607,474,573,18,2
forsyth_701,242,475,9,0
forsyth_702,372,311,11,1
forsyth_703,308,249,20,0
forsyth_704,394,343,21,0
forsyth_705,443,353,15,0
forsyth_706,283,241,14,0
forsyth_707,228,321,8,0
forsyth_708,688,859,24,2
forsyth_709,447,530,14,1
forsyth_801,292,400,11,0
forsyth_802,301,672,13,0
forsyth_803,258,833,18,0
forsyth_804,273,484,14,0
forsyth_805,474,894,20,0
forsyth_806,291,728,10,0
forsyth_807,343,624,20,0
forsyth_808,537,470,20,0
forsyth_809,496,1028,17,0
forsyth_901,480,482,14,0
forsyth_902,396,136,20,1
forsyth_903,493,435,12,0
forsyth_904,503,253,9,0
forsyth_905,401,315,20,0
forsyth_906,617,793,23,0
forsyth_907,420,466,28,1
forsyth_908,477,1010,31,0
forsyth_909,275,359,20,0
franklin_01,559,342,7,0
franklin_02,419,278,10,1
franklin_03,652,642,25,0
franklin_05,336,527,12,1
franklin_06,428,307,19,0
franklin_07,175,472,20,0
franklin_08,420,587,31,1
franklin_09,311,381,18,0
franklin_10,235,262,13,0
franklin_11,471,252,9,0
franklin_12,303,275,12,0
franklin_13,299,541,18,0
franklin_14,550,978,37,1
franklin_15,871,365,16,1
franklin_16,633,349,11,0
franklin_17,429,830,31,1
franklin_18,350,680,25,1
franklin_19,552,1020,45,0
gaston_01,119,195,10,0
gaston_02,253,243,11,0
gaston_03,193,141,9,0
gaston_04,382,685,20,1
gaston_05,213,126,11,0
gaston_06,297,78,6,0
gaston_07,245,9,2,0
gaston_08,222,124,5,1
gaston_09,188,233,13,0
gaston_10,340,437,26,0
gaston_11,142,165,0,0
gaston_12,178,409,22,1
gaston_13,245,407,23,0
gaston_14,147,266,16,0
gaston_15,466,927,39,0
gaston_16,228,691,19,2
gaston_17,304,679,29,0
gaston_18,471,909,28,0
gaston_19,329,683,28,1
gaston_20,146,581,25,1
gaston_21,220,319,15,0
gaston_22,270,712,32,0
gaston_23,278,523,23,0
gaston_24,248,465,23,0
gaston_25,119,363,9,0
gaston_26,174,410,19,0
gaston_27,299,796,35,0
gaston_28,260,743,21,0
gaston_29,228,816,27,0
gaston_30,121,386,14,1
gaston_31,199,708,31,1
gaston_32,185,462,15,0
gaston_33,82,290,15,0
gaston_34,114,338,13,1
gaston_35,135,331,14,1
gaston_36,267,620,20,0
gaston_37,170,334,10,0
gaston_38,157,416,24,0
gaston_39,146,735,22,0
gaston_40,247,478,17,0
gaston_41,149,389,16,0
gaston_42,143,525,15,0
gaston_43,266,632,18,1
gaston_44,397,872,22,0
gaston_45,228,388,20,0
gaston_46,256,697,18,2
gates_1,212,183,6,0
gates_2,107,265,1,0
gates_3,320,281,4,1
gates_4N,154,346,5,0
gates_4S,230,143,4,0
gates_5,139,213,8,0
graham_EAST,534,797,47,1
graham_STEC,169,444,11,0
graham_TAPO,55,218,9,0
graham_WEST,437,699,44,1
granville_ANTI,424,143,6,0
granville_BERE,318,372,6,0
granville_BTNR,606,532,21,0
granville_CORI,426,439,18,0
granville_CRDL,503,303,11,0
granville_CRDM,790,839,43,0
granville_EAOX,601,349,15,0
granville_MTEN,545,749,48,0
granville_OKHL,335,252,1,0
granville_SALM,328,400,18,0
granville_SASS,409,358,11,0
granville_SOOX,478,151,6,0
granville_TYHO,449,884,36,1
granville_WILT,612,1310,56,1
granville_WOEL,391,178,16,0
greene_ARBA,128,197,1,0
greene_BEAR,93,142,4,0
greene_BULL,115,135,4,0
greene_CAST,85,180,4,0
greene_HOOK,105,153,13,0
greene_MAUR,207,296,4,0
greene_SH#1,152,195,11,0
greene_SHIN,114,314,5,1
greene_SUGG,112,200,1,0
greene_WALS,180,202,6,0
guilford_CG1,392,473,18,0
guilford_CG2,338,577,17,0
guilford_CG3A,356,532,19,1
guilford_CG3B,482,745,28,1
guilford_FEN1,1123,457,18,0
guilford_FEN2,275,708,20,1
guilford_FR1,587,555,23,0
guilford_FR2,377,704,21,1
guilford_FR3,248,439,16,0
guilford_FR4,214,495,13,0
guilford_FR5A,247,508,21,2
guilford_FR5B,163,379,17,0
guilford_G01,257,46,12,0
guilford_G02,199,122,3,0
guilford_G03,747,33,1,0
guilford_G04,520,56,5,0
guilford_G05,640,19,3,0
guilford_G06,687,31,1,0
guilford_G07,363,198,9,1
guilford_G08,506,202,12,0
guilford_G09,585,157,15,1
guilford_G10,732,244,8,1
guilford_G11,415,180,13,2
guilford_G12,346,115,9,0
guilford_G13,425,250,19,1
guilford_G14,407,263,18,0
guilford_G15,346,282,22,0
guilford_G16,370,542,13,0
guilford_G17,373,486,18,0
guilford_G18,220,524,11,0
guilford_G19,264,537,12,1
guilford_G20,443,748,28,2
guilford_G21,534,886,24,2
guilford_G22,289,688,17,0
guilford_G23,301,307,25,0
guilford_G24,304,174,15,0
guilford_G25,355,405,23,0
guilford_G26,742,337,16,0
guilford_G27,567,844,36,2
guilford_G28,290,263,12,0
guilford_G29,262,282,17,0
guilford_G30,314,525,17,1
guilford_G31,279,407,26,1
guilford_G32,544,944,24,0
guilford_G33,367,692,18,2
guilford_G34,438,658,18,1
guilford_G35,328,370,17,0
guilford_G36,355,482,16,0
guilford_G37,498,311,20,1
guilford_G38,502,587,22,2
guilford_G39,321,338,10,0
guilford_G40A1,315,453,12,0
guilford_G40A2,222,298,7,0
guilford_G40B,203,467,9,1
guilford_G41A,250,316,10,1
guilford_G41B,276,491,26,0
guilford_G42A,416,619,18,0
guilford_G42B,200,163,4,0
guilford_G43,485,318,26,1
guilford_G44,367,127,13,2
guilford_G45,236,60,7,0
guilford_G46,653,30,6,0
guilford_G47,468,161,16,1
guilford_G48,555,269,36,0
guilford_G49,205,81,6,0
guilford_G50,402,193,12,2
guilford_G51,368,261,13,0
guilford_G52,645,75,4,1
guilford_G53,984,93,9,0
guilford_G54,655,91,7,3
guilford_G55,784,166,7,2
guilford_G56,509,170,8,2
guilford_G57,552,176,9,1
guilford_G58,413,146,6,3
guilford_G59,400,121,7,2
guilford_G60,300,199,9,0
guilford_G61,490,186,9,2
guilford_G62,294,257,8,1
guilford_G63,333,339,11,0
guilford_G64,523,261,15,1
guilford_G65,439,404,13,0
guilford_G66,383,545,17,0
guilford_G67,297,4,1,0
guilford_G68,522,20,7,0
guilford_G69,813,54,13,1
guilford_G70,649,16,5,1
guilford_G71,713,15,3,0
guilford_G72,678,51,3,0
guilford_G73,671,13,4,0
guilford_G74,1021,31,5,0
guilford_G75,718,43,4,1
guilford_GIB,302,487,25,0
guilford_GR,188,790,27,0
guilford_H01,270,155,10,0
guilford_H02,201,404,12,0
guilford_H03,244,118,7,1
guilford_H04,316,260,17,1
guilford_H05,481,99,7,1
guilford_H06,495,495,28,2
guilford_H07,356,51,3,1
guilford_H08,185,15,5,0
guilford_H09,427,21,3,3
guilford_H10,700,92,7,0
guilford_H11,589,86,5,2
guilford_H12,271,168,12,0
guilford_H13,244,567,10,1
guilford_H14,162,677,15,0
guilford_H15,269,406,6,3
guilford_H16,173,374,22,2
guilford_H17,245,150,8,0
guilford_H18,477,185,14,0
guilford_H19A,388,86,3,0
guilford_H19B,113,201,6,0
guilford_H20A,207,283,19,0
guilford_H20B,155,374,15,0
guilford_H21,167,397,13,1
guilford_H22,139,297,12,5
guilford_H23,167,475,19,5
guilford_H24,330,707,19,0
guilford_H25,529,1168,34,0
guilford_H26,294,571,26,0
guilford_H27-A,332,638,15,0
guilford_H27-B,189,381,19,0
guilford_H28,546,538,18,0
guilford_H29A,359,320,15,1
guilford_H29B,379,324,14,0
guilford_JAM1,448,954,28,0
guilford_JAM2,307,525,14,1
guilford_JAM3,325,621,13,1
guilford_JAM4,259,820,16,0
guilford_JAM5,108,490,8,0
guilford_JEF1,389,677,22,0
guilford_JEF2,400,442,15,0
guilford_JEF3,1377,281,10,1
guilford_JEF4,298,447,16,0
guilford_MON1,437,368,10,0
guilford_MON2A,692,344,16,0
guilford_MON2B,416,270,16,0
guilford_MON3,514,1101,40,0
guilford_NCGR1,331,1020,33,0
guilford_NCGR2,179,590,25,0
guilford_NCLAY1,363,832,31,2
guilford_NCLAY2,153,463,11,2
guilford_NDRI,141,738,12,0
guilford_NMAD,322,488,23,0
guilford_NWASH,76,470,13,0
guilford_OR1,312,1176,33,0
guilford_OR2,287,810,38,0
guilford_PG1,235,546,9,0
guilford_PG2,317,990,24,1
guilford_RC1,545,648,23,0
guilford_RC2,510,746,30,0
guilford_SCLAY,190,705,22,0
guilford_SDRI,405,1240,27,1
guilford_SF1,326,1053,24,1
guilford_SF2,156,587,19,0
guilford_SF3,349,773,12,0
guilford_SF4,446,1112,27,0
guilford_SMAD,417,635,20,0
guilford_STOK,306,1183,43,0
guilford_SUM1,521,389,16,0
guilford_SUM2,418,282,6,1
guilford_SUM3,104,468,2,0
guilford_SUM4,143,767,17,0
guilford_SWASH,93,285,6,0
halifax_BUTWD,78,56,2,0
halifax_CONC,110,37,1,0
halifax_ENF 1,394,65,3,0
halifax_ENF 2,528,53,0,0
halifax_ENF 3,302,104,6,0
halifax_FAUCT,155,191,2,0
halifax_HAL,289,97,4,0
halifax_HOB,117,71,2,0
halifax_HOL,560,63,8,0
halifax_LIT 1,468,133,3,0
halifax_LIT 2,217,410,10,0
halifax_PAL,99,20,1,0
halifax_RINGW,408,44,0,0
halifax_ROSEN,69,76,0,0
halifax_RR 1,93,196,10,0
halifax_RR 2,43,73,2,0
halifax_RR 3,120,223,5,0
halifax_RR 4,106,311,6,0
halifax_RR 5,86,193,6,0
halifax_RR 6,72,201,9,0
halifax_RR 7,250,74,2,0
halifax_RR 8,141,159,4,0
halifax_RR 9,519,194,9,1
halifax_RR 10,303,642,20,0
halifax_RR 11,310,465,9,0
halifax_SN 1,547,51,2,0
halifax_SN 2,206,281,1,2
halifax_WEL 1,238,42,2,0
halifax_WEL 2,93,87,5,0
halifax_WEL 3,441,181,6,0
halifax_CURBSIDE,0,0,0,0
harnett_PR01,547,888,45,0
harnett_PR07,685,905,40,1
harnett_PR08,659,1053,41,3
harnett_PR16,546,634,32,1
harnett_PR17,315,236,10,0
harnett_PR20,502,291,12,0
harnett_PR23,525,641,21,0
harnett_PR24,549,1255,42,1
harnett_PR25,646,592,14,0
harnett_PR26,466,776,16,0
harnett_PR27,350,638,20,0
harnett_PR28,407,1182,43,1
harnett_PR29,558,949,23,0
haywood_AC,387,451,18,0
haywood_BC,7,7,1,0
haywood_BE-1,201,326,15,0
haywood_BE-2,211,260,6,0
haywood_BE-3,312,480,31,0
haywood_BE-4,216,413,15,1
haywood_BE56,369,397,23,1
haywood_BE-7,163,346,5,1
haywood_CE,48,139,9,0
haywood_CL-N,348,514,23,0
haywood_CL-S,434,566,33,0
haywood_CR,296,402,18,0
haywood_EF,175,334,15,0
haywood_FC-1,139,176,8,0
haywood_FC-2,40,65,4,0
haywood_HA,217,171,7,0
haywood_ID,191,241,4,0
haywood_IH,572,845,53,1
haywood_JC,535,685,38,0
haywood_LJ,455,487,18,0
haywood_P,337,856,32,2
haywood_PC,162,367,13,1
haywood_SA,434,548,20,0
haywood_WC,153,114,13,0
haywood_WE,377,379,17,0
haywood_WO,77,74,2,1
haywood_WS-1,493,565,17,0
haywood_WS-2,422,424,15,0
haywood_WW,321,378,21,0
haywood_CURBSIDE,44,36,1,0
henderson_AR,205,444,11,0
henderson_AT,464,1065,37,0
henderson_BC,145,216,12,0
henderson_BK,137,176,3,0
henderson_CB,151,392,15,1
henderson_CC,339,784,21,0
henderson_CV,120,240,4,0
henderson_ED,279,673,24,1
henderson_EF,244,597,24,1
henderson_ES,321,554,30,0
henderson_EV,361,877,19,0
henderson_FL,573,1041,32,0
henderson_FR,580,1316,30,1
henderson_GM,161,394,18,0
henderson_GR,240,772,26,1
henderson_HC,387,911,32,0
henderson_HS,401,820,29,0
henderson_HV-1,516,638,21,1
henderson_HV-2,346,387,21,0
henderson_HV-3,455,561,30,0
henderson_LJ,370,749,13,0
henderson_LP,406,589,25,0
henderson_MG,141,282,10,0
henderson_NB,383,960,30,2
henderson_NE,218,435,28,0
henderson_NM,373,858,27,0
henderson_NW,289,572,21,1
henderson_PR,311,740,28,0
henderson_PV,361,704,30,0
henderson_RG,282,773,29,0
henderson_RR,149,255,7,0
henderson_SB,246,806,24,2
henderson_SE,105,318,16,0
henderson_SM,424,1154,33,0
henderson_SW,404,758,33,1
henderson_CURBSIDE,127,213,7,0
hertford_A1,391,252,4,0
hertford_A2,320,292,7,0
hertford_A3,432,19,1,0
hertford_BR,171,15,0,0
hertford_CM,110,74,1,0
hertford_CO,183,33,0,0
hertford_HV,157,126,2,0
hertford_M1,616,297,13,1
hertford_M2,341,110,5,0
hertford_ML,65,169,5,0
hertford_SJ,208,87,4,0
hertford_UN,156,123,3,0
hertford_WN,214,81,3,0
hoke_01,62,39,4,0
hoke_02,380,175,4,1
hoke_03,217,83,1,0
hoke_04,143,187,12,0
hoke_05,202,255,8,0
hoke_06A,629,668,24,1
hoke_12,360,658,29,1
hoke_13,187,269,6,1
hoke_14,480,363,15,0
hoke_61,420,238,9,0
hoke_62,171,164,10,0
hoke_63,605,196,7,1
hoke_64,349,249,7,0
hoke_65,391,13,0,0
hyde_BM,26,106,3,0
hyde_ENG,122,110,4,0
hyde_FF,67,89,3,0
hyde_LL,136,73,3,0
hyde_OCK,165,100,6,0
hyde_SLAD,65,102,5,0
hyde_SQ,76,106,3,0
iredell_BA,302,766,31,1
iredell_BE,338,965,33,2
iredell_CC1,393,889,31,0
iredell_CC2,500,831,35,0
iredell_CC3,492,1092,72,1
iredell_CC4,261,712,32,0
iredell_CD,312,912,41,2
iredell_CH-A,230,486,30,1
iredell_CH-B,180,411,17,0
iredell_CS,211,477,9,0
iredell_DV1-A,293,1098,35,0
iredell_DV1-B,419,1457,43,0
iredell_DV2-A,188,852,25,0
iredell_DV2-B,234,799,24,2
iredell_EM,110,251,9,0
iredell_FT,416,1263,64,2
iredell_NH,98,334,11,1
iredell_OL,109,363,20,0
iredell_SB,144,519,9,3
iredell_SH-A,221,623,29,0
iredell_SH-B,218,604,14,0
iredell_ST1,325,605,20,0
iredell_ST2,206,323,18,1
iredell_ST3,371,253,16,0
iredell_ST4,270,385,30,1
iredell_ST5,307,320,15,1
iredell_ST6,459,228,11,1
iredell_TB,223,418,26,0
iredell_UG,108,377,16,0
jackson_BCK,197,364,16,0
jackson_CAN,89,115,6,0
jackson_CAS,301,730,20,1
jackson_CFK,129,133,6,0
jackson_CUL,768,570,55,3
jackson_DIL,221,271,20,1
jackson_GCK,235,212,15,1
jackson_GLV,163,433,11,0
jackson_QUA,524,596,35,1
jackson_RIV,176,182,13,0
jackson_SAV,220,295,18,0
jackson_SCC,355,349,28,1
jackson_SNW,415,323,18,0
jackson_SSW,668,529,33,0
jackson_WEB,515,427,17,0
jackson_CURBSIDE,36,33,1,0
johnston_PR01,133,342,10,2
johnston_PR02,143,246,7,0
johnston_PR03,226,613,10,0
johnston_PR04,174,312,7,1
johnston_PR05,111,298,5,0
johnston_PR06,174,472,11,0
johnston_PR07,260,773,17,0
johnston_PR08,131,533,10,0
johnston_PR09,316,772,28,0
johnston_PR10A,283,259,13,0
johnston_PR10B,144,368,6,0
johnston_PR11A,255,421,23,2
johnston_PR11B,336,623,41,2
johnston_PR12A,259,649,17,1
johnston_PR12B,239,469,21,0
johnston_PR13,188,531,21,0
johnston_PR14,137,587,16,0
johnston_PR15,226,553,8,1
johnston_PR16,167,405,14,0
johnston_PR17,70,286,1,0
johnston_PR18,71,398,8,0
johnston_PR19,170,465,17,0
johnston_PR20,300,617,18,0
johnston_PR21,195,629,13,0
johnston_PR22,262,737,18,0
johnston_PR23A,218,667,18,2
johnston_PR23B,221,599,24,1
johnston_PR24,330,243,16,0
johnston_PR25,274,316,20,1
johnston_PR26,348,190,4,0
johnston_PR27A,179,245,10,0
johnston_PR27B,206,293,9,0
johnston_PR28,345,624,15,0
johnston_PR29A,301,885,36,0
johnston_PR29B,410,1068,42,3
johnston_PR30,393,513,28,0
johnston_PR31A,219,366,15,0
johnston_PR31B,359,758,38,0
johnston_PR32,210,560,26,0
johnston_PR33,239,802,23,0
johnston_PR34,513,653,33,0
jones_P01,122,130,3,0
jones_P02,35,143,8,0
jones_P03,56,186,6,1
jones_P04,317,429,16,1
jones_P05,387,220,8,0
jones_P06,79,178,3,0
jones_P07,303,220,10,0
lee_A1,392,323,19,0
lee_A2,493,253,12,0
lee_B1,178,371,11,0
lee_B2,159,202,14,0
lee_C1,316,421,19,0
lee_C2,190,437,17,2
lee_D1,313,568,23,1
lee_D2,318,609,17,0
lee_E1,274,408,18,0
lee_E2,280,266,10,1
lee_CURBSIDE,0,0,0,0
lenoir_C,411,495,13,0
lenoir_FC,442,1449,26,3
lenoir_I,177,480,15,0
lenoir_K1,273,11,1,0
lenoir_K2,338,15,5,0
lenoir_K3,360,149,7,0
lenoir_K4,549,868,9,1
lenoir_K5,439,209,5,0
lenoir_K6,688,123,6,0
lenoir_K7,730,148,8,1
lenoir_K8,511,5,2,0
lenoir_K9,593,425,12,1
lenoir_MH,910,908,12,1
lenoir_N,423,922,18,0
lenoir_PH1,49,223,3,0
lenoir_PH2,125,351,9,0
lenoir_SH,76,247,2,1
lenoir_SW,94,320,8,0
lenoir_T1,112,485,8,0
lenoir_T2,81,338,9,0
lenoir_V,474,463,12,0
lenoir_W,106,398,5,0
lenoir_CURBSIDE,83,21,0,0
lincoln_AS25,231,534,12,0
lincoln_BC13,147,173,9,0
lincoln_BS26,195,360,11,0
lincoln_CF19,103,387,8,0
lincoln_CR06,145,147,7,0
lincoln_DN29,108,528,17,0
lincoln_DV08,259,528,24,0
lincoln_DW28,148,376,13,1
lincoln_HG17,183,249,9,0
lincoln_HV07,274,473,27,1
lincoln_IS20,129,406,20,0
lincoln_IS23,200,500,28,0
lincoln_LI14,155,280,13,0
lincoln_LM16,149,240,11,1
lincoln_LN11,254,227,12,1
lincoln_LS12,212,214,16,0
lincoln_LS15,157,340,12,0
lincoln_LW18,117,204,5,0
lincoln_LW31,199,574,19,0
lincoln_NB03,85,310,9,0
lincoln_NB09,227,444,25,0
lincoln_OB21,133,541,17,2
lincoln_OG10,168,342,10,0
lincoln_PC22,174,556,9,0
lincoln_SL24,175,410,19,0
lincoln_TE27,121,410,8,0
lincoln_TR30,78,198,11,0
lincoln_WP32,290,848,32,0
macon_01,165,229,18,0
macon_02,105,163,15,0
macon_03,162,270,16,0
macon_04,108,208,23,0
macon_05,201,309,22,1
macon_06,129,295,16,0
macon_07,166,278,20,0
macon_08,35,121,4,0
macon_09,295,582,27,1
macon_10,54,113,2,0
macon_11,219,426,41,1
macon_12,182,296,24,0
macon_13,62,165,8,1
macon_14,73,202,5,0
macon_15,159,278,21,0
madison_BEECH,280,399,15,0
madison_EBBS C,172,280,15,0
madison_GRAPEV,221,263,17,0
madison_HOT SP,144,100,5,0
madison_LAUREL,209,196,22,0
madison_MARS H,550,676,32,0
madison_NORTH,591,542,33,0
madison_REVERE,89,49,4,0
madison_SANDY,108,88,8,0
madison_SOUTH,252,219,19,0
madison_SPRING,199,131,10,0
madison_WALNUT,276,328,16,0
madison_CURBSIDE,0,0,0,0
martin_BG,155,415,11,1
martin_CR,153,185,6,0
martin_GN,239,151,6,0
martin_GR,127,324,9,0
martin_HM,208,141,2,0
martin_HS,94,40,4,0
martin_J,323,371,14,1
martin_PP,32,60,1,0
martin_R1,210,135,3,0
martin_R2,269,191,2,0
martin_W,131,199,5,0
martin_W1,421,349,10,1
martin_W2,544,341,8,0
mcdowell_CCREEK,286,728,31,0
mcdowell_DYSART,235,491,31,0
mcdowell_FORT 1,214,400,13,3
mcdowell_FORT 2,139,292,11,0
mcdowell_GLENWD,194,532,19,0
mcdowell_HIGGIN,182,313,18,0
mcdowell_M.COVE,177,520,16,0
mcdowell_MAR 1,419,827,33,0
mcdowell_MAR 2,339,308,9,4
mcdowell_MAR 3,129,208,16,0
mcdowell_MAR 4,126,215,14,0
mcdowell_MAR 5,92,227,10,0
mcdowell_N.COVE,96,271,5,0
mcdowell_NEBO,366,798,29,1
mcdowell_PLEASA,291,754,17,2
mcdowell_T.COVE,76,289,6,0
mcdowell_WEST M,424,904,46,1
mecklenburg_1,281,443,10,0
mecklenburg_2,564,326,30,0
mecklenburg_3,645,94,7,1
mecklenburg_4,622,255,12,0
mecklenburg_5,335,123,8,0
mecklenburg_6,551,140,8,0
mecklenburg_7,391,249,13,0
mecklenburg_8,348,731,15,1
mecklenburg_9,601,488,19,0
mecklenburg_10,499,428,28,1
mecklenburg_11,1010,601,56,3
mecklenburg_12,599,46,3,1
mecklenburg_13,551,174,15,0
mecklenburg_14,579,43,9,0
mecklenburg_15,719,327,28,0
mecklenburg_16,1296,16,6,0
mecklenburg_17,428,61,7,0
mecklenburg_18,246,668,7,0
mecklenburg_19,321,517,14,0
mecklenburg_20,465,483,24,0
mecklenburg_21,382,272,26,2
mecklenburg_22,708,211,25,0
mecklenburg_23,401,60,6,0
mecklenburg_24,564,69,8,0
mecklenburg_25,851,8,7,0
mecklenburg_26,1085,181,8,1
mecklenburg_27,629,50,3,0
mecklenburg_28,473,111,8,1
mecklenburg_29,424,196,19,0
mecklenburg_30,490,147,20,0
mecklenburg_31,680,26,6,1
mecklenburg_32,276,808,12,0
mecklenburg_33,389,187,12,0
mecklenburg_34,459,263,24,0
mecklenburg_35,311,354,13,0
mecklenburg_36,500,713,17,0
mecklenburg_37,322,440,19,0
mecklenburg_38,323,272,15,1
mecklenburg_39,525,21,5,1
mecklenburg_40,540,105,6,2
mecklenburg_41,588,62,9,0
mecklenburg_42,1043,55,11,1
mecklenburg_43,714,124,11,0
mecklenburg_44,397,234,11,1
mecklenburg_45,369,230,12,1
mecklenburg_46,555,215,22,0
mecklenburg_47,367,671,22,0
mecklenburg_48,271,777,12,0
mecklenburg_49,331,480,15,2
mecklenburg_50,327,339,24,0
mecklenburg_51,470,474,20,0
mecklenburg_52,916,35,4,0
mecklenburg_53,763,111,14,2
mecklenburg_54,825,26,4,1
mecklenburg_55,592,7,1,1
mecklenburg_56,431,8,5,0
mecklenburg_57,366,562,24,0
mecklenburg_58,246,289,19,0
mecklenburg_59,264,230,12,0
mecklenburg_60,810,46,10,1
mecklenburg_61,601,328,10,2
mecklenburg_62,494,161,13,2
mecklenburg_63,475,169,16,0
mecklenburg_64,272,168,10,0
mecklenburg_65,303,410,21,0
mecklenburg_66,326,367,20,0
mecklenburg_67,318,491,8,0
mecklenburg_68,297,279,16,0
mecklenburg_69,559,1213,30,2
mecklenburg_70,398,739,16,0
mecklenburg_71,242,718,14,0
mecklenburg_72,265,499,26,0
mecklenburg_73,306,457,13,1
mecklenburg_74,316,733,11,2
mecklenburg_75,499,1050,38,2
mecklenburg_76,500,891,33,0
mecklenburg_77,770,65,2,0
mecklenburg_078.1,368,124,14,0
mecklenburg_79,428,280,10,0
mecklenburg_80,680,284,9,0
mecklenburg_81,1006,285,7,0
mecklenburg_82,749,47,7,1
mecklenburg_83,702,412,18,0
mecklenburg_84,592,163,9,0
mecklenburg_85,470,495,28,1
mecklenburg_86,263,875,14,0
mecklenburg_87,447,515,28,2
mecklenburg_88,364,557,20,0
mecklenburg_89,1216,866,56,1
mecklenburg_90,265,470,17,0
mecklenburg_91,583,1351,46,1
mecklenburg_92,413,850,19,2
mecklenburg_93,273,607,19,0
mecklenburg_94,539,251,17,0
mecklenburg_95,501,175,9,2
mecklenburg_96,335,513,17,1
mecklenburg_97,347,112,11,0
mecklenburg_98,541,103,9,0
mecklenburg_99,338,88,6,2
mecklenburg_100,396,737,28,0
mecklenburg_101,350,679,22,0
mecklenburg_102,819,438,33,0
mecklenburg_103,577,1002,45,0
mecklenburg_104,1053,91,9,0
mecklenburg_105,708,211,15,0
mecklenburg_106,385,549,21,0
mecklenburg_107.1,906,298,21,0
mecklenburg_108,587,96,5,1
mecklenburg_109,462,258,26,1
mecklenburg_110,233,480,7,1
mecklenburg_111,439,770,20,1
mecklenburg_112,256,720,25,0
mecklenburg_113,435,1072,29,6
mecklenburg_114,384,945,23,0
mecklenburg_115,393,239,9,0
mecklenburg_116,517,124,8,0
mecklenburg_117,452,214,11,2
mecklenburg_118,409,706,17,0
mecklenburg_119,285,435,14,0
mecklenburg_120,443,117,5,0
mecklenburg_121,507,1323,39,1
mecklenburg_122,928,901,39,0
mecklenburg_123,677,221,9,1
mecklenburg_124,765,145,13,2
mecklenburg_125,307,154,7,2
mecklenburg_126,843,182,13,0
mecklenburg_127,519,1177,20,0
mecklenburg_128,663,561,28,0
mecklenburg_129,152,124,7,0
mecklenburg_130,345,177,6,0
mecklenburg_131,271,626,9,0
mecklenburg_132,464,214,12,0
mecklenburg_133,430,1184,34,0
mecklenburg_134,730,1124,54,1
mecklenburg_135,1503,298,12,1
mecklenburg_136,290,637,22,0
mecklenburg_137,560,1567,30,0
mecklenburg_138,537,199,13,1
mecklenburg_139.1,394,843,26,0
mecklenburg_140,610,1299,31,0
mecklenburg_141,214,56,7,0
mecklenburg_142,583,1210,41,0
mecklenburg_143,654,1425,48,1
mecklenburg_144,508,943,32,1
mecklenburg_145,1766,1631,57,0
mecklenburg_146,1015,237,16,0
mecklenburg_147,877,174,11,1
mecklenburg_148,1047,1679,67,1
mecklenburg_149,1131,286,23,1
mecklenburg_150,678,480,25,2
mecklenburg_151,926,334,18,1
mecklenburg_200,212,297,10,1
mecklenburg_201,1264,812,29,1
mecklenburg_202,813,1346,56,1
mecklenburg_203,1270,504,30,0
mecklenburg_204.1,1361,342,24,2
mecklenburg_205,655,535,12,4
mecklenburg_206,941,773,22,2
mecklenburg_207,463,1191,43,0
mecklenburg_208,510,1457,40,0
mecklenburg_209,658,1017,34,0
mecklenburg_210,2075,223,14,0
mecklenburg_211,1544,696,29,0
mecklenburg_212,1899,673,28,1
mecklenburg_213,1136,198,17,1
mecklenburg_214,807,479,23,0
mecklenburg_215,485,805,30,1
mecklenburg_216,718,981,27,0
mecklenburg_217,355,595,16,0
mecklenburg_218,376,877,29,5
mecklenburg_219,290,639,14,0
mecklenburg_220,366,866,25,0
mecklenburg_221,487,1326,33,0
mecklenburg_222,1292,569,21,1
mecklenburg_223.1,1204,1011,51,1
mecklenburg_224,448,455,17,0
mecklenburg_225,204,267,20,1
mecklenburg_226,515,819,24,0
mecklenburg_227,731,1243,35,1
mecklenburg_228,688,372,26,0
mecklenburg_229,975,1242,46,0
mecklenburg_230,1180,690,42,3
mecklenburg_231,583,630,21,1
mecklenburg_232,686,1308,35,0
mecklenburg_233,579,1341,41,1
mecklenburg_234,480,629,24,0
mecklenburg_235,521,718,10,1
mecklenburg_236,385,1112,27,0
mecklenburg_237,822,260,30,1
mecklenburg_238.1,655,528,21,1
mecklenburg_239,693,396,8,0
mecklenburg_240,523,1220,33,3
mecklenburg_241,601,1006,34,0
mecklenburg_242,262,1164,16,0
mecklenburg_243,1303,1169,50,1
mecklenburg_CURBSIDE,732,161,1,0
mitchell_01,130,457,25,3
mitchell_02,8,143,0,1
