prec_id,Elaine Marshall,Richard Burr,Michael Beitler,Write-in
buncombe_20.1,139,53,10,0
buncombe_21.1,418,294,13,0
buncombe_22.2,418,222,17,0
buncombe_23.2,60,38,2,0
buncombe_23.3,184,187,5,0
buncombe_24.1,211,262,14,0
buncombe_25.1,331,270,20,1
buncombe_26.1,227,113,13,0
buncombe_27.2,139,85,7,1
buncombe_28.1,407,131,14,0
buncombe_29.2,368,371,14,0
buncombe_30.2,143,224,13,1
buncombe_30.3,183,332,6,0
buncombe_31.1,181,381,9,0
buncombe_32.1,174,246,22,1
buncombe_33.2,124,162,9,0
buncombe_33.3,256,246,15,1
buncombe_34.1,170,138,7,0
buncombe_35.1,203,182,15,2
buncombe_36.1,207,246,17,0
buncombe_37.1,157,210,9,0
buncombe_38.2,117,285,17,0
buncombe_38.3,214,503,24,0
buncombe_39.2,175,271,11,0
buncombe_39.3,189,329,16,1
buncombe_40.2,324,560,22,0
buncombe_41.1,222,410,19,0
buncombe_42.1,215,254,14,0
buncombe_43.2,151,192,8,0
buncombe_44.1,330,552,24,1
buncombe_45.1,305,482,28,2
buncombe_46.1,130,183,14,1
buncombe_47.1,340,658,46,0
buncombe_48.1,254,466,21,1
buncombe_49.1,275,626,28,0
buncombe_50.1,211,290,10,5
buncombe_51.2,194,273,17,1
buncombe_52.1,221,473,32,1
buncombe_53.1,230,388,22,0
buncombe_54.2,253,312,20,2
buncombe_55.1,298,463,33,0
buncombe_56.2,246,317,19,0
buncombe_57.1,286,483,26,1
buncombe_58.1,167,272,16,0
buncombe_59.1,341,489,27,0
buncombe_60.2,132,111,13,0
buncombe_60.4,174,253,9,0
buncombe_61.1,388,458,23,3
buncombe_62.1,291,327,25,0
buncombe_63.1,77,79,8,0
buncombe_64.1,181,292,24,0
buncombe_65.1,296,351,14,1
buncombe_66.1,256,164,15,0
buncombe_67.1,259,285,19,2
buncombe_68.1,270,476,27,0
buncombe_681,36,85,8,0
buncombe_69.1,270,442,28,0
buncombe_70.1,258,233,21,0
buncombe_71.1,415,517,20,0
buncombe_CURBSIDE,0,0,0,0
burke_0001,465,707,21,0
burke_0003,132,348,15,0
burke_0011,221,674,18,0
burke_0012,126,500,19,0
burke_0013,170,772,26,0
burke_0014,157,588,13,0
burke_0015,142,390,10,0
burke_0018,93,110,5,0
burke_0019,113,186,3,0
burke_0020,181,262,6,0
burke_0021,214,324,17,0
burke_0022,254,543,15,0
burke_0024,376,689,13,0
burke_0029-A,83,299,12,0
burke_0029-B,135,259,9,0
burke_0031,464,277,15,2
burke_0034,414,409,14,0
burke_0035,349,272,9,0
burke_0036,311,425,21,1
burke_0038,339,493,20,0
burke_0039,311,331,15,0
burke_0040,271,405,23,0
burke_0047-A,525,387,20,0
burke_0047-B,269,253,21,0
burke_0048,415,544,18,1
burke_0051,428,722,30,0
burke_0052,207,242,12,1
burke_0053,274,513,25,0
burke_0062,129,192,8,0
burke_0064,103,211,6,0
burke_0065,143,262,8,0
burke_0066,257,409,13,0
burke_0070,356,631,24,0
cabarrus_43832,181,526,25,0
cabarrus_43834,344,608,18,0
cabarrus_43836,285,510,15,0
cabarrus_43837,247,531,15,0
cabarrus_43838,260,450,19,0
cabarrus_43839,88,259,9,0
cabarrus_43840,254,460,17,0
cabarrus_43862,262,519,24,0
cabarrus_43863,395,831,23,0
cabarrus_43864,451,958,34,0
cabarrus_43866,336,764,37,2
cabarrus_43867,348,367,24,0
cabarrus_43868,273,663,17,0
cabarrus_43869,539,764,22,1
cabarrus_43870,550,721,25,0
cabarrus_36586,255,816,36,0
cabarrus_43922,316,418,11,1
cabarrus_43923,329,306,13,1
cabarrus_43924,390,500,20,0
cabarrus_43925,217,248,8,0
cabarrus_43926,140,213,9,1
cabarrus_43927,189,259,8,1
cabarrus_43928,146,444,11,0
cabarrus_43929,105,251,15,0
cabarrus_43930,248,461,22,0
cabarrus_43931,289,629,20,1
cabarrus_36647,177,520,16,0
cabarrus_36678,154,625,25,0
cabarrus_36708,82,326,7,0
cabarrus_36739,300,973,24,0
cabarrus_36770,142,603,26,0
cabarrus_36800,362,1149,39,0
cabarrus_44136,385,596,22,0
cabarrus_44137,211,580,17,1
cabarrus_44166,122,84,3,0
cabarrus_44167,255,157,15,0
cabarrus_44168,192,407,12,0
cabarrus_44169,243,280,11,0
cabarrus_44170,227,424,22,1
cabarrus_44171,199,256,16,0
cabarrus_44172,325,31,0,0
cabarrus_44173,134,171,10,0
cabarrus_44174,164,419,16,0
cabarrus_44175,131,278,9,0
cabarrus_44176,142,269,9,0
cabarrus_44177,192,347,20,0
caldwell_PR01,233,439,36,0
caldwell_PR02,145,244,26,0
caldwell_PR05,196,482,33,0
caldwell_PR06,151,359,16,0
caldwell_PR07,113,372,17,2
caldwell_PR08,135,211,22,1
caldwell_PR13,177,570,27,1
caldwell_PR14,181,402,24,1
caldwell_PR15,209,574,19,1
caldwell_PR16,170,148,19,0
caldwell_PR17,119,261,20,1
caldwell_PR18,302,628,34,1
caldwell_PR21,202,505,18,1
caldwell_PR22,187,525,19,0
caldwell_PR24,121,283,7,0
caldwell_PR25,125,310,13,1
caldwell_PR28,136,519,29,1
caldwell_PR29,183,286,17,1
caldwell_PR30,282,177,11,1
caldwell_PR31,143,180,10,1
caldwell_PR32,196,541,22,0
camden_CH,223,426,23,0
camden_SH,151,367,16,0
camden_SM,245,447,19,0
carteret_ABCH,104,329,8,0
carteret_ATLN,77,147,9,1
carteret_BCRK,115,456,13,0
carteret_BETT,27,96,2,0
carteret_BFT1,204,154,5,1
carteret_BFT2,264,407,22,2
carteret_BOGU,114,458,16,0
carteret_CCCP,98,420,13,0
carteret_CDIS,35,62,1,0
carteret_DAVI,45,96,2,0
carteret_EMIS,252,609,18,1
carteret_HAIS,116,305,4,0
carteret_HARL,21,178,5,0
carteret_IBSP,48,82,1,0
carteret_MARS,58,106,4,2
carteret_MCRK,34,169,4,0
carteret_MERR,56,122,8,0
carteret_MHD1,216,385,14,3
carteret_MHD2,230,354,18,3
carteret_MHD3,197,496,12,4
carteret_MHD4,181,576,19,4
carteret_NPT1,243,777,26,5
carteret_NPT2,104,630,13,4
carteret_NRIV,119,50,1,0
carteret_OTST,110,416,10,0
carteret_PELE,48,211,7,0
carteret_PKNL,169,371,11,0
carteret_SLVL,30,60,2,0
carteret_SMYR,28,67,5,0
carteret_STAC,14,56,0,0
carteret_STEL,50,218,8,0
carteret_WILD,162,518,18,1
carteret_WILL,31,92,1,0
carteret_WIRE,113,209,4,0
caswell_ANDE,127,264,9,0
caswell_HIGH,243,195,5,0
caswell_LEAS,164,139,7,0
caswell_LOCU,539,348,11,0
caswell_MILT,639,364,15,0
caswell_PELH,468,778,26,0
caswell_PROS,127,280,11,0
caswell_PROVI,162,240,5,0
caswell_STON,335,499,24,0
caswell_YAN2,262,303,7,0
caswell_YAN4,273,133,9,0
caswell_CURBSIDE,0,0,0,0
catawba_01,249,1062,30,0
catawba_02,185,748,25,2
catawba_03,230,573,37,0
catawba_04,131,122,7,0
catawba_05,436,747,32,0
catawba_06,286,737,14,2
catawba_07,394,638,31,0
catawba_08,322,834,31,0
catawba_09,231,706,15,0
catawba_10,154,74,2,1
catawba_11,163,227,9,0
catawba_12,481,118,8,3
catawba_13,230,183,7,0
catawba_14,251,505,17,0
catawba_15,295,8,1,0
catawba_16,303,423,26,1
catawba_17,200,303,18,0
catawba_19,178,250,14,0
catawba_20,352,793,30,1
catawba_21,137,518,20,0
catawba_22,387,828,38,0
catawba_23,457,1195,38,3
catawba_24,416,1223,35,2
catawba_25,238,411,24,0
catawba_26,286,575,7,0
catawba_27,312,974,49,3
catawba_28,284,833,35,0
catawba_29,230,766,28,0
catawba_30,426,777,42,1
catawba_31,417,1207,43,1
catawba_32,471,685,39,2
catawba_33,590,1722,52,1
catawba_34,538,1503,57,0
catawba_35,226,494,22,0
catawba_36,304,747,17,0
catawba_37,332,530,22,1
catawba_38,362,868,35,0
catawba_39,266,837,22,0
catawba_40,286,400,14,0
catawba_41,234,1025,13,0
catawba_CURBSIDE,64,91,0,0
chatham_3,197,375,22,0
chatham_6,99,274,11,0
chatham_9,168,347,8,1
chatham_15,294,176,22,1
chatham_18,328,489,8,0
chatham_20,265,382,24,1
chatham_21,219,258,17,0
chatham_24,40,278,7,1
chatham_30,167,212,16,0
chatham_42,183,303,11,0
chatham_45,177,191,10,1
chatham_73,338,137,1,0
chatham_75,445,493,21,1
chatham_78,463,365,17,0
chatham_85,223,242,14,0
chatham_NWM117,480,395,20,0
chatham_MCH110,682,312,36,1
chatham_ESC114,463,399,16,1
chatham_PIT113,723,531,39,1
cherokee_ANNW,250,448,30,0
cherokee_ANSW,301,471,29,0
cherokee_BELL,142,305,19,1
cherokee_BRAS,120,246,18,0
cherokee_CSON,91,238,13,1
cherokee_GCRK,41,165,5,0
cherokee_HANG,75,304,21,0
cherokee_HIWA,231,587,37,0
cherokee_HOTH,131,384,15,0
cherokee_MARB,201,412,38,1
cherokee_MURN,351,536,35,0
cherokee_MURS,341,635,43,1
cherokee_PCHT,324,692,34,0
cherokee_RGER,203,448,26,0
cherokee_TOPT,62,153,3,1
cherokee_UNKA,66,153,10,0
cherokee_CURBSIDE,0,0,0,0
chowan_1,326,164,8,0
chowan_2,372,322,10,0
chowan_3,129,375,12,0
chowan_4,142,176,2,0
chowan_5,95,231,7,0
chowan_6,171,230,7,0
clay_BRAS,159,274,19,0
clay_HAY1,231,405,26,0
clay_HAY2,285,474,27,1
clay_HAYC,83,148,18,1
clay_HIAW,239,461,24,0
clay_SHCR,175,488,33,1
clay_SWEE,128,259,20,0
clay_TUSQ,129,260,21,0
clay_WARN,124,246,15,0
cleveland_B SPGS,777,1610,40,2
cleveland_BETHWR,176,490,18,1
cleveland_CASAR,110,487,8,1
cleveland_FALSTN,202,488,13,0
cleveland_GROVER,389,745,16,1
cleveland_H SPGS,87,154,4,0
cleveland_KINGST,292,143,6,0
cleveland_KM N,691,1082,28,2
cleveland_KM S,560,900,40,0
cleveland_LATT,301,787,25,0
cleveland_LAWNDL,468,340,21,0
cleveland_MRB-YO,175,421,13,1
cleveland_MULLS,245,541,14,0
cleveland_OAKGRV,310,972,32,0
cleveland_POLKVL,323,601,19,0
cleveland_RIPPY,478,795,27,2
cleveland_S 1,407,309,7,0
cleveland_S 2,532,914,22,1
cleveland_S 3,317,292,13,0
cleveland_S 4,570,380,17,0
cleveland_S 5,539,559,20,0
cleveland_S 6,573,493,11,0
cleveland_S 7,555,704,20,0
cleveland_S 8,451,432,20,0
cleveland_SHANGI,381,701,31,0
cleveland_WACO,488,779,19,1
columbus_P01A,264,265,16,0
columbus_P02A,204,83,4,0
columbus_P03,68,153,1,0
columbus_P04,57,62,1,0
columbus_P05,64,83,2,0
columbus_P06,125,193,5,0
columbus_P07,401,282,13,2
columbus_P08,26,116,0,0
columbus_P09,210,155,7,0
columbus_P10,64,164,6,1
columbus_P11,76,216,7,0
columbus_P12,33,87,4,0
columbus_P13,83,166,7,0
columbus_P14,391,436,12,0
columbus_P15,351,266,7,0
columbus_P16A,224,336,14,0
columbus_P17,242,126,2,1
columbus_P18,84,71,6,0
columbus_P19,218,319,5,1
