prec_id,Obama/Biden,Romney/Ryan,Johnson/Gray,Virgil Goode (Write-in),Write-in (miscellaneous)
alamance_01,488,1661,16,1,6
alamance_02,429,1936,32,0,4
alamance_035,832,1437,19,0,3
alamance_03C,526,1318,19,0,2
alamance_03N,881,1380,21,0,6
alamance_03N2,262,238,4,0,0
alamance_03S,1380,2088,27,0,7
alamance_03W,568,1125,17,0,6
alamance_04,627,1951,25,1,2
alamance_05,365,1358,14,0,7
alamance_063,987,570,8,0,3
alamance_064,924,1731,21,0,4
alamance_06E,753,683,10,0,0
alamance_06N,941,432,7,0,2
alamance_06S,667,1147,18,0,2
alamance_06W,351,324,10,0,1
alamance_07,425,1593,22,0,3
alamance_08N,643,1117,17,0,1
alamance_08S,283,685,11,6,5
alamance_09N,479,763,17,0,1
alamance_09S,1078,1666,29,2,3
alamance_103,559,1195,9,1,3
alamance_10N,950,1459,18,3,5
alamance_10S,2098,2045,69,0,19
alamance_11,1280,880,15,0,2
alamance_124,543,723,15,0,2
alamance_125,483,899,12,0,2
alamance_126,476,965,8,0,2
alamance_127,1982,596,12,0,1
alamance_128,794,336,13,0,4
alamance_129,339,755,7,0,0
alamance_1210,550,549,8,1,0
alamance_12E,594,344,4,0,0
alamance_12N,2009,275,11,0,1
alamance_12S,534,215,1,0,2
alamance_12W,650,736,18,0,3
alamance_13,1145,995,13,3,2
alamance_CURBSIDE,0,0,0,0,0
alexander_B1,455,1596,20,0,5
alexander_B2,548,1699,36,0,6
alexander_E,463,1161,38,0,8
alexander_G1,98,389,8,1,0
alexander_G2,184,419,6,0,3
alexander_L,193,579,15,0,2
alexander_M,313,767,18,0,7
alexander_S1,325,936,26,0,3
alexander_S2,199,403,11,0,3
alexander_SL,105,509,3,0,2
alexander_T1,223,690,16,1,2
alexander_T2,397,610,13,0,1
alexander_T3,299,552,12,4,4
alexander_T4,389,591,14,0,3
alexander_T5,168,459,11,0,6
alexander_W,252,893,16,0,8
alleghany_01,224,572,9,3,1
alleghany_02,44,137,0,0,1
alleghany_03,712,1125,31,0,5
alleghany_04,215,713,10,0,3
alleghany_05,145,248,7,0,1
alleghany_06,123,281,7,2,4
alleghany_07,111,301,9,0,1
alleghany_CURBSIDE,0,0,0,0,0
anson_ANS,412,336,5,0,1
anson_BURN,281,596,4,0,0
anson_GULL,525,257,4,0,1
anson_LILE,1142,518,8,0,0
anson_MM,789,151,4,0,1
anson_PEAC,257,581,10,0,3
anson_POLK,384,302,3,0,4
anson_W1,1314,399,4,0,3
anson_W2,842,305,4,0,1
anson_W3,973,626,6,0,3
anson_WS,100,95,1,0,1
ashe_02,141,314,12,0,2
ashe_03,44,175,3,0,1
ashe_04,47,129,3,0,1
ashe_06,59,148,4,0,4
ashe_07,62,80,7,0,2
ashe_08,38,47,0,0,0
ashe_09,315,544,12,0,5
ashe_10,32,68,3,0,0
ashe_11,265,419,9,0,3
ashe_12,88,235,4,0,2
ashe_13,115,281,5,0,4
ashe_14,177,372,8,0,3
ashe_15,74,255,8,0,4
ashe_16,191,410,10,0,5
ashe_17,89,284,7,0,6
ashe_18,26,52,1,0,2
ashe_20,285,561,18,0,3
avery_01,83,332,5,0,0
avery_02,315,644,19,0,2
avery_03,40,200,3,0,1
avery_04,12,25,0,0,0
avery_05,16,119,1,0,0
avery_06,78,240,3,0,0
avery_07,23,113,0,0,0
avery_08,29,159,1,0,0
avery_09,19,169,2,0,1
avery_10,90,312,6,0,0
avery_11,68,153,1,0,1
avery_12,21,143,2,0,0
avery_13,81,158,1,0,0
avery_14,73,280,8,0,1
avery_15,59,216,2,0,0
avery_16,145,358,10,0,4
avery_17,42,238,4,0,0
avery_18,32,153,4,0,1
avery_19,18,161,0,0,0
beaufort_AUROR,201,200,4,0,0
beaufort_BEADM,80,447,2,0,1
beaufort_BELHV,198,249,2,1,1
beaufort_BLCK,161,167,4,0,0
beaufort_CHOCO,288,571,8,0,2
beaufort_EDWAR,197,198,2,0,1
beaufort_GILEA,121,219,3,0,0
beaufort_HB,56,311,1,0,1
beaufort_NCRK,100,425,7,0,3
beaufort_OLDF,156,234,4,0,2
beaufort_PANTE,159,315,3,0,0
beaufort_PINET,48,346,4,0,0
beaufort_PSJW3,247,50,1,0,0
beaufort_RVRD,156,355,3,0,3
beaufort_SURBA,158,550,4,0,0
beaufort_TCRK,154,505,7,0,6
beaufort_WASH1,223,128,5,0,2
beaufort_WASH2,205,113,3,0,0
beaufort_WASH4,186,247,7,0,0
beaufort_WASHP,103,263,3,0,2
beaufort_WDPD,80,358,6,0,3
bertie_C1,106,179,1,0,0
bertie_C2,171,78,2,0,0
bertie_IW,102,13,0,0,0
bertie_M1,115,141,1,0,0
bertie_M2,246,148,2,0,0
bertie_MH,113,124,1,0,1
bertie_RX,382,111,0,0,0
bertie_SN,160,37,0,0,0
bertie_W1,446,228,6,0,1
bertie_W2,21,283,3,0,0
bertie_WD,283,36,1,0,0
bertie_WH,154,195,2,0,0
bladen_P10,120,142,2,0,0
bladen_P15,186,333,6,0,4
bladen_P201,80,223,9,0,3
bladen_P202,169,311,5,0,1
bladen_P25,191,215,5,0,0
bladen_P30,131,52,1,0,1
bladen_P35,74,85,1,0,2
bladen_P40,111,272,6,0,1
bladen_P45,69,165,4,0,1
bladen_P501,292,167,2,0,1
bladen_P502,161,118,3,0,0
bladen_P55,145,146,1,0,0
bladen_P60,233,211,6,0,1
bladen_P65,69,132,0,0,0
bladen_P70,69,83,1,0,0
bladen_P75,220,97,0,0,0
bladen_P80,132,203,5,0,1
bladen_CURBSIDE,0,0,0,0,0
brunswick_01,536,527,9,0,1
brunswick_02,1343,1244,26,0,9
brunswick_03,607,336,10,0,1
brunswick_04A,1808,2308,27,0,9
brunswick_04B,877,1249,23,0,4
brunswick_04C,645,835,8,0,5
brunswick_05,835,1295,24,0,8
brunswick_06,434,570,8,0,0
brunswick_07,711,988,7,0,3
brunswick_08,1038,1509,24,0,5
brunswick_09,294,493,3,0,0
brunswick_10A,635,1247,14,0,3
brunswick_10B,945,1802,10,0,5
brunswick_11,912,647,11,1,1
brunswick_12,619,1106,14,1,3
brunswick_13,707,1077,26,0,3
brunswick_14,840,1881,20,0,9
brunswick_15,1004,2100,35,0,6
brunswick_16,977,2010,20,0,0
brunswick_17,1476,1886,14,0,1
brunswick_18,347,720,12,0,1
brunswick_19,932,1635,13,0,2
brunswick_20,633,1385,29,0,9
brunswick_21,802,1846,37,0,5
brunswick_22,547,981,14,0,3
brunswick_23,533,997,12,0,8
brunswick_CURBSIDE,245,223,0,0,0
buncombe_01.1,400,61,18,0,9
