prec_id,Deborah K. Ross,Richard Burr,Sean Haugh
forsyth_802,418,688,14
forsyth_805,739,895,37
forsyth_403,859,62,21
forsyth_71,823,1536,73
forsyth_91,355,1007,65
forsyth_207,1086,252,38
forsyth_31,504,822,50
forsyth_701,398,554,12
forsyth_702,694,391,48
forsyth_707,494,385,46
forsyth_302,568,28,15
forsyth_101,686,695,50
forsyth_909,464,398,38
forsyth_133,1220,2409,134
forsyth_304,1193,44,19
forsyth_51,607,1086,63
forsyth_67,467,646,74
forsyth_83,868,470,40
forsyth_803,393,835,10
forsyth_806,513,712,35
forsyth_809,781,974,45
forsyth_709,1023,777,77
forsyth_ABS/PROV/CURB 4,1418,1531,53
forsyth_205,485,15,5
forsyth_401,937,83,15
forsyth_34,502,894,57
forsyth_33,878,627,54
forsyth_21,485,1817,85
forsyth_11,1206,1847,131
forsyth_122,2046,1593,139
forsyth_65,752,1612,91
forsyth_63,757,1690,89
forsyth_68,537,1222,87
forsyth_901,702,522,20
forsyth_906,1158,856,60
forsyth_ABS/PROV/CURB 2,2720,2591,134
forsyth_305,861,32,9
forsyth_502,769,47,16
forsyth_503,784,153,31
forsyth_204,829,83,19
forsyth_53,500,1082,55
forsyth_14,377,948,56
forsyth_43,745,914,70
forsyth_706,456,334,37
forsyth_705,862,481,53
forsyth_132,980,1545,89
forsyth_804,405,494,26
forsyth_807,592,707,34
forsyth_801,464,410,16
forsyth_605,1442,731,71
forsyth_602,1631,984,101
forsyth_32,574,1055,77
forsyth_74,895,1098,71
forsyth_111,274,924,56
forsyth_123,830,894,58
forsyth_501,1204,108,27
forsyth_506,545,394,39
forsyth_607,880,581,59
forsyth_904,1045,322,40
forsyth_907,706,486,39
forsyth_902,859,271,29
forsyth_52,309,534,39
forsyth_603,995,275,44
forsyth_66,399,959,65
forsyth_203,950,31,16
forsyth_808,1297,698,73
forsyth_ABS/PROV/CURB 3,3487,1888,125
forsyth_606,682,369,42
forsyth_708,1366,1107,91
forsyth_61,485,760,59
forsyth_81,1245,763,74
forsyth_201,1960,353,62
forsyth_206,906,108,13
forsyth_12,373,1260,56
forsyth_15,407,840,46
forsyth_64,296,462,28
forsyth_55,802,1489,56
forsyth_301,555,21,8
forsyth_505,808,214,32
forsyth_504,598,106,38
forsyth_404,1162,244,32
forsyth_704,772,414,33
forsyth_703,515,308,32
forsyth_903,1347,765,46
forsyth_905,899,367,46
forsyth_303,433,16,7
forsyth_306,793,124,27
forsyth_54,631,1174,43
forsyth_13,971,1571,93
forsyth_92,265,887,48
forsyth_75,128,350,14
forsyth_112,567,1278,93
forsyth_ABS/PROV/CURB 1,1668,3594,147
forsyth_42,982,1008,64
forsyth_82,1614,1298,77
forsyth_62,445,916,52
durham_26,123,324,14
durham_28,214,551,32
durham_27,271,223,20
durham_51,449,251,42
durham_32,119,239,18
gates_4S,155,159,5
gates_3,277,347,16
gates_4N,176,373,22
gates_2,97,327,8
gates_ABSENTEE,51,59,1
gates_5,144,309,5
gates_1,176,214,10
graham_STEC,162,554,36
graham_EAST,382,1149,60
graham_WEST,280,977,70
graham_TAPO,48,255,8
durham_53-2,430,319,32
guilford_SF4,965,1758,86
guilford_SF3,897,1239,68
guilford_G56,909,268,36
guilford_G59,766,192,35
guilford_G67,971,28,25
guilford_G64,1330,416,75
guilford_G53,1849,140,31
guilford_G15,738,323,31
guilford_H29A,847,596,52
guilford_NMAD,676,897,55
guilford_H05,1115,206,32
guilford_G10,1478,341,46
guilford_G12,674,180,26
guilford_FR5A,657,824,48
guilford_H09,927,29,24
guilford_H14,372,777,25
guilford_G49,650,132,32
guilford_G61,1050,276,48
guilford_G48,1612,463,101
guilford_G50,1528,345,80
guilford_G29,752,419,45
guilford_G27,1111,1076,75
guilford_G42A,747,736,47
guilford_G40A2,475,403,29
guilford_G43,1298,530,63
guilford_G22,563,843,24
guilford_FR5B,376,648,52
guilford_SUM1,983,523,38
guilford_G09,1590,304,44
guilford_GR,312,1436,61
guilford_H04,941,568,50
guilford_NWASH,149,770,29
guilford_JEF1,837,1138,61
guilford_G40B,547,551,35
guilford_H20A,462,425,41
guilford_SF1,744,1651,80
guilford_G45,2204,442,91
guilford_G44,1260,291,57
guilford_G23,607,412,45
guilford_G25,863,540,51
guilford_G28,494,329,40
guilford_MON2B,833,441,41
guilford_JAM5,211,759,40
guilford_G19,541,631,26
guilford_G16,658,547,15
guilford_G31,598,503,61
guilford_FR1,1715,1011,83
guilford_CG1,1021,776,74
guilford_G38,1069,742,40
guilford_G41A,590,491,52
guilford_G05,996,80,11
guilford_ABS/CURB/PROV 4,58,86,10
guilford_H11,937,178,32
guilford_H18,973,277,30
guilford_H19B,341,326,24
guilford_G72,1421,90,34
guilford_G71,1435,50,34
guilford_MON1,1064,589,49
guilford_OR2,545,1345,71
guilford_NCGR2,494,1193,39
guilford_NCLAY1,694,1205,50
guilford_G30,594,746,57
guilford_G32,985,1010,34
guilford_G33,645,703,27
guilford_G35,552,472,18
guilford_G41B,674,643,44
guilford_OR1,775,1953,66
guilford_MON3,1000,1974,93
guilford_NCGR1,772,1549,83
guilford_JAM2,605,765,38
guilford_H10,1222,160,43
guilford_H13,530,731,41
guilford_H06,1165,736,84
guilford_CG3A,694,671,23
guilford_CG3B,1060,985,51
guilford_FR4,456,675,39
guilford_G17,661,582,50
guilford_G11,836,275,27
guilford_MON2A,1594,548,50
guilford_H17,544,228,31
guilford_H19A,771,106,31
guilford_G57,1097,252,33
guilford_G68,1288,31,29
guilford_G06,995,44,19
guilford_G21,1317,1141,58
guilford_G24,630,259,31
guilford_H02,453,546,43
guilford_H01,727,322,53
guilford_G46,1739,93,41
guilford_H22,465,401,32
guilford_H28,1176,970,72
guilford_H25,1025,1544,75
guilford_SCLAY,273,1210,67
guilford_RC2,1357,1591,104
guilford_SUM2,891,507,38
guilford_PG2,453,1490,59
guilford_G40A1,639,607,30
guilford_G26,1685,546,58
guilford_G54,1555,213,50
guilford_G65,1033,607,75
guilford_G62,586,361,41
guilford_G51,787,336,44
guilford_G47,1427,302,85
guilford_JAM1,858,1231,73
guilford_JEF4,629,755,34
guilford_JEF3,2242,485,56
guilford_G13,790,338,35
guilford_ABS/PROV/CURB 1,457,225,29
guilford_G14,677,283,21
guilford_G42B,254,183,6
guilford_G52,1119,134,32
guilford_G55,1459,324,46
guilford_G58,1243,204,43
guilford_G66,988,749,57
guilford_G63,863,452,51
guilford_G60,881,274,50
guilford_H29B,1030,704,76
guilford_JEF2,1104,672,51
guilford_H07,802,86,23
guilford_H12,600,264,42
guilford_H15,630,610,57
guilford_G69,1349,146,34
guilford_PG1,444,782,50
guilford_SDRI,1256,2328,110
guilford_SMAD,745,1043,68
guilford_SUM3,204,714,29
guilford_SUM4,254,1178,48
guilford_G18,440,647,20
guilford_CG2,739,785,44
guilford_ABS/PROV/CURB 3,376,294,36
guilford_JAM4,514,1175,48
guilford_JAM3,574,831,43
guilford_H08,562,57,19
guilford_H03,695,193,27
guilford_SF2,343,905,43
guilford_H16,420,489,35
guilford_H20B,364,509,25
guilford_H26,678,842,51
guilford_G74,1480,39,27
guilford_FEN2,445,950,56
guilford_G02,575,222,17
guilford_STOK,711,2088,89
guilford_G73,1025,30,19
guilford_H23,367,650,34
guilford_H27-A,853,954,73
guilford_H27-B,496,588,44
guilford_G34,732,769,32
guilford_G36,827,539,19
guilford_G37,1305,420,75
guilford_G39,702,417,22
guilford_RC1,1215,1195,57
guilford_ABS/PROV/CURB 2,727,236,26
guilford_FR3,590,611,34
guilford_G07,902,318,40
guilford_G04,1123,101,15
guilford_G01,789,88,22
guilford_SWASH,127,533,21
guilford_G70,1492,47,21
guilford_G75,1139,87,18
guilford_G03,1208,92,18
guilford_NDRI,399,1416,50
guilford_H21,420,605,52
guilford_G08,1165,362,41
guilford_G20,872,954,52
guilford_FR2,720,919,64
guilford_H24,704,1012,57
guilford_GIB,752,968,73
guilford_NCLAY2,285,797,42
guilford_FEN1,1931,773,58
franklin_13,435,879,38
franklin_18,626,1263,82
franklin_16,882,546,39
franklin_14,972,1900,138
franklin_19,1272,2087,124
franklin_11,701,445,28
franklin_8,788,1098,77
franklin_5,538,951,48
franklin_2,588,392,17
franklin_15,1316,603,68
franklin_1,898,394,47
franklin_7,311,868,41
franklin_10,256,464,13
franklin_9,417,667,31
franklin_6,625,516,37
franklin_3,1067,1124,86
franklin_17,761,1601,99
franklin_12,427,481,25
greene_SHIN,95,275,16
greene_MAUR,190,300,12
greene_SH#1,87,166,12
greene_ABSENTEE,275,66,1
greene_BEAR,59,131,5
greene_HOOK,88,170,7
greene_WALS,140,216,9
greene_SUGG,92,155,4
greene_CAST,65,237,5
greene_BULL,112,123,11
greene_ARBA,103,148,6
haywood_WS-2,510,585,48
haywood_ID,261,329,27
haywood_BE-1,213,518,38
haywood_CL-S,572,908,100
henderson_HC,676,1452,80
henderson_EV,530,1182,63
henderson_ED,421,1099,64
henderson_CURBSIDE,719,1218,70
henderson_CB,227,549,31
henderson_NB,608,1599,112
henderson_FR,926,1469,48
henderson_BC,226,351,27
henderson_RG,481,983,72
henderson_HV-3,801,721,80
henderson_RR,213,392,24
henderson_SM,694,1650,89
henderson_EF,421,972,71
henderson_CC,744,1489,92
henderson_GR,402,1259,64
henderson_PR,506,1031,72
henderson_HS,591,1023,46
henderson_AR,338,582,31
henderson_ES,440,872,75
henderson_LP,597,656,31
henderson_SW,605,974,68
henderson_SE,249,471,33
henderson_LJ,571,857,46
henderson_ABSENTEE,1158,1857,106
henderson_NM,706,1223,71
henderson_PV,551,882,48
henderson_GM,267,532,44
henderson_MG,205,413,37
henderson_AT,650,1440,52
henderson_CV,150,218,9
henderson_FL,1096,1530,108
henderson_HV-1,751,758,54
henderson_HV-2,686,593,60
henderson_NW,476,713,61
henderson_BK,283,490,48
henderson_NE,384,621,62
henderson_SB,421,1303,73
iredell_DV2-A,673,2199,168
iredell_OL,157,730,29
iredell_ST3,1155,864,91
iredell_FT,1366,3641,246
iredell_UG,155,838,44
iredell_CC1,1349,2637,271
iredell_DV1-A,1466,3729,261
iredell_EM,144,663,44
iredell_CH-A,584,1091,82
iredell_SB,207,1089,43
iredell_ST1,976,1577,116
iredell_ST4,890,1171,120
iredell_BA,754,2218,187
iredell_DV1-B,1791,4819,283
iredell_NH,134,686,40
iredell_ST2,863,1036,112
iredell_SH-B,382,1661,148
iredell_ST5,1015,1003,107
iredell_CH-B,474,1192,124
iredell_ST6,1230,854,85
iredell_TB,479,1061,79
iredell_CC2,1395,2233,241
iredell_CC4,1336,2733,256
iredell_SH-A,432,1626,110
iredell_BE,941,2602,162
iredell_CC3,1679,3400,333
iredell_DV2-B,941,2165,177
iredell_CS,509,1255,114
iredell_CD,710,2352,175
lee_C2,178,330,32
lee_E2,239,254,23
lee_OS-PAPER,7558,9469,541
lee_B1,144,439,14
lee_D1,185,486,31
lee_D2,175,498,36
lee_B2,198,243,22
lee_A2,541,205,33
lee_A1,357,322,46
lee_C1,281,431,40
lee_ABSENTEE,293,355,18
lee_E1,191,442,21
lincoln_OB21,114,505,32
lincoln_OS-WEST,458,1768,94
lincoln_LS12,123,154,25
lincoln_DW28,95,436,28
lincoln_HC33,205,635,56
lincoln_AS25,142,495,28
lincoln_SL24,116,409,33
lincoln_OS-EAST,2578,7895,457
lincoln_NB35,101,590,33
lincoln_DN29,117,487,46
lincoln_IS20,92,482,40
lincoln_OS-LINCOLN,3508,7274,512
lincoln_LI14,76,241,14
lincoln_LN11,131,188,12
lincoln_LW31,143,512,30
lincoln_BS26,109,421,34
lincoln_ST36,181,547,51
lincoln_TA37,118,345,30
lincoln_BC13,135,203,24
lincoln_ABSENTEE,375,794,45
lincoln_IS23,158,480,51
lincoln_LW18,70,251,22
lincoln_DV08,144,600,47
lincoln_LB34,137,576,48
lincoln_CF19,66,288,19
lincoln_WP32,193,693,53
lincoln_PC22,88,511,36
hyde_FF,66,118,5
hyde_ABSENTEE,26,27,3
hyde_ENG,85,155,18
hyde_OS OCK,180,63,4
hyde_SQ,43,142,4
hyde_BM,13,143,4
hyde_LL,101,111,8
hyde_OS BOE,228,260,13
hyde_SLAD,61,120,4
hyde_OCK,140,96,13
jones_P07,288,209,19
jones_P04,192,313,32
jones_P01,99,187,13
jones_P06,53,210,14
jones_P03,37,188,14
jones_ABSENTEE,28,74,2
jones_P05,280,175,7
jones_P02,33,143,4
harnett_OS ANDERSON,794,1149,86
harnett_OS ANGIER,740,1455,68
harnett_PR32,294,596,27
harnett_PR29,486,789,34
harnett_PR26,322,775,33
harnett_PR01,499,870,79
harnett_OS ERWIN,1180,2063,79
harnett_OS LOBBY,6187,8878,475
harnett_PR24,377,1226,58
harnett_PR28,358,1324,66
harnett_ABSENTEE,527,1099,75
harnett_PR31,204,193,22
harnett_PR20,443,357,25
harnett_PR08,475,775,56
harnett_OS WESTERN,1579,2202,151
harnett_PR16,518,851,89
harnett_PR07,629,1106,115
harnett_PR25,612,633,26
harnett_PR23,364,701,50
hoke_61,645,347,23
hoke_15,718,511,64
hoke_12,785,1340,115
hoke_3,338,188,17
hoke_4,289,373,18
hoke_1,112,106,8
hoke_5,467,469,46
hoke_2,637,415,40
hoke_62,313,252,15
hoke_14,1415,862,105
hoke_63,1276,512,64
hoke_06B,1133,1206,120
hoke_13,299,522,36
hoke_64,648,548,46
hoke_65,486,18,6
johnston_PR04,150,391,11
johnston_PR37,302,917,31
johnston_PR23A,261,843,60
johnston_PR35,247,551,35
johnston_PR08,114,683,24
johnston_PR22,246,825,37
johnston_PR23B,281,810,49
johnston_PR13,152,573,30
johnston_PR26,283,176,21
johnston_PR38,117,703,20
johnston_PR33,268,952,55
johnston_PR36,278,906,37
johnston_PR07,230,984,31
johnston_PR14,119,595,44
martin_HS,74,43,7
martin_CR,121,240,11
martin_J,192,448,24
martin_W,68,263,9
martin_BG,109,551,34
martin_HM,197,141,10
martin_PP,35,69,5
martin_ABSENTEE,93,126,9
martin_GN,212,187,16
martin_R2,303,196,12
martin_GR,98,396,20
martin_W1,321,301,19
martin_R1,243,154,7
martin_W2,325,254,12
jackson_GLV,295,760,41
jackson_CFK,144,239,12
jackson_SAV,278,480,46
jackson_ABSENTEE,256,269,18
jackson_SSW,871,820,95
jackson_SND,858,833,84
jackson_RIV,190,308,21
jackson_CAN,101,197,7
jackson_BCK,276,535,31
jackson_CURBSIDE OS,58,40,5
jackson_SCC,399,572,46
jackson_QUA,850,899,98
jackson_CURBSIDE ED,18,19,2
jackson_GCK,287,384,31
jackson_CUL,2073,1749,231
jackson_WEB,635,651,40
jackson_CAS,379,808,37
johnston_PR31A,136,373,24
johnston_PR34,406,531,67
johnston_PR12B,277,558,37
johnston_PR10A,271,251,28
johnston_PR09,254,613,56
johnston_PR29A,236,579,42
johnston_PR27B,226,373,25
johnston_PR10B,111,335,21
johnston_PR25,305,308,30
johnston_PR20,393,754,36
johnston_PR11A,199,400,32
johnston_PR21,139,713,26
johnston_PR27A,168,180,11
johnston_PR28,225,545,35
johnston_PR30,313,545,51
johnston_PR12A,251,503,41
johnston_PR32,204,576,44
johnston_PR24,358,245,21
johnston_PR31B,263,689,50
johnston_PR29B,355,853,63
johnston_PR11B,277,467,43
johnston_PR19,168,540,17
hertford_WN,133,70,2
hertford_UN,135,135,5
hertford_CM,85,122,3
hertford_A1,293,190,8
hertford_A2,213,224,7
hertford_SJ,204,102,4
hertford_OS AHOSKIE,1827,573,23
hertford_ML,52,210,5
hertford_BR,108,22,4
hertford_HV,180,151,7
hertford_CO,133,32,3
hertford_M2,199,59,5
hertford_OS MBORO,1289,447,12
hertford_M1,361,192,11
hertford_A3,276,14,2
hertford_OS BOE,1089,516,18
hertford_MAIL ABSENTEE,123,47,1
lenoir_I,332,766,43
lenoir_K3,604,172,19
lenoir_K6,1060,173,17
lenoir_K8,616,11,3
lenoir_K2,514,25,13
lenoir_K5,656,216,21
lenoir_C,666,796,40
lenoir_MH,1120,1268,64
lenoir_N,653,1385,75
lenoir_K7,962,225,15
lenoir_K1,483,16,7
lenoir_CURBSIDE,444,137,8
lenoir_PH2,124,634,24
lenoir_T1,164,727,21
lenoir_ABSENTEE,200,300,7
lenoir_FC,778,2029,77
lenoir_W,119,682,22
lenoir_SW,130,556,21
lenoir_K9,826,485,28
lenoir_K4,770,918,41
lenoir_T2,95,521,16
lenoir_V,744,659,28
lenoir_SH,108,394,11
lenoir_PH1,81,357,14
halifax_HAL,145,63,1
halifax_RR 3,91,238,8
halifax_ONE-STOP HALIFAX,3731,867,52
halifax_RR 9,340,173,15
halifax_FAUCT,119,268,6
halifax_RR 10,232,434,15
halifax_ONE-STOP SCOTLAND NECK,1244,421,16
halifax_HOL,776,91,12
halifax_BUTWD,80,88,3
halifax_RRC,166,345,19
halifax_ABSENTEE,258,180,10
halifax_ENF1,686,126,9
halifax_RR 4,68,217,10
halifax_RR 7,178,68,6
halifax_LIT 1,380,136,3
halifax_WEL1-2,285,128,1
halifax_RR 5,72,226,6
halifax_WEL 3,293,152,6
halifax_RR1-2,132,163,10
halifax_SN,376,143,5
halifax_RR 11,188,406,15
halifax_LIT 2,175,327,14
halifax_HPR,181,158,5
halifax_ONE-STOP ROANOKE RAPIDS,4175,3382,158
halifax_CONC,89,32,2
halifax_RINGW,506,56,3
halifax_ENF 2,527,47,1
haywood_SA,540,776,54
haywood_PC,180,530,36
haywood_WW,401,583,60
haywood_WS-1,641,750,39
haywood_P,464,1227,75
haywood_BE-7,201,558,45
haywood_BE-2,251,441,42
haywood_BC,5,10,0
haywood_FC-1,151,290,14
haywood_EF,206,537,41
haywood_CE,50,226,11
haywood_BE-4,329,717,52
haywood_CL-N,453,829,87
haywood_CURBSIDE,199,196,9
haywood_WE,440,569,46
haywood_WO,76,105,7
haywood_LJ,581,614,61
haywood_ABSENTEE,460,541,22
haywood_AC,487,796,74
haywood_JC,699,1174,113
haywood_IH,819,1440,130
haywood_FC-2,34,69,6
haywood_CR,419,587,41
haywood_BE-3,374,790,59
haywood_BE56,462,625,64
haywood_HA,238,321,37
haywood_WC,212,179,29
macon_11,146,445,48
macon_8,29,121,1
macon_2,62,117,9
macon_5,117,317,24
macon_10,40,126,16
macon_ABSENTEE,311,550,28
macon_13,42,245,13
macon_3,104,244,33
macon_9,121,306,16
macon_6,116,288,19
macon_OSBOE,3162,6245,377
macon_4,98,244,15
macon_1,99,206,21
macon_14,49,180,16
macon_15,144,359,23
macon_12,134,310,27
macon_OSHOS,457,681,36
macon_7,113,286,18
mcdowell_NEBO,475,1390,81
mcdowell_N.COVE,110,423,27
mcdowell_FORT 2,195,501,38
mcdowell_CCREEK,502,1240,88
mcdowell_DYSART,309,1057,91
mcdowell_43894,173,379,47
mcdowell_WEST M,545,1590,114
mcdowell_GLENWD,234,900,48
mcdowell_43891,524,1295,65
mcdowell_PLEASA,350,1152,80
mcdowell_T.COVE,72,443,26
mcdowell_M.COVE,205,886,40
mcdowell_43893,158,370,33
mcdowell_43892,457,476,52
mcdowell_43895,161,379,30
mcdowell_HIGGIN,179,587,43
mcdowell_FORT 1,252,603,57
mecklenburg_217,852,897,80
mecklenburg_223.1,2783,1726,172
mecklenburg_220,789,1349,79
mecklenburg_135,3618,596,126
mecklenburg_240,1484,2455,231
mecklenburg_CURBSIDE 21-40,1729,327,34
mecklenburg_4,1045,304,46
mecklenburg_31,1380,70,39
mecklenburg_18,428,816,19
mecklenburg_50,762,467,77
mecklenburg_94,818,352,59
mecklenburg_91,1225,1767,78
mecklenburg_97,731,190,39
mecklenburg_71,416,820,21
mecklenburg_65,504,493,35
mecklenburg_68,746,424,36
mecklenburg_142,1570,2281,171
mecklenburg_147,1715,416,69
mecklenburg_148,3425,3240,299
mecklenburg_221,919,2020,113
mecklenburg_88,928,821,99
mecklenburg_89,2662,1187,155
mecklenburg_39,1330,71,35
mecklenburg_41,1336,140,67
mecklenburg_128,1254,709,72
mecklenburg_123,1313,285,54
mecklenburg_115,738,287,40
mecklenburg_7,794,375,59
mecklenburg_20,926,767,42
mecklenburg_234,1120,986,109
mecklenburg_239,1569,617,71
mecklenburg_236,868,1997,134
mecklenburg_CURBSIDE 41-60,896,393,46
mecklenburg_5,767,149,51
mecklenburg_139.1,1018,1320,89
mecklenburg_103,1048,1275,89
mecklenburg_63,1084,264,58
mecklenburg_80,1413,453,77
mecklenburg_58,772,692,71
mecklenburg_53,1748,166,58
mecklenburg_34,1046,421,99
mecklenburg_33,934,264,58
mecklenburg_110,458,537,36
mecklenburg_90,549,599,48
mecklenburg_82,1724,97,46
mecklenburg_83,1490,586,98
mecklenburg_222,3397,908,164
mecklenburg_212,4852,1233,179
mecklenburg_214,1704,611,95
mecklenburg_215,996,1276,107
mecklenburg_132,839,306,55
mecklenburg_241,1859,2180,152
mecklenburg_119,511,543,39
mecklenburg_100,899,1014,64
mecklenburg_101,758,901,68
mecklenburg_42,1567,76,33
mecklenburg_49,801,807,48
mecklenburg_22,2669,1589,181
mecklenburg_15,1605,576,87
mecklenburg_12,1397,128,51
mecklenburg_25,1311,44,25
mecklenburg_28,1119,187,78
mecklenburg_203,2662,761,134
mecklenburg_206,2297,1463,110
mecklenburg_229,2785,2410,228
mecklenburg_201,2921,1356,176
mecklenburg_17,1058,119,63
mecklenburg_6,1165,186,52
mecklenburg_1,550,527,26
mecklenburg_92,902,1129,41
mecklenburg_54,1630,135,41
mecklenburg_35,650,604,26
mecklenburg_73,594,613,61
mecklenburg_62,1044,214,49
mecklenburg_67,482,534,31
mecklenburg_209,1310,1709,154
mecklenburg_224,954,699,70
mecklenburg_226,1182,1222,119
mecklenburg_141,2204,840,140
mecklenburg_146,2128,364,84
mecklenburg_CURBSIDE 61-80,109,46,7
mecklenburg_95,941,247,47
mecklenburg_98,1244,205,53
mecklenburg_121,1042,1710,83
mecklenburg_127,1304,1945,95
mecklenburg_69,1151,1670,99
mecklenburg_75,868,1282,72
mecklenburg_72,500,603,35
mecklenburg_78.1,878,292,70
mecklenburg_51,1100,774,83
mecklenburg_104,1723,157,51
mecklenburg_105,2037,524,121
mecklenburg_102,1901,786,121
mecklenburg_130,706,293,38
mecklenburg_59,538,369,39
mecklenburg_56,828,34,29
mecklenburg_36,873,844,43
mecklenburg_8,698,1028,40
mecklenburg_231,1542,1155,116
mecklenburg_202,2333,2898,269
mecklenburg_CURBSIDE 1-20,2275,365,62
mecklenburg_213,2577,332,81
mecklenburg_211,4548,1532,240
mecklenburg_210,3380,406,95
mecklenburg_150,1450,759,98
mecklenburg_204.1,2801,546,102
mecklenburg_145,3842,2458,209
mecklenburg_125,619,201,37
mecklenburg_122,2167,1278,181
mecklenburg_86,498,962,32
mecklenburg_87,1014,829,126
mecklenburg_114,867,1188,72
mecklenburg_112,602,960,69
mecklenburg_81,2128,417,79
mecklenburg_9,1274,888,79
mecklenburg_40,1291,165,50
mecklenburg_140,1571,1980,119
mecklenburg_207,1342,2107,161
mecklenburg_134,2049,2284,242
mecklenburg_136,596,879,57
mecklenburg_133,1237,2087,122
mecklenburg_118,879,1006,57
mecklenburg_2,1421,687,83
mecklenburg_233,980,1560,92
mecklenburg_218,624,1162,116
mecklenburg_219,584,1010,78
mecklenburg_11,3174,1846,225
mecklenburg_14,1306,165,66
mecklenburg_243,3639,2124,313
mecklenburg_29,920,326,58
mecklenburg_26,1825,245,57
mecklenburg_23,984,188,41
mecklenburg_108,1148,166,54
mecklenburg_109,1171,571,88
mecklenburg_43,1539,158,49
mecklenburg_44,806,333,44
mecklenburg_46,1331,391,86
mecklenburg_CURBSIDE 81-96,145,57,4
mecklenburg_238.1,1338,710,76
mecklenburg_38,841,474,82
mecklenburg_21,903,502,65
mecklenburg_235,1208,922,98
mecklenburg_85,1006,651,75
mecklenburg_84,1092,218,52
mecklenburg_70,661,911,32
mecklenburg_74,788,1098,71
mecklenburg_76,953,1064,84
mecklenburg_77,1320,118,44
mecklenburg_106,577,628,50
mecklenburg_99,1082,183,45
mecklenburg_111,888,1072,61
mecklenburg_93,504,782,49
mecklenburg_96,746,696,53
mecklenburg_30,1524,449,107
mecklenburg_117,1009,304,53
mecklenburg_116,792,203,38
mecklenburg_208,1128,2147,126
mecklenburg_37,699,703,81
mecklenburg_32,488,990,11
mecklenburg_60,1182,83,27
mecklenburg_52,1508,73,28
mecklenburg_55,956,37,21
mecklenburg_57,630,765,43
mecklenburg_61,1022,329,55
mecklenburg_13,1551,492,91
mecklenburg_16,1861,69,35
mecklenburg_10,1057,779,67
mecklenburg_120,1171,222,53
mecklenburg_66,598,505,45
mecklenburg_129,528,230,40
mecklenburg_126,1626,286,66
mecklenburg_149,2839,595,112
mecklenburg_216,1498,1502,146
mecklenburg_242,531,1548,54
mecklenburg_232,1492,1935,122
mecklenburg_237,2043,531,119
mecklenburg_151,2103,691,103
mecklenburg_143,1513,2249,144
mecklenburg_144,1037,1293,80
mecklenburg_107.1,1925,449,74
mecklenburg_124,1369,173,46
mecklenburg_45,797,273,53
mecklenburg_19,527,743,24
mecklenburg_3,1264,104,37
mecklenburg_64,437,241,34
mecklenburg_138,1581,422,90
mecklenburg_137,1450,2270,137
mecklenburg_228,1777,701,97
mecklenburg_225,597,710,82
mecklenburg_200,636,660,56
mecklenburg_205,1476,774,69
mecklenburg_131,523,750,48
mecklenburg_230,3165,1424,202
mecklenburg_227,1756,2122,121
mecklenburg_48,495,927,18
mecklenburg_47,866,979,55
mecklenburg_24,1460,239,58
mecklenburg_27,1307,124,59
mecklenburg_79,817,377,44
mecklenburg_113,973,1403,76
moore_OS-DC PAPER,213,641,13
moore_VSS,151,374,27
moore_WAB,440,712,59
moore_WEM,107,629,22
moore_ABSENTEE,870,1673,79
moore_WKWD,147,348,19
moore_BEN,147,394,11
moore_SLS,194,663,41
moore_CAM,156,416,13
moore_EUR-WP,251,937,47
moore_CAR,227,557,32
moore_PHB2,124,490,15
moore_SSP,591,352,25
moore_OS-WEG PAPER,1120,1996,87
moore_PHB1,166,477,18
moore_LTR,181,578,47
moore_DHR,94,445,14
moore_EWD,124,304,24
moore_OS-AG PAPER,5351,8897,400
moore_NSP,297,424,47
moore_TLT,147,53,3
moore_PHA1,188,581,43
moore_PHA2,120,382,14
moore_PDN,325,657,66
moore_OS-PFD PAPER,2333,4088,176
moore_OS-VRS PAPER,496,898,41
moore_WND,171,294,21
moore_PHC,328,803,50
moore_RBN,85,236,12
moore_PBF,349,534,30
moore_EKWD,93,233,16
moore_EAB,360,518,36
nash_P21A,363,148,10
nash_P06A,279,276,16
nash_MT PLEASANT OS,713,1425,41
nash_P14A,77,240,5
nash_P19A,407,670,17
nash_P08A,367,419,17
nash_ABSENTEE,357,625,31
nash_P04A,169,291,5
nash_P07A,69,221,7
nash_NASHVILLE OS,8889,10842,311
nash_P22A,367,31,6
nash_P10A,279,149,11
nash_SPRING HOPE OS,912,769,34
nash_P05A,81,654,22
nash_P15A,205,426,14
nash_P20A,258,271,17
nash_P17A,460,392,35
nash_P23A,491,87,6
nash_P13A,293,90,4
nash_ROCKY MOUNT OS,5892,2046,147
nash_P12A,186,167,6
nash_P16A,250,232,15
nash_P03A,153,437,21
nash_P11A,115,549,18
nash_P18A,357,228,12
nash_P24A,247,470,23
nash_P01A,252,430,22
nash_P09A,171,266,22
nash_P02A,266,484,24
montgomery_LIT,55,317,20
montgomery_T1,536,838,41
montgomery_MTG,862,386,31
montgomery_CHE,131,350,18
montgomery_ROC,332,168,14
montgomery_OPH,32,206,4
montgomery_BIS,494,482,38
montgomery_UWH,180,752,43
montgomery_ELD,193,762,33
montgomery_PEE,185,528,31
montgomery_STA,215,808,37
montgomery_CAN,463,494,47
montgomery_WAD,196,142,6
montgomery_T2,332,605,33
new hanover_W27,1598,431,103
new hanover_W24,1456,1040,152
new hanover_FP07,1144,2086,162
new hanover_OS CAB PAPER,69,140,11
