prec_id,Deborah K. Ross,Richard Burr,Sean Haugh
caldwell_PR17,98,208,15
caldwell_PR32,112,578,48
caldwell_PR24,49,223,17
caldwell_PR29,160,286,55
caldwell_PR33,174,690,64
caldwell_PR18,155,493,53
caldwell_PR13,117,657,39
caldwell_PR02,87,252,24
caldwell_PR07,74,378,35
caldwell_PR25,61,259,29
caldwell_PR35,68,291,23
caldwell_PR22,110,462,36
caldwell_PR34,162,673,65
caldwell_PR14,95,343,37
caldwell_PR16,102,138,12
caldwell_PR21,100,518,43
caldwell_PR30,183,207,27
caldwell_PR31,104,155,8
bertie_SN,142,37,2
bertie_ABSENTEE,80,66,4
bertie_OS-POW,898,484,22
bertie_OS-LOB,2382,1412,59
bertie_C2,152,54,0
bertie_WH,132,179,8
bertie_IW,117,12,4
bertie_M1,112,134,5
bertie_C1,103,164,7
bertie_WD,274,41,3
bertie_MH,109,114,4
bertie_W2,15,261,4
bertie_M2,204,133,6
bertie_W1,456,230,10
bertie_RX,351,110,6
brunswick_2,1491,1885,172
brunswick_5,681,1545,135
brunswick_1,448,619,43
brunswick_ABSENTEE MAIL,866,1426,62
brunswick_3,494,385,38
brunswick_6,306,626,52
brunswick_04B1,903,1477,96
brunswick_04A,2226,3224,202
brunswick_04C1,765,1119,78
brunswick_CURBSIDE,376,561,66
brunswick_8,1152,2083,146
brunswick_22,527,1166,88
brunswick_10A,707,1529,89
brunswick_21,744,2046,193
brunswick_18,280,831,53
brunswick_13,609,1318,108
brunswick_9,279,496,22
brunswick_23,559,1195,93
brunswick_15,1096,2606,135
brunswick_17,1351,2342,121
brunswick_10B,1336,2429,46
brunswick_12,535,1371,123
brunswick_7,797,1336,85
brunswick_16,980,2138,119
brunswick_20,541,1565,106
brunswick_11,635,715,64
brunswick_14,758,2043,115
brunswick_19,843,1855,151
ashe_17,53,278,12
ashe_4,48,124,6
ashe_7,42,112,2
ashe_12,71,247,19
ashe_15,61,281,11
ashe_20,188,575,37
ashe_10,20,70,5
ashe_ABSENTEE,158,312,11
ashe_8,30,43,4
ashe_16,88,351,19
ashe_14,110,323,13
ashe_2,97,352,14
ashe_11,152,449,30
ashe_13,95,287,22
ashe_18,11,58,6
ashe_9,224,568,32
ashe_6,38,162,6
ashe_3,29,190,9
beaufort_ABSENTEE,204,338,21
beaufort_WASH4,160,233,16
beaufort_PSJW3,253,41,10
beaufort_AUROR,145,158,16
beaufort_OS BOE,4437,6880,380
beaufort_CHOCO,227,423,36
beaufort_OS AUR,311,255,14
beaufort_WASH1,212,120,20
beaufort_SURBA,126,546,35
beaufort_PANTE,134,275,10
beaufort_GILEA,85,177,19
beaufort_NCRK,107,398,23
beaufort_PINET,29,364,12
beaufort_HB,28,275,12
beaufort_WDPD,69,338,20
beaufort_RVRD,150,330,27
beaufort_TCRK,135,448,39
beaufort_OLDF,148,213,14
beaufort_BELHV,216,208,17
beaufort_OS CHO,281,701,52
beaufort_OS BEL,322,520,22
beaufort_WASHP,94,259,9
beaufort_BEADM,59,380,15
beaufort_WASH2,178,82,3
beaufort_EDWAR,136,168,17
beaufort_BLCK,143,145,9
burke_21,263,601,49
burke_0047-B,329,511,31
burke_66,362,801,76
burke_62,151,393,34
burke_11,293,1398,104
burke_14,195,1034,52
burke_39,534,508,54
burke_51,685,1422,121
burke_12,147,1102,47
burke_36,362,870,71
burke_65,154,532,33
burke_19,147,265,12
burke_0029-A,111,600,52
burke_31,764,468,56
burke_34,673,649,54
burke_53,321,1004,62
burke_38,506,830,72
burke_18,113,233,7
burke_13,309,1474,82
burke_40,360,747,53
burke_1,607,1383,101
burke_24,494,1152,73
burke_0047-A,650,710,47
burke_35,484,442,53
burke_52,283,510,44
burke_3,161,605,32
burke_48,547,879,50
burke_ABSENTEE,0,0,0
burke_22,289,934,50
burke_20,252,398,34
burke_15,198,697,47
burke_64,137,385,19
burke_0029-B,168,493,35
burke_70,422,1135,65
anson_POLK,137,184,5
anson_W1,316,128,11
anson_GULL,134,170,6
anson_ANS,207,247,13
anson_PEAC,113,414,20
anson_BURN,123,436,21
anson_MM,244,91,14
anson_WS,65,87,3
anson_ABSENTEE,124,93,5
anson_W3,190,165,11
anson_LILE,262,260,18
anson_W2,147,100,9
bladen_P25,172,186,8
bladen_P75,202,118,4
bladen_P502,150,92,6
bladen_P55,119,160,9
bladen_P65,55,144,8
bladen_P30,144,60,9
bladen_MAIL ABSENTEE,606,360,13
bladen_P70,60,94,3
bladen_P201,69,165,10
bladen_P501,259,159,12
bladen_P15,157,343,19
bladen_P35,75,78,7
bladen_P60,214,185,10
bladen_P202,168,244,21
bladen_P45,56,152,2
bladen_P40,84,245,16
bladen_P80,114,213,8
bladen_P10,105,147,7
alleghany_03A,710,1617,112
alleghany_ABSENTEE,0,0,0
alleghany_4,193,715,41
alleghany_1,176,642,35
alleghany_CURBSIDE,0,0,0
alleghany_06A,258,746,41
carteret_NRIV,92,44,5
carteret_ATSL,57,190,8
carteret_BOGU,96,456,30
carteret_IBSP,48,95,11
carteret_DASW,40,146,6
carteret_NPT2,78,434,37
carteret_MASM,74,177,7
carteret_BFT2,154,311,26
carteret_PKNL,142,322,12
carteret_HAIS,46,271,8
carteret_OS-BOE,2210,4003,225
carteret_EMIS,153,539,34
carteret_CISL,18,71,6
carteret_ABSENTEE,390,853,32
carteret_MHD3,164,508,40
carteret_MHD4,99,385,28
carteret_NPT1,143,511,63
carteret_WILD,125,419,37
carteret_PELE,46,198,18
carteret_OS-CEN,1437,5041,280
carteret_MHD1,124,291,19
carteret_MCRK,26,194,4
carteret_MHD2,149,306,32
carteret_BFT1,137,97,14
carteret_OTBE,65,363,30
carteret_MERR,57,122,6
carteret_ABCH,72,328,22
carteret_BCRK,87,425,33
carteret_CCCP,69,364,26
carteret_WIHA,72,237,19
carteret_STEL,72,328,28
carteret_OS-EAS,101,446,13
carteret_OS-MHD,1711,3195,165
carteret_OS-WES,1268,4344,193
alexander_T1T4T5,630,1943,128
alexander_E,384,1263,87
alexander_B1,415,1600,126
alexander_G1G2,257,884,47
alexander_S1S2,413,1428,109
alexander_W,234,966,64
alexander_T2T3,562,1296,104
alexander_M,273,848,54
alexander_B2,490,1865,146
alexander_LRSL,237,1178,64
camden_SH,80,427,28
camden_SM,199,650,33
camden_ABSENTEE,34,85,4
camden_CH,148,389,28
chatham_45,105,215,14
chatham_24,36,302,7
chatham_78,251,340,15
chatham_NWM117,280,294,31
chatham_3,141,457,25
chatham_42,158,343,17
chatham_ESC114,293,273,20
chatham_30,107,253,12
chatham_18,102,333,18
chatham_21,175,275,25
chatham_15,191,201,17
chatham_ABSENTEE,995,678,37
chatham_9,105,368,12
chatham_6,63,366,8
chatham_85,193,222,24
chatham_MCH110,357,283,34
chatham_75,371,592,21
chatham_20,185,450,40
chatham_PIT113,421,488,52
cherokee_PCHT,345,1050,53
cherokee_GCRK,51,258,4
cherokee_HOTH,190,657,35
cherokee_ANSW,249,745,46
cherokee_MURN,376,880,48
cherokee_MARB,194,684,37
cherokee_ANNW,248,674,47
cherokee_HANG,82,422,22
cherokee_RGER,271,778,39
cherokee_HIWA,246,953,33
cherokee_CSON,129,466,13
cherokee_UNKA,74,284,14
cherokee_TOPT,44,250,4
cherokee_BRAS,172,411,13
cherokee_BELL,211,581,30
cherokee_MURS,328,1023,51
craven_14,891,1345,67
craven_19,950,1056,51
craven_2,1770,3287,292
craven_8,275,402,18
craven_5,564,1304,98
craven_16,744,1904,98
craven_20,707,1505,93
craven_15,195,374,16
craven_17,318,1192,69
craven_12,34,319,12
craven_N1,895,607,52
craven_N2,1081,351,48
craven_4,340,450,32
craven_7,672,999,46
craven_N6,1214,1846,120
craven_N5,821,374,41
craven_13,96,405,18
craven_6,481,420,28
craven_3,636,2079,84
craven_21,506,1403,66
craven_9,181,187,11
craven_11,374,1386,103
craven_10,189,407,19
craven_N3,588,703,62
craven_N4,1343,1099,104
craven_23,1090,2337,130
duplin_FAIS,204,281,15
duplin_WARS,513,257,11
duplin_CHIN,67,283,17
duplin_LOCK,32,142,6
duplin_CYCK,93,506,18
duplin_ROCK,153,225,10
duplin_CFRK,31,271,9
duplin_SMCA,58,276,8
duplin_WALL,535,586,38
duplin_GLIS,36,236,10
duplin_ROSE,251,303,12
duplin_BEUL,155,581,26
duplin_CALY,93,316,15
duplin_ALBE,102,447,16
duplin_WOLF,113,474,20
duplin_HALL,103,198,18
duplin_CHAR,270,137,14
duplin_ABSENTEE,97,209,5
duplin_KENA,199,210,16
duplin_MAGN,196,158,9
caswell_STON,483,913,48
caswell_YANC,768,618,50
caswell_ANDE,152,409,11
caswell_MILT,796,580,25
caswell_LOCU,756,563,25
caswell_PH,454,784,19
caswell_CURBSIDE,151,72,8
caswell_LEAS,203,254,11
caswell_PELH,633,1267,51
caswell_PROVI,199,341,16
caswell_ABSENTEE,71,179,10
cleveland_KM N,1113,1876,135
cleveland_KM S,1033,1711,91
cleveland_RIPPY,754,1566,83
cleveland_POLKVL,278,1223,71
cleveland_SHANGI,515,1256,68
cleveland_OAKGRV,457,1699,77
cleveland_LATT,365,1393,65
cleveland_S 5,817,875,46
cleveland_MULLS,226,1043,66
cleveland_BETHWR,254,937,53
cleveland_WACO,712,1359,67
cleveland_BR,835,2265,124
cleveland_LAWNDL,568,595,39
cleveland_KINGST,429,212,23
cleveland_GROVER,509,1510,63
cleveland_S C,2308,2078,152
cleveland_FALSTN,177,867,43
cleveland_CASAR,94,813,40
cleveland_MRB-YO,206,759,49
cleveland_S 4A,1585,1527,105
cleveland_S S,1790,1927,145
cumberland_ABSENTEE 31-57,477,688,45
cumberland_G2D,1237,1148,66
cumberland_G2B,1571,956,89
cumberland_G4C,703,318,31
cumberland_G8A,1209,785,74
cumberland_AH49,1361,524,65
cumberland_CC12,294,868,28
cumberland_CC21,1361,556,60
cumberland_G2C-2,884,866,68
cumberland_MB62,1209,317,54
cumberland_CC27,1487,454,84
cumberland_CC03,403,223,31
cumberland_G8C,780,498,50
cumberland_CC07,250,439,30
cumberland_G11B,629,731,104
cumberland_G11A-2,961,318,42
cumberland_CC04,353,332,46
cumberland_G2C-1,835,595,61
cumberland_G8D,740,918,90
cumberland_LI65,680,1343,64
cumberland_CC31,621,455,70
