prec_id,Joyce,Vallas,Wilson,Preckwinkle,Daley,Mccarthy,Chico,Mendoza,Enyia,Ford,Salesgriffin,Lightfoot,Fioretti,Kozlar
C01001,10,8,14,53,34,3,19,33,59,2,1,90,1,1
C01002,10,8,19,39,29,2,14,29,36,2,1,56,2,0
C01003,13,11,6,48,44,5,11,23,51,0,0,92,1,5
C01004,13,22,5,53,49,9,13,31,32,2,1,69,4,4
C01005,10,18,5,45,35,5,9,21,54,0,1,77,3,2
C01006,15,14,5,25,53,8,20,37,42,0,1,66,0,2
C01007,5,11,10,41,20,3,13,32,29,2,0,66,2,1
C01008,10,13,20,50,36,6,9,34,24,1,1,59,1,10
C01009,15,10,6,47,39,9,22,49,32,0,1,51,3,1
C01010,8,13,5,44,45,9,12,29,31,0,1,97,1,0
C01011,9,16,5,45,44,4,6,24,54,1,4,107,3,0
C01012,10,16,4,55,32,9,23,38,48,4,0,115,4,2
C01013,1,9,7,35,19,6,1,15,27,2,1,32,0,2
C01014,9,11,9,50,51,8,7,22,28,10,0,90,2,0
C01015,11,16,7,46,23,8,11,29,28,2,0,74,4,1
C01016,13,13,1,68,43,3,19,50,40,0,0,106,2,1
C01017,5,7,8,66,19,7,20,28,43,4,2,70,2,4
C01018,11,9,14,62,23,3,26,30,59,1,0,67,2,0
C01019,23,9,8,53,38,5,13,35,57,2,0,97,1,2
C01020,5,9,7,41,13,2,11,24,62,0,4,60,2,0
C01021,9,12,1,60,49,6,13,24,44,0,4,92,2,0
C01022,4,3,6,33,33,1,13,24,28,0,0,50,2,2
C01023,9,18,7,89,34,5,20,33,81,1,1,120,6,4
C01024,10,7,5,58,20,3,15,38,39,3,3,39,5,0
C01025,2,3,14,59,28,4,5,27,59,0,0,60,2,1
C01026,5,5,6,37,26,3,16,23,35,2,1,35,2,2
C01027,11,10,7,30,46,3,11,32,31,2,4,100,2,4
C01028,8,1,18,18,18,2,6,15,4,0,0,12,1,2
C01029,11,24,6,45,64,7,16,40,56,2,0,116,1,4
C01030,6,12,11,65,52,6,21,39,46,1,0,72,2,0
C01031,11,21,13,45,52,4,24,38,28,4,0,63,1,1
C01032,7,26,4,39,42,7,10,34,50,2,1,83,6,2
C01033,17,19,8,44,71,7,15,30,38,1,1,88,8,2
C01034,8,9,5,41,15,5,10,23,42,1,0,71,1,1
C01035,26,23,10,40,55,6,28,46,41,4,1,104,0,2
C01036,10,24,4,43,44,5,15,24,34,1,1,83,4,3
C01037,11,13,5,51,53,14,18,29,33,2,2,66,3,2
C01038,11,13,4,43,35,5,13,34,29,2,3,73,1,1
C01039,14,7,7,29,40,6,27,28,36,2,0,51,0,3
C01040,10,20,23,31,64,8,26,59,25,1,1,56,7,1
C01041,4,10,6,45,18,0,14,19,25,3,0,68,1,0
C01042,6,5,0,20,9,1,6,11,22,2,1,14,0,2
C01043,5,15,8,23,23,3,7,24,27,0,0,38,3,0
C01044,5,11,5,47,23,3,7,18,46,7,1,75,1,7
C02001,10,12,1,57,17,3,10,26,48,1,1,82,0,1
C02002,7,22,10,30,90,12,11,14,4,0,0,71,2,2
C02003,5,24,3,33,60,8,11,17,44,6,0,90,3,0
C02004,6,10,1,39,20,4,1,29,31,3,0,80,0,1
C02005,6,24,5,44,46,6,20,23,42,1,3,93,1,0
C02006,13,17,7,33,23,8,11,32,46,2,4,63,1,4
C02007,7,12,9,19,50,4,8,29,33,5,0,71,1,1
C02008,16,10,5,33,41,4,18,28,39,3,4,79,0,2
C02009,11,11,14,12,63,5,15,24,10,3,0,51,2,2
C02010,12,29,3,26,160,10,20,14,5,1,0,57,5,0
C02011,15,29,3,37,155,4,18,30,7,0,1,73,1,1
C02012,11,21,32,45,76,4,9,19,14,1,1,74,2,1
C02013,13,32,7,56,101,4,20,10,6,1,0,62,2,0
C02014,12,20,12,48,43,7,11,26,56,2,3,104,4,1
C02015,18,21,10,53,39,2,7,28,27,0,1,82,0,1
C02016,8,13,6,42,31,3,8,26,18,2,1,71,5,6
C02017,18,20,8,47,48,9,12,24,44,2,0,143,3,5
