prec_id,black,hispanic,asian,white,other
C01001,51,410,8,170,5
C01002,87,433,3,70,9
C01003,12,184,23,400,10
C01004,11,237,21,336,10
C01005,32,63,21,409,14
C01006,34,260,15,291,11
C01007,26,173,9,219,6
C01008,85,112,19,353,11
C01009,21,308,28,177,9
C01010,15,124,28,391,24
C01011,18,64,26,462,14
C01012,10,56,19,560,12
C01013,3,191,6,83,5
C01014,69,106,61,389,18
C01015,22,233,15,293,11
C01016,9,332,12,187,10
C01017,49,371,3,172,8
C01018,69,321,9,239,18
C01019,28,502,21,271,11
C01020,69,249,9,194,15
C01021,15,55,37,447,13
C01022,15,294,13,103,5
C01023,49,397,24,415,20
C01024,150,311,4,99,12
C01025,96,230,13,219,14
C01026,29,414,1,38,4
C01027,16,287,15,221,16
C01028,130,124,1,27,5
C01029,22,252,22,272,16
C01030,74,477,7,135,8
C01031,65,336,25,180,15
C01032,7,176,19,371,7
C01033,28,264,22,316,10
C01034,15,281,18,227,9
C01035,10,255,21,366,14
C01036,9,121,27,363,15
C01037,7,117,24,423,9
C01038,28,222,25,344,19
C01039,12,267,10,212,7
C01040,60,267,16,246,10
C01041,20,192,13,181,11
C01042,5,84,8,78,3
C01043,37,212,7,185,8
C01044,14,187,22,260,10
C02001,25,179,32,322,9
C02002,12,15,41,399,6
C02003,10,110,24,452,9
C02004,11,92,34,411,13
C02005,20,170,25,379,15
C02006,28,151,32,364,14
C02007,15,128,30,359,12
C02008,11,185,27,374,12
C02009,52,12,19,311,9
C02010,10,11,43,428,4
C02011,27,22,95,404,9
C02012,216,29,15,319,8
C02013,11,25,39,557,9
C02014,12,88,33,547,15
C02015,52,64,14,420,8
C02016,39,63,28,335,16
C02017,7,48,22,643,18
C02018,24,17,47,409,9
C02019,16,24,42,359,8
C02020,7,22,26,389,7
C02021,7,94,20,476,10
C02022,6,38,28,486,8
C02023,11,10,5,426,4
C02024,34,28,22,415,12
C02025,7,73,27,437,19
C02026,58,53,15,356,13
C02027,44,28,45,371,10
C02028,12,20,30,490,7
C02029,31,32,49,392,11
C02030,10,25,26,392,8
C02031,24,20,27,617,10
C02032,27,20,37,295,8
C02033,21,36,44,710,12
C02034,4,14,16,428,6
C02035,35,17,51,392,7
C02036,13,23,34,394,6
C02037,19,21,21,472,13
C02038,7,23,27,475,9
C02039,24,25,32,309,8
C02040,40,28,62,316,11
C02041,14,14,20,304,3
C02042,41,32,60,387,11
C02043,33,38,56,461,14
C02044,4,9,16,314,1
C02045,150,29,73,354,10
C02046,30,13,10,242,5
C03001,823,18,0,12,14
C03002,964,6,1,14,28
C03003,404,11,171,72,12
C03004,730,16,1,13,13
C03005,491,15,0,14,7
C03006,90,41,92,388,20
C03007,465,5,40,76,11
C03008,610,5,1,15,7
C03009,695,20,0,10,13
C03010,365,36,0,0,4
C03011,692,8,0,11,11
C03012,743,11,1,23,26
C03013,99,34,110,454,21
C03014,207,32,70,278,15
C03015,668,11,1,9,11
C03016,639,31,0,6,5
C03017,390,34,62,207,14
C03018,697,43,100,133,22
C03019,106,41,100,322,12
C03020,712,8,2,9,18
C03021,303,21,73,276,16
C03022,92,50,113,417,21
C03023,644,7,1,10,14
C03024,635,12,1,6,12
C03025,97,33,195,437,17
C03026,174,45,130,447,22
C03027,88,43,87,346,19
C03028,519,5,3,3,8
C03029,703,1,12,21,6
C03030,688,10,3,2,20
C03031,793,17,1,24,8
C03032,176,48,117,335,20
C03033,97,40,76,359,16
C03034,193,43,98,408,19
C03035,282,18,3,23,5
C03036,387,8,0,1,4
C03037,575,14,0,10,8
C03038,656,13,1,12,7
C03039,63,39,111,378,19
C03040,506,47,42,176,22
C03041,229,33,128,237,17
C04001,207,72,150,418,36
C04002,103,39,176,363,27
C04003,682,15,3,12,11
C04004,934,14,1,21,20
C04005,735,23,13,20,11
C04006,577,40,204,110,27
C04007,814,18,14,49,15
C04008,826,17,5,27,19
C04009,905,15,42,35,28
C04010,758,32,19,50,33
C04011,781,8,2,13,14
C04012,769,8,1,13,17
C04013,77,40,31,353,20
C04014,599,12,97,43,21
C04015,851,19,16,46,22
C04016,94,47,72,496,22
C04017,63,43,62,575,26
C04018,696,11,2,12,15
