prec_id,amer_indian,asian,black,hispanic,other,polyracial,white
brunswick_04C1,6,22,40,37,57,6,71
brunswick_1,11,3,41,21,34,7,60
brunswick_10A,5,2,37,19,45,3,63
brunswick_10B,3,7,22,13,40,3,61
brunswick_11,11,3,44,20,34,6,59
brunswick_12,12,1,33,15,42,2,67
brunswick_13,14,5,44,36,46,10,66
brunswick_14,10,10,39,29,47,8,66
brunswick_15,14,14,40,36,53,7,75
brunswick_16,7,14,30,26,45,7,68
brunswick_17,7,11,54,35,54,9,67
brunswick_18,12,1,40,35,26,2,59
brunswick_19,6,7,31,22,49,8,72
brunswick_2,18,13,51,58,64,18,75
brunswick_20,7,4,35,32,48,5,67
brunswick_21,16,10,34,33,46,13,71
brunswick_22,5,4,10,8,43,4,60
brunswick_23,5,3,14,15,45,5,62
brunswick_3,9,8,43,27,41,6,60
brunswick_5,23,8,44,30,50,15,64
brunswick_6,6,2,44,10,30,4,62
brunswick_7,4,4,34,18,47,3,67
brunswick_8,9,13,39,25,54,5,74
brunswick_9,0,3,7,7,29,1,59
buncombe_1.1,8,15,38,27,55,13,65
buncombe_10.1,4,2,47,24,46,8,53
buncombe_11.1,14,6,40,19,51,17,59
buncombe_12.1,4,11,30,32,50,14,60
buncombe_13.1,7,12,44,40,47,17,65
buncombe_14.2,3,9,44,38,55,11,65
buncombe_14.3,3,14,36,35,45,13,63
buncombe_15.1,2,10,22,25,56,11,64
buncombe_16.2,8,13,39,47,62,17,66
buncombe_17.1,4,3,27,16,50,6,59
buncombe_18.2,13,32,38,43,77,14,75
buncombe_19.1,6,12,41,29,45,7,59
buncombe_2.1,7,14,47,37,58,23,69
buncombe_20.1,3,8,28,12,40,8,60
buncombe_21.1,9,10,42,24,51,15,70
buncombe_22.2,5,11,15,20,43,10,68
buncombe_23.2,0,5,4,5,15,3,43
buncombe_23.3,1,5,11,7,18,3,54
buncombe_24.1,3,13,34,33,55,8,67
buncombe_25.1,7,12,36,30,55,14,71
buncombe_26.1,3,8,31,25,45,15,64
buncombe_27.2,2,1,7,7,22,1,57
buncombe_28.1,8,20,27,33,58,18,67
buncombe_29.2,7,17,35,31,60,11,67
buncombe_3.1,5,12,35,30,51,17,67
buncombe_30.2,5,19,25,27,60,5,63
buncombe_30.3,7,23,22,32,55,11,66
buncombe_31.1,0,2,3,6,34,2,59
buncombe_32.1,3,7,16,21,41,6,60
buncombe_33.2,3,8,21,7,40,6,58
buncombe_33.3,3,5,28,20,48,6,63
buncombe_34.1,0,5,15,6,33,4,60
buncombe_35.1,0,11,30,12,42,5,59
buncombe_36.1,4,10,18,11,42,10,64
buncombe_37.1,1,3,5,11,41,7,61
buncombe_38.2,4,4,8,16,42,5,62
buncombe_38.3,10,11,29,28,65,10,73
buncombe_39.2,2,2,11,12,37,3,63
buncombe_39.3,5,6,12,17,52,8,65
buncombe_4.1,0,9,18,13,44,9,56
buncombe_40.2,2,7,20,23,54,10,65
buncombe_41.1,5,5,15,32,53,10,68
buncombe_42.1,2,7,33,43,59,11,61
buncombe_43.2,7,8,33,42,51,9,63
buncombe_44.1,7,20,26,44,73,7,71
buncombe_45.1,4,12,26,47,64,12,71
buncombe_46.1,3,4,13,13,27,0,57
buncombe_47.1,7,5,21,30,70,2,72
buncombe_48.1,9,14,32,38,53,11,67
buncombe_49.1,16,4,25,32,66,14,69
buncombe_5.1,3,9,13,22,54,11,66
buncombe_50.1,1,3,6,3,32,2,60
buncombe_51.2,6,4,13,9,41,2,65
buncombe_52.1,8,12,25,37,64,9,72
buncombe_53.1,8,7,22,25,48,7,69
buncombe_54.2,9,19,41,52,69,14,67
buncombe_55.1,3,17,31,26,58,12,68
buncombe_56.2,1,7,24,26,47,7,63
buncombe_57.1,4,14,24,16,59,6,59
buncombe_58.1,3,4,13,18,38,3,61
buncombe_59.1,7,6,27,21,60,7,62
buncombe_6.1,1,3,27,18,41,8,55
buncombe_60.2,3,9,25,26,47,4,62
buncombe_60.4,1,4,10,21,40,3,57
buncombe_61.1,3,11,18,8,49,7,66
