prec_id,Emanuel,DelValle,Braun,Chico,Watkins,Walls
C02030,223,35,8,91,0,0
C02031,139,19,45,26,1,4
C02032,75,14,13,42,2,1
C02033,92,2,23,9,7,0
C02034,124,1,50,22,7,4
C02035,71,6,1,12,0,0
C02036,332,27,28,80,5,1
C02037,192,21,10,39,1,0
C02038,315,28,17,108,5,0
C02039,146,29,13,44,5,2
C02040,377,40,53,106,3,9
C02041,62,2,32,8,9,1
C02042,105,2,43,12,3,2
C02043,247,20,17,74,4,1
C02044,94,5,48,16,7,6
C02045,132,13,45,35,15,5
C02046,186,15,75,34,10,10
C02047,78,3,35,16,8,1
C02048,79,3,19,9,8,1
C02049,214,29,13,37,2,0
C02050,83,19,9,56,8,1
C02051,119,5,22,10,7,3
C02052,173,16,34,22,14,5
C02053,179,27,8,28,1,0
C02054,238,40,4,57,2,1
C02055,105,18,4,20,1,0
C02056,122,10,40,26,14,1
C03001,120,6,48,22,8,5
C03002,191,9,58,29,5,3
C03003,179,15,27,46,7,2
C03004,91,8,43,19,0,3
C03005,98,12,63,12,9,3
C03006,26,1,3,7,0,0
C03007,174,6,83,19,4,8
C03008,136,4,42,26,2,3
C03009,141,15,47,21,13,2
C03010,57,4,14,5,3,1
C03011,128,14,55,24,11,4
C03012,111,5,46,16,7,1
C03013,25,15,4,120,0,0
C03014,59,2,83,6,6,1
C03015,135,11,85,16,12,3
C03016,111,15,48,13,8,0
C03017,68,2,44,10,1,2
C03018,50,5,24,12,6,0
C03019,15,7,1,32,0,0
C03020,100,6,37,18,8,3
C03021,57,2,19,12,3,1
C03022,80,3,34,4,2,0
C03023,131,8,50,16,8,3
C03024,173,12,59,45,6,4
C03025,102,3,16,21,4,5
C03026,34,1,17,2,2,0
C03027,124,9,42,16,7,3
C03028,326,44,15,98,0,0
C03029,135,5,36,10,7,3
C03030,87,15,32,21,5,6
C03031,185,7,61,31,14,10
C03032,118,17,31,20,3,4
C03033,133,12,64,37,15,7
C03034,105,8,47,24,7,4
C03035,128,16,48,16,15,3
C03036,34,2,23,4,3,0
C03037,57,3,22,10,7,1
C03038,209,8,97,20,7,3
C03039,220,8,68,11,10,5
C03040,121,14,48,23,11,13
C03041,103,7,63,15,3,4
C03042,108,6,33,14,5,4
C03043,22,1,12,0,1,1
C03044,40,1,8,4,1,1
C03045,217,24,39,45,3,3
C03046,20,0,17,8,4,0
C03047,67,5,30,17,3,6
C03048,111,5,41,7,4,4
C03049,36,7,12,4,1,0
C03050,76,2,34,17,6,4
C04001,189,78,52,52,6,5
C04002,208,16,63,34,7,8
C04003,167,19,71,31,10,6
C04004,189,8,56,23,8,11
C04005,217,25,97,27,9,10
C04006,55,4,38,11,1,4
C04007,201,17,69,33,6,11
C04008,210,12,58,29,12,2
C04009,339,22,88,34,14,12
C04010,167,15,57,27,7,7
C04011,131,7,41,15,6,3
C04012,87,8,37,21,4,10
C04013,130,35,30,20,2,3
