prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
catawba_7,1116,54,706,3,27,
catawba_12,222,23,692,1,3,
catawba_15,24,2,435,0,1,
catawba_17,568,33,368,4,17,
catawba_34,2412,103,792,1,38,
catawba_35,854,33,466,5,12,
catawba_32,1162,63,686,8,16,
catawba_23,2037,88,760,3,23,
catawba_9,1337,44,244,3,5,
catawba_26,736,46,493,4,23,
catawba_31,2227,68,648,8,22,
catawba_40,578,41,388,4,13,
catawba_6,1192,39,381,2,17,
catawba_3,1161,41,335,4,8,
catawba_24,2085,73,670,4,19,
catawba_13,349,30,522,5,13,
catawba_10,137,6,190,0,2,
clay_HIAW,700,20,224,2,8,
columbus_P10,339,1,40,0,1,
columbus_P03,199,3,50,0,0,
columbus_OS LOBBY,4662,104,3409,0,31,
columbus_P06,268,2,88,0,2,
columbus_OS FAIR BLUFF,144,9,113,0,2,
columbus_P02B,102,4,165,0,2,
columbus_P17,140,0,196,0,1,
columbus_ABSENTEE,244,9,240,0,1,
columbus_P21,225,3,77,0,4,
columbus_P14,415,16,279,0,2,
columbus_P15,382,3,234,0,1,
columbus_P09,152,5,216,0,5,
columbus_P23,256,6,146,0,0,
columbus_P22A,450,5,146,0,5,
columbus_P04,103,4,50,0,0,
columbus_P16B,373,19,124,0,4,
columbus_OS BOLTON,179,11,250,0,3,
columbus_P11,280,3,41,0,1,
columbus_P08,168,1,11,0,0,
columbus_OS TABOR CITY,845,9,440,0,1,
columbus_OS CHADBOURN,352,14,359,0,1,
columbus_P25B,449,6,53,0,4,
columbus_P26B,461,11,409,0,2,
columbus_P18,116,2,48,0,1,
columbus_P19,258,7,213,0,4,
columbus_OS EAST COLUMBUS,719,19,688,0,2,
columbus_P01A,346,6,186,0,6,
columbus_P24,610,9,78,0,2,
columbus_P12,120,1,27,0,0,
columbus_P13,250,2,50,0,0,
columbus_P05,158,4,37,0,1,
columbus_P07,327,6,420,0,2,
columbus_P20A,88,1,117,0,0,
davidson_74,2018,51,353,3,19,
davidson_10,1202,51,337,2,10,
davidson_56,737,18,92,1,4,
davidson_66,547,19,414,0,14,
davidson_40,625,27,589,2,8,
davidson_60,1679,79,874,4,18,
davidson_6,1447,37,252,0,11,
davidson_24,626,22,192,0,6,
davidson_26,482,15,171,1,9,
davidson_50,1897,38,318,0,19,
davidson_30,200,22,859,0,7,
davidson_18,1092,27,203,1,6,
davidson_CURBSIDE,0,0,0,0,0,
davidson_64,202,11,665,2,4,
davidson_8,527,20,169,0,6,
davidson_22,462,21,95,2,1,
davidson_42,1350,25,132,3,8,
davidson_44,1930,70,635,4,15,
davidson_82,1370,52,292,3,12,
davidson_80A,2681,97,523,3,22,
davidson_76,1734,47,320,0,9,
davidson_70,1254,26,250,0,8,
davidson_48,1362,33,265,2,7,
davidson_68,712,31,512,2,5,
davidson_34,503,31,494,3,7,
davidson_88,1115,34,398,1,16,
davidson_86A,1297,55,730,2,19,
davidson_14,1075,40,132,1,3,
davidson_16,1633,68,291,5,9,
davidson_32,289,17,349,1,2,
davidson_54,1087,14,88,0,6,
davidson_4,2788,97,824,3,39,
davidson_46,1311,49,314,0,10,
davidson_58,1574,57,366,3,12,
davidson_20,1485,54,237,4,5,
davidson_38,114,23,477,2,1,
davidson_ABSENTEE,2594,97,853,4,33,
davidson_52,2323,57,464,6,13,
davidson_36,283,25,430,1,3,
davidson_12,436,18,86,0,3,
davidson_84,2358,94,766,4,18,
davidson_78,1712,65,332,1,8,
davidson_28,1116,42,373,3,18,
davidson_72,1469,36,263,5,17,
davidson_62,233,10,577,2,3,
chowan_4,135,3,84,0,1,
chowan_1,112,8,202,0,6,
chowan_5,193,2,69,1,0,
chowan_2,201,16,237,4,1,
chowan_6,210,14,94,0,3,
chowan_3,359,13,66,1,3,
chowan_OS BOE,2390,85,1984,5,26,
chowan_OS NCC,254,10,112,0,5,
chowan_ABSENTEE,138,10,126,0,4,
currituck_ABSENTEE,225,12,120,0,7,
currituck_KI,511,13,88,3,2,
currituck_GW,140,9,39,0,1,
currituck_CH,798,59,182,6,10,
currituck_WH,190,11,126,2,3,
currituck_IR,307,17,87,0,4,
currituck_PB,1006,50,297,3,5,
currituck_CJ,175,10,72,0,2,
currituck_PP,505,32,202,3,4,
currituck_MY,1521,85,357,2,12,
currituck_CB,66,5,39,0,1,
currituck_CI,115,3,24,0,1,
durham_37,343,26,402,6,19,
durham_35.3,286,47,540,7,32,
durham_21,68,11,280,6,6,
durham_30-1,220,37,434,1,10,
durham_22,44,14,726,0,11,
durham_2,61,21,404,7,14,
durham_5,82,20,459,6,16,
durham_OS-FRONT,494,97,1617,7,35,
durham_55-11,6,5,395,0,4,
durham_44,232,41,259,1,12,
durham_42,7,1,220,1,4,
durham_29,306,21,411,2,14,
durham_48,106,21,255,4,6,
durham_OS-ERL,3724,352,10540,38,159,
durham_8,35,16,412,5,4,
durham_OS-NRL,6443,424,12091,51,212,
durham_53-1,152,31,306,2,23,
durham_54,146,37,516,1,26,
durham_14,25,6,306,5,4,
durham_16,123,21,291,2,6,
durham_19,91,23,511,4,8,
durham_OS-BOE,1006,241,17418,74,108,
durham_OS-DTC,142,40,1560,10,23,
durham_ABSENTEE,1204,166,4207,21,82,
durham_39,243,27,377,2,12,
durham_38,176,41,511,4,33,
durham_1,26,9,197,0,4,
durham_20,34,5,254,4,6,
durham_34-1,87,24,293,0,13,
durham_34-2,81,25,524,1,24,
durham_43,254,41,457,7,31,
durham_OS-NJBC,161,42,2259,3,19,
durham_OS-DTCN,632,49,684,2,25,
durham_41,7,2,291,0,3,
durham_46,130,21,428,4,14,
durham_47,11,2,295,0,1,
durham_4,63,12,310,5,14,
durham_7,34,10,282,5,8,
durham_25,221,33,151,1,3,
durham_OS-IVY,376,98,4157,13,70,
durham_OS-ENO,2869,440,14585,45,234,
durham_10,11,2,257,0,3,
durham_45,303,31,323,2,7,
durham_6,24,13,278,1,7,
durham_3,69,17,337,4,1,
durham_40,54,12,276,1,6,
durham_24,279,22,424,4,18,
durham_23,105,27,571,3,14,
durham_9,93,19,359,4,14,
durham_33,249,69,568,1,27,
durham_OS-DUKE,740,196,7266,37,101,
durham_OS-SRL,2783,507,18327,61,231,
durham_50,240,51,500,7,26,
durham_31,296,34,403,4,15,
durham_18,32,8,479,0,6,
durham_13,10,4,270,1,3,
durham_30-2,118,27,536,3,11,
durham_OS-NCCU,62,48,3814,11,37,
durham_55-49,4,4,347,0,4,
durham_17,18,4,444,1,0,
durham_15,25,5,266,1,4,
durham_12,13,7,168,0,3,
durham_36,95,16,447,3,10,
durham_OS-GETG,91,17,1145,7,3,
durham_52,58,9,462,1,11,
edgecombe_1401,241,3,44,0,5,
edgecombe_301,71,0,60,0,0,
edgecombe_1201,26,2,567,0,9,
edgecombe_104,209,6,232,0,2,
edgecombe_1101,239,6,106,0,2,
edgecombe_1204,17,2,256,0,4,
edgecombe_601,106,6,213,1,0,
edgecombe_CURBSIDE,13,0,18,0,1,
edgecombe_501,116,3,113,0,0,
edgecombe_701,126,3,207,0,1,
edgecombe_801,244,6,73,0,0,
edgecombe_102,297,8,329,1,2,
edgecombe_103,298,10,263,4,2,
edgecombe_401,83,3,119,0,0,
edgecombe_ABSENTEE,97,2,89,0,0,
edgecombe_1205,3,2,182,0,0,
edgecombe_1203,387,12,257,0,5,
edgecombe_1202,9,5,300,0,0,
edgecombe_901,298,9,98,1,2,
edgecombe_101,31,6,429,0,4,
edgecombe_1301,299,5,71,0,3,
edgecombe_201,215,8,203,0,2,
edgecombe_1001,193,13,183,1,5,
gaston_11,123,14,172,0,5,
gaston_1,101,14,97,1,5,
gaston_OS-DALLAS,8513,146,1888,11,62,
gaston_16,421,38,155,0,8,
gaston_19,482,31,197,2,5,
gaston_20,492,15,146,5,3,
gaston_32,545,23,158,3,5,
gaston_39,665,27,89,3,3,
gaston_38,357,16,55,0,2,
gaston_7,12,1,216,0,2,
gaston_4,619,24,267,0,8,
gaston_25,337,19,101,1,4,
gaston_28,609,49,225,2,10,
gaston_41,297,23,101,2,1,
gaston_43,559,36,170,2,7,
gaston_46,457,23,200,3,12,
gaston_27,692,45,241,1,17,
gaston_OS-CHERRYVILLE,2520,52,575,0,15,
gaston_15,550,46,299,4,18,
gaston_17,323,25,215,1,15,
gaston_12,361,25,165,1,3,
gaston_36,444,17,97,2,3,
gaston_10,202,16,162,0,10,
gaston_OS-BOE,10463,347,10630,0,168,
gaston_ABSENTEE,2351,101,975,6,44,
gaston_6,85,7,243,1,1,
gaston_9,149,13,155,0,4,
gaston_40,349,20,179,3,3,
gaston_23,565,38,279,1,19,
gaston_26,349,16,165,2,11,
gaston_OS-LIBRARY,5157,246,3428,15,102,
gaston_3,119,13,257,3,1,
gaston_24,412,45,215,1,7,
gaston_45,307,36,223,2,7,
gaston_18,485,41,384,10,15,
gaston_13,440,19,174,1,6,
gaston_30,379,19,137,1,6,
gaston_33,271,15,55,0,6,
gaston_31,488,18,114,2,7,
gaston_21,293,14,171,2,0,
gaston_37,270,12,96,1,2,
gaston_2,176,15,245,2,6,
gaston_5,110,9,235,3,5,
gaston_8,107,7,196,0,4,
gaston_44,606,39,225,1,9,
gaston_42,505,19,136,1,10,
gaston_22,613,17,155,2,11,
gaston_29,565,36,134,1,13,
gaston_OS-MOUNT HOLLY,10185,355,3908,23,109,
gaston_OS-FBC GASTONIA,5252,154,1710,7,53,
gaston_35,249,5,84,0,4,
gaston_34,394,13,72,0,7,
gaston_14,163,19,64,1,8,
granville_WILT,2463,124,1136,13,46,
granville_EAOX,411,17,1029,1,9,
granville_OKHL,453,14,428,0,10,
granville_SALM,678,23,638,1,3,
granville_BERE,628,17,495,2,6,
granville_BTNR,866,46,1111,1,10,
granville_CRDM,1599,80,1655,7,31,
granville_ANTI,272,10,586,0,2,
granville_SOOX,206,11,854,3,6,
granville_MTEN,1790,91,1225,6,42,
granville_SASS,747,23,559,2,6,
granville_TYHO,1878,76,869,4,15,
granville_CORI,825,26,701,0,14,
granville_CRDL,427,26,912,2,7,
granville_WOEL,348,12,711,0,8,
forsyth_73,1384,80,594,1,29,
forsyth_72,2034,112,1357,1,45,
forsyth_507,1153,85,2052,2,27,
forsyth_908,906,79,892,0,40,
forsyth_131,1155,83,886,1,38,
forsyth_402,17,9,763,6,2,
forsyth_405,25,18,1500,2,8,
forsyth_601,257,62,985,1,27,
forsyth_604,180,43,801,2,13,
forsyth_802,474,53,549,0,37,
forsyth_805,719,65,849,0,31,
forsyth_403,54,14,879,3,5,
forsyth_71,1373,98,917,2,43,
forsyth_91,998,41,373,6,16,
forsyth_207,236,31,1101,2,11,
forsyth_31,806,50,502,2,16,
forsyth_701,405,27,489,0,29,
forsyth_702,303,65,740,0,26,
forsyth_707,321,40,551,0,20,
forsyth_302,21,9,591,3,2,
forsyth_101,656,41,718,3,21,
forsyth_909,372,30,488,0,11,
forsyth_133,2209,143,1358,4,62,
forsyth_304,28,12,1218,1,5,
forsyth_51,1049,59,628,2,26,
forsyth_67,656,54,477,6,7,
forsyth_83,452,31,896,2,6,
forsyth_803,609,46,531,0,32,
forsyth_806,626,46,564,0,21,
forsyth_809,794,74,889,0,40,
forsyth_709,732,49,1091,0,26,
forsyth_ABS/PROV/CURB 4,1238,97,1608,63,1,
forsyth_205,9,4,501,3,2,
forsyth_401,76,16,949,1,1,
forsyth_34,884,49,513,6,8,
forsyth_33,611,29,904,1,22,
forsyth_21,1831,55,492,2,25,
forsyth_11,1807,108,1248,3,33,
forsyth_122,1498,111,2142,3,42,
forsyth_65,1550,91,789,1,32,
forsyth_63,1678,78,770,2,28,
forsyth_68,1224,60,553,2,20,
forsyth_901,380,51,775,0,36,
forsyth_906,744,75,1227,0,31,
forsyth_ABS/PROV/CURB 2,2369,141,2899,69,2,
forsyth_305,16,12,877,0,1,
forsyth_502,33,6,803,3,1,
forsyth_503,137,25,812,9,5,
forsyth_204,73,15,839,3,8,
forsyth_53,1030,64,530,1,28,
forsyth_14,916,47,411,1,11,
forsyth_43,914,40,760,2,23,
forsyth_706,307,28,487,0,14,
forsyth_705,430,59,884,0,27,
forsyth_132,1448,85,1045,1,39,
forsyth_804,398,43,459,0,22,
forsyth_807,630,45,639,0,21,
forsyth_801,340,36,493,0,24,
forsyth_605,703,64,1469,3,26,
forsyth_602,952,79,1675,2,37,
forsyth_32,1055,39,588,3,19,
forsyth_74,1003,68,976,1,23,
forsyth_111,948,39,261,4,10,
forsyth_123,844,50,869,1,39,
forsyth_501,95,20,1233,5,5,
forsyth_506,386,38,555,4,11,
forsyth_607,518,44,920,0,37,
forsyth_904,283,38,1072,0,25,
forsyth_907,418,44,747,0,29,
forsyth_902,215,41,899,0,22,
forsyth_52,513,25,327,6,5,
forsyth_603,246,33,1017,5,16,
forsyth_66,958,48,410,5,6,
forsyth_203,19,13,969,2,3,
forsyth_808,617,80,1344,0,45,
forsyth_ABS/PROV/CURB 3,1670,114,3701,51,13,
forsyth_606,341,41,709,0,13,
forsyth_708,1024,70,1429,0,54,
forsyth_61,764,48,481,3,20,
forsyth_81,767,38,1273,6,14,
forsyth_201,286,36,2066,2,20,
forsyth_206,96,19,914,1,2,
forsyth_12,1241,52,390,3,13,
forsyth_15,831,38,414,2,14,
forsyth_64,436,29,316,4,8,
forsyth_55,1369,75,879,1,29,
forsyth_301,9,6,573,2,4,
forsyth_505,208,25,822,6,2,
forsyth_504,89,27,633,2,3,
forsyth_404,173,47,1229,7,8,
forsyth_704,349,54,785,0,35,
forsyth_703,231,55,553,0,17,
forsyth_903,561,93,1512,0,34,
forsyth_905,293,50,946,0,32,
forsyth_303,13,3,453,0,0,
forsyth_306,112,10,822,6,3,
forsyth_54,1041,71,702,1,32,
forsyth_13,1534,84,1009,3,20,
forsyth_92,883,49,270,3,5,
forsyth_75,329,14,142,3,6,
forsyth_112,1310,52,570,5,20,
forsyth_ABS/PROV/CURB 1,3508,119,1780,62,1,
forsyth_42,999,43,1013,1,13,
forsyth_82,1282,73,1636,2,16,
forsyth_62,878,53,473,4,16,
durham_26,317,12,128,1,4,
durham_28,549,32,197,4,15,
durham_27,176,29,295,2,12,
durham_51,178,67,475,5,17,
durham_32,231,23,122,1,6,
gates_4S,164,7,157,0,2,
gates_3,350,14,288,0,3,
gates_4N,392,17,171,0,5,
gates_2,340,6,97,0,1,
gates_ABSENTEE,54,4,54,0,1,
gates_5,318,7,142,0,1,
gates_1,219,10,173,0,3,
graham_STEC,607,18,146,0,5,
graham_EAST,1297,28,322,0,18,
graham_WEST,1096,21,263,0,20,
graham_TAPO,283,7,37,0,0,
durham_53-2,240,55,458,7,20,
guilford_SF4,1670,92,1021,6,29,
guilford_SF3,1187,68,937,1,21,
guilford_G56,262,17,930,7,6,
guilford_G59,205,17,772,6,12,
guilford_G67,11,10,1017,3,10,
guilford_G64,394,47,1362,9,19,
guilford_G53,128,32,1860,4,14,
guilford_G15,270,42,756,12,15,
guilford_H29A,567,58,865,5,13,
guilford_NMAD,902,35,703,2,6,
guilford_H05,207,12,1161,2,6,
guilford_G10,333,33,1509,5,16,
guilford_G12,146,28,697,6,8,
guilford_FR5A,761,57,697,3,19,
guilford_H09,29,9,969,1,3,
guilford_H14,719,39,395,3,17,
guilford_G49,129,15,674,2,10,
guilford_G61,271,26,1080,3,10,
guilford_G48,402,82,1666,19,26,
guilford_G50,340,58,1572,1,20,
guilford_G29,409,34,764,9,19,
guilford_G27,987,89,1165,6,40,
guilford_G42A,712,40,767,4,17,
guilford_G40A2,347,35,519,2,14,
guilford_G43,509,54,1336,5,15,
guilford_G22,730,35,642,1,20,
guilford_FR5B,611,47,397,0,24,
guilford_SUM1,515,28,1006,3,11,
guilford_G09,298,20,1618,4,18,
guilford_GR,1432,45,320,7,10,
guilford_H04,551,30,994,2,6,
guilford_NWASH,779,13,154,2,7,
guilford_JEF1,1144,38,857,4,12,
guilford_G40B,475,37,593,3,26,
guilford_H20A,433,26,469,2,12,
guilford_SF1,1528,82,837,2,34,
guilford_G45,353,78,2307,28,32,
guilford_G44,241,62,1296,17,18,
guilford_G23,387,42,621,5,7,
guilford_G25,504,58,887,6,19,
guilford_G28,314,30,510,1,19,
guilford_MON2B,430,28,859,1,9,
guilford_JAM5,788,23,209,2,7,
guilford_G19,525,38,617,5,18,
guilford_G16,470,42,688,4,17,
guilford_G31,499,61,574,6,23,
guilford_FR1,938,78,1783,6,31,
guilford_CG1,740,65,1060,8,15,
guilford_G38,677,49,1104,5,23,
guilford_G41A,466,30,624,1,22,
guilford_G05,54,15,1022,1,8,
guilford_ABS/CURB/PROV 4,78,12,70,0,2,
guilford_H11,163,21,969,2,5,
guilford_H18,264,21,993,2,12,
guilford_H19B,303,29,365,1,4,
guilford_G72,71,22,1462,1,18,
guilford_G71,33,14,1494,1,8,
guilford_MON1,570,40,1091,2,10,
guilford_OR2,1283,65,589,2,23,
guilford_NCGR2,1142,38,519,8,22,
guilford_NCLAY1,1202,29,699,9,18,
guilford_G30,726,39,612,7,14,
guilford_G32,880,58,1061,0,36,
guilford_G33,613,57,677,3,23,
guilford_G35,417,28,579,1,15,
guilford_G41B,618,41,697,5,15,
guilford_OR1,1876,85,831,2,17,
guilford_MON3,1947,76,1022,5,35,
guilford_NCGR1,1436,92,846,2,42,
guilford_JAM2,744,49,612,6,8,
guilford_H10,149,23,1261,1,8,
guilford_H13,683,50,556,3,17,
guilford_H06,750,48,1183,9,18,
guilford_CG3A,592,33,733,3,23,
guilford_CG3B,837,68,1165,5,32,
guilford_FR4,636,33,491,0,16,
guilford_G17,528,52,700,4,23,
guilford_G11,229,42,860,9,6,
guilford_MON2A,546,30,1620,4,20,
guilford_H17,234,17,554,7,7,
guilford_H19A,95,18,809,3,2,
guilford_G57,252,28,1116,2,7,
guilford_G68,14,17,1324,1,13,
guilford_G06,36,12,1009,3,4,
guilford_G21,986,65,1404,5,49,
guilford_G24,230,29,662,2,8,
guilford_H02,535,25,489,4,13,
guilford_H01,322,19,762,5,11,
guilford_G46,60,19,1787,4,19,
guilford_H22,411,20,465,2,10,
guilford_H28,923,70,1226,5,16,
guilford_H25,1487,72,1050,4,35,
guilford_SCLAY,1226,36,280,0,11,
guilford_RC2,1548,122,1370,6,18,
guilford_SUM2,495,32,915,2,9,
guilford_PG2,1471,49,471,1,19,
guilford_G40A1,554,34,680,0,23,
guilford_G26,485,46,1738,6,27,
guilford_G54,210,26,1580,4,9,
guilford_G65,584,64,1062,7,28,
guilford_G62,346,24,615,1,13,
guilford_G51,340,22,826,7,9,
guilford_G47,271,55,1463,21,24,
guilford_JAM1,1184,75,890,4,20,
guilford_JEF4,726,36,650,1,14,
guilford_JEF3,475,41,2257,5,22,
guilford_G13,307,41,789,6,19,
guilford_ABS/PROV/CURB 1,224,27,475,4,9,
guilford_G14,235,32,693,5,14,
guilford_G42B,172,7,267,1,3,
guilford_G52,114,26,1152,5,10,
guilford_G55,303,24,1499,3,13,
guilford_G58,188,36,1265,8,11,
guilford_G66,689,68,1013,4,26,
guilford_G63,459,38,876,1,21,
guilford_G60,268,36,897,7,14,
guilford_H29B,690,67,1062,8,19,
guilford_JEF2,682,42,1105,1,13,
guilford_H07,78,8,837,2,2,
guilford_H12,261,32,623,0,7,
guilford_H15,570,35,692,5,10,
guilford_G69,91,34,1404,7,19,
guilford_PG1,801,28,448,2,10,
guilford_SDRI,2201,104,1357,6,47,
guilford_SMAD,1041,41,763,6,22,
guilford_SUM3,725,18,205,0,8,
guilford_SUM4,1201,34,251,1,9,
guilford_G18,530,37,507,1,17,
guilford_CG2,687,49,815,0,24,
guilford_ABS/PROV/CURB 3,284,18,407,2,11,
guilford_JAM4,1148,35,556,1,13,
guilford_JAM3,774,55,606,4,28,
guilford_H08,48,9,616,0,1,
guilford_H03,189,15,740,2,2,
guilford_SF2,875,33,377,0,25,
guilford_H16,482,27,441,1,7,
guilford_H20B,499,26,365,5,11,
guilford_H26,804,42,710,4,17,
guilford_G74,29,13,1517,5,4,
guilford_FEN2,926,51,464,6,14,
guilford_G02,231,18,582,0,9,
guilford_STOK,2029,97,735,7,33,
guilford_G73,22,12,1044,3,6,
guilford_H23,634,36,383,2,6,
guilford_H27-A,878,63,924,3,27,
guilford_H27-B,581,36,510,4,15,
guilford_G34,666,65,779,2,19,
guilford_G36,457,38,872,5,13,
guilford_G37,410,53,1340,8,15,
guilford_G39,381,33,715,6,24,
guilford_RC1,1175,54,1237,0,18,
guilford_ABS/PROV/CURB 2,190,29,788,3,14,
guilford_FR3,567,33,625,2,13,
guilford_G07,325,26,929,3,9,
guilford_G04,92,12,1145,5,6,
guilford_G01,67,12,809,5,12,
guilford_SWASH,542,15,125,1,5,
guilford_G70,29,21,1506,6,11,
guilford_G75,82,14,1156,3,5,
guilford_G03,80,18,1238,3,6,
guilford_NDRI,1371,53,428,1,22,
guilford_H21,621,45,427,1,5,
guilford_G08,338,31,1222,3,8,
guilford_G20,797,85,942,6,36,
guilford_FR2,842,66,783,3,24,
guilford_H24,949,72,753,3,9,
guilford_GIB,970,59,766,5,18,
guilford_NCLAY2,798,19,298,1,12,
guilford_FEN1,768,54,1940,6,24,
franklin_13,879,32,429,6,7,
franklin_18,1227,65,636,3,49,
franklin_16,561,30,878,2,8,
franklin_14,1887,110,969,13,40,
franklin_19,2038,88,1309,6,45,
franklin_11,465,23,698,1,2,
franklin_8,1143,53,774,3,19,
franklin_5,951,42,537,2,10,
franklin_2,395,24,585,0,5,
franklin_15,605,51,1321,2,12,
franklin_1,387,29,924,2,8,
franklin_7,877,25,314,0,11,
franklin_10,479,9,240,0,7,
franklin_9,707,25,386,0,9,
franklin_6,514,19,640,2,9,
franklin_3,1160,49,1050,2,20,
franklin_17,1585,86,779,6,27,
franklin_12,508,17,405,3,8,
greene_SHIN,279,10,100,0,2,
greene_MAUR,304,5,200,0,0,
greene_SH#1,173,7,86,0,2,
greene_ABSENTEE,63,4,279,0,0,
greene_BEAR,140,2,54,1,0,
greene_HOOK,171,3,93,0,0,
greene_WALS,216,3,152,0,2,
greene_SUGG,157,2,96,0,0,
greene_CAST,237,1,69,0,4,
greene_BULL,136,3,108,0,0,
greene_ARBA,143,0,113,0,2,
haywood_WS-2,607,28,509,3,12,
haywood_ID,352,15,252,4,2,
haywood_BE-1,532,25,212,3,9,
haywood_CL-S,995,45,541,5,19,
henderson_HC,1429,75,676,9,36,
henderson_EV,1184,42,527,7,24,
henderson_ED,1136,35,412,8,11,
henderson_CURBSIDE,1263,21,745,0,23,
henderson_CB,568,18,220,4,6,
henderson_NB,1695,61,583,11,18,
henderson_FR,1383,52,961,10,34,
henderson_BC,387,8,215,2,3,
henderson_RG,1008,56,462,5,29,
henderson_HV-3,720,52,815,16,15,
henderson_RR,399,19,198,5,9,
henderson_SM,1647,70,687,10,31,
henderson_EF,995,37,430,11,13,
henderson_CC,1540,75,716,12,29,
henderson_GR,1277,45,393,7,18,
henderson_PR,1021,62,516,6,28,
henderson_HS,1016,48,591,2,19,
henderson_AR,602,16,329,2,13,
henderson_ES,926,40,421,5,19,
henderson_LP,646,33,601,9,8,
henderson_SW,977,50,614,7,12,
henderson_SE,505,21,240,6,6,
henderson_LJ,830,41,583,3,19,
henderson_ABSENTEE,1810,95,1219,5,48,
henderson_NM,1235,65,675,12,25,
henderson_PV,882,33,540,10,15,
henderson_GM,538,24,278,3,7,
henderson_MG,424,25,199,1,13,
henderson_AT,1416,55,665,9,20,
henderson_CV,212,6,165,0,2,
henderson_FL,1529,77,1112,9,45,
henderson_HV-1,730,55,767,5,18,
henderson_HV-2,602,45,682,7,21,
henderson_NW,723,46,477,2,15,
henderson_BK,484,41,294,1,9,
henderson_NE,658,34,393,0,4,
henderson_SB,1340,46,405,6,21,
iredell_DV2-A,2238,100,696,14,29,
iredell_OL,756,11,154,1,3,
iredell_ST3,903,46,1174,2,15,
iredell_FT,3740,132,1379,6,52,
iredell_UG,842,23,167,0,9,
iredell_CC1,2704,159,1394,2,41,
iredell_DV1-A,3829,164,1458,12,51,
iredell_EM,699,13,149,0,3,
iredell_CH-A,1142,34,593,0,14,
iredell_SB,1116,21,201,0,14,
iredell_ST1,1551,68,1042,6,28,
iredell_ST4,1198,61,915,8,13,
iredell_BA,2363,73,737,3,28,
iredell_DV1-B,4808,190,1897,6,86,
iredell_NH,726,13,127,0,3,
iredell_ST2,1057,63,894,9,22,
iredell_SH-B,1772,43,395,7,12,
iredell_ST5,1010,44,1082,5,21,
iredell_CH-B,1278,49,466,4,15,
iredell_ST6,881,22,1273,2,14,
iredell_TB,1121,45,460,0,8,
iredell_CC2,2272,129,1464,6,46,
iredell_CC4,2818,161,1354,9,53,
iredell_SH-A,1694,48,415,4,18,
iredell_BE,2719,73,934,4,35,
iredell_CC3,3537,191,1679,13,62,
iredell_DV2-B,2162,105,1014,15,25,
iredell_CS,1332,41,520,0,9,
iredell_CD,2486,63,701,2,25,
lee_C2,346,23,174,1,3,
lee_E2,262,21,232,4,6,
lee_OS-PAPER,9592,408,7628,,142,
lee_B1,446,15,136,0,5,
lee_D1,489,31,183,7,0,
lee_D2,473,34,194,2,8,
lee_B2,240,25,198,1,7,
lee_A2,216,21,551,2,5,
lee_A1,317,46,354,9,4,
lee_C1,474,17,270,1,3,
lee_ABSENTEE,342,23,306,0,8,
lee_E1,453,14,190,1,0,
lincoln_OB21,513,22,119,0,1,
lincoln_OS-WEST,1860,32,440,2,11,
lincoln_LS12,164,11,126,2,6,
lincoln_DW28,450,12,97,0,3,
lincoln_HC33,675,23,196,1,6,
lincoln_AS25,505,20,131,1,6,
lincoln_SL24,429,22,108,1,2,
lincoln_OS-EAST,7978,239,2702,6,93,
lincoln_NB35,613,17,95,0,2,
lincoln_DN29,509,22,111,0,11,
lincoln_IS20,506,12,92,0,13,
lincoln_OS-LINCOLN,7673,218,3492,12,59,
lincoln_LI14,235,8,79,1,6,
lincoln_LN11,183,13,128,0,6,
lincoln_LW31,503,35,143,1,5,
lincoln_BS26,437,24,102,2,8,
lincoln_ST36,584,32,176,2,3,
lincoln_TA37,363,18,115,1,6,
lincoln_BC13,213,13,138,2,2,
lincoln_ABSENTEE,789,26,410,3,10,
lincoln_IS23,517,19,149,2,8,
lincoln_LW18,262,6,76,0,5,
lincoln_DV08,633,24,141,0,7,
lincoln_LB34,616,17,131,1,7,
lincoln_CF19,282,21,77,1,1,
lincoln_WP32,678,47,210,1,11,
lincoln_PC22,534,13,88,2,5,
hyde_FF,127,0,65,0,0,
hyde_ABSENTEE,29,1,28,0,0,
hyde_ENG,172,6,82,0,0,
hyde_OS OCK,67,5,176,0,0,
hyde_SQ,140,2,51,0,1,
hyde_BM,145,2,13,0,1,
hyde_LL,113,1,108,0,2,
hyde_OS BOE,272,5,233,1,0,
hyde_SLAD,122,4,61,0,0,
hyde_OCK,91,16,142,0,4,
jones_P07,214,10,295,0,6,
jones_P04,319,12,202,0,10,
jones_P01,193,5,101,0,3,
jones_P06,223,4,55,0,3,
jones_P03,204,2,37,0,0,
jones_ABSENTEE,72,0,32,0,2,
jones_P05,171,6,288,0,5,
jones_P02,149,0,33,0,0,
harnett_OS ANDERSON,1153,63,810,0,15,
harnett_OS ANGIER,1454,55,753,1,21,
harnett_PR32,568,29,292,4,22,
harnett_PR29,782,26,505,1,11,
harnett_PR26,809,25,292,2,4,
harnett_PR01,865,66,508,3,22,
harnett_OS ERWIN,2076,53,1178,1,18,
harnett_OS LOBBY,9020,318,6174,13,121,
harnett_PR24,1247,49,345,6,15,
harnett_PR28,1330,50,360,0,19,
harnett_ABSENTEE,1091,71,538,7,24,
harnett_PR31,204,14,200,1,4,
harnett_PR20,379,11,445,0,2,
harnett_PR08,798,57,443,4,12,
harnett_OS WESTERN,2214,126,1576,6,29,
