prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
buncombe_7.1,88,17,358,8,12,
buncombe_OS ABTC,248,67,602,14,22,
buncombe_71.1,376,40,272,17,29,
buncombe_53.1,366,20,153,5,3,
buncombe_57.1,383,25,197,1,12,
buncombe_37.1,282,19,119,7,7,
buncombe_33.3,215,30,161,5,12,
buncombe_44.1,401,37,272,8,19,
buncombe_22.2,140,16,283,10,9,
buncombe_62.1,290,26,259,8,12,
buncombe_56.2,184,30,169,1,13,
buncombe_61.1,300,28,255,3,12,
buncombe_48.1,412,12,225,7,14,
buncombe_38.3,393,35,175,5,17,
buncombe_14.3,102,26,197,10,9,
buncombe_OS LCBL,3762,131,1747,23,69,
buncombe_OS PCBC,1515,49,428,4,15,
buncombe_OS BTFD,1918,88,2292,25,60,
buncombe_68.1,497,37,290,6,18,
buncombe_47.1,697,40,278,19,16,
buncombe_8.3,142,23,356,4,12,
buncombe_14.2,139,13,312,7,0,
buncombe_8.2,142,16,332,5,7,
buncombe_17.1,73,13,233,7,5,
buncombe_34.1,129,21,112,5,11,
buncombe_OS WOCO,738,37,598,18,13,
buncombe_OS WABL,2342,243,6904,161,76,
buncombe_64.1,274,30,161,6,7,
buncombe_67.1,177,10,162,5,10,
buncombe_OS UNCA,352,91,3011,67,48,
buncombe_65.1,245,25,205,11,10,
buncombe_24.1,238,22,206,8,8,
buncombe_9.1,204,52,404,11,13,
buncombe_51.2,293,26,125,8,8,
buncombe_38.2,275,20,85,2,7,
buncombe_39.3,250,33,149,7,13,
buncombe_OS BMBL,2502,160,3508,52,82,
buncombe_60.2,136,18,145,2,3,
buncombe_26.1,125,17,229,12,5,
buncombe_36.1,230,26,171,4,15,
buncombe_41.1,500,24,172,9,10,
buncombe_15.1,106,19,304,12,8,
buncombe_OS SBBL,3165,221,4419,42,102,
buncombe_OS WVTH,4654,193,4109,59,97,
buncombe_OS ECBL,4479,209,3478,47,94,
buncombe_OS ACCC,1486,81,1253,12,44,
buncombe_3.1,53,19,378,27,14,
buncombe_31.1,305,21,229,0,11,
buncombe_40.2,503,20,188,6,8,
buncombe_42.1,275,11,245,10,10,
buncombe_OS PACK,317,86,2531,45,43,
buncombe_33.2,137,14,116,4,7,
buncombe_49.1,575,39,200,4,10,
buncombe_50.1,413,8,141,9,2,
buncombe_32.1,236,22,146,5,7,
buncombe_OS AVML,1865,199,4719,73,93,
buncombe_66.1,179,15,129,3,11,
buncombe_39.2,146,14,131,3,7,
buncombe_23.2,28,2,54,0,1,
buncombe_4.1,79,13,207,6,5,
buncombe_5.1,161,27,234,5,13,
buncombe_1.1,69,21,288,10,8,
buncombe_46.1,201,26,124,2,5,
buncombe_18.2,345,52,405,4,18,
buncombe_35.1,151,18,170,5,8,
buncombe_6.1,111,10,186,10,7,
buncombe_2.1,49,16,401,26,12,
buncombe_OS MORC,685,72,1508,26,31,
buncombe_45.1,397,42,291,15,14,
buncombe_20.1,40,19,124,6,7,
buncombe_60.4,136,12,110,4,4,
buncombe_55.1,352,40,239,5,12,
buncombe_52.1,424,29,165,6,9,
buncombe_16.2,121,26,327,20,14,
buncombe_12.1,83,12,353,15,17,
buncombe_28.1,61,24,256,17,10,
buncombe_29.2,231,22,248,4,14,
buncombe_59.1,412,36,226,11,12,
buncombe_63.1,149,9,73,3,5,
buncombe_681,115,5,46,0,0,
buncombe_OS WGSC,215,36,2376,30,23,
buncombe_70.1,217,29,269,14,11,
buncombe_69.1,404,43,175,25,8,
buncombe_ABSENTEE,0,0,0,0,0,
buncombe_OS FVBL,3169,152,2790,38,69,
buncombe_OS FCAM,207,65,2655,53,32,
buncombe_OS NHPC,2240,133,3254,27,81,
buncombe_30.3,292,26,213,3,9,
buncombe_23.3,94,10,113,1,4,
buncombe_19.1,86,16,130,2,6,
buncombe_13.1,83,22,383,15,15,
buncombe_21.1,230,25,336,8,18,
buncombe_11.1,32,14,244,11,2,
buncombe_25.1,222,36,240,10,10,
buncombe_54.2,408,37,340,7,14,
