prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
beaufort_EDWAR,0,0,0,163,15,184,0,,,
beaufort_PSJW3,0,0,0,258,12,56,0,,,
beaufort_BELHV,0,0,0,210,23,214,0,,,
beaufort_WASH4,0,0,3,192,15,229,1,,,
beaufort_WDPD,0,0,0,115,28,328,1,,,
beaufort_OLDF,0,0,2,153,27,185,1,,,
beaufort_BLCK,0,0,3,161,20,138,0,,,
bertie_MH,0,0,0,136,8,99,0,,,
bertie_W1,0,0,0,523,15,250,0,,,
bertie_C2,0,0,0,258,5,102,0,,,
bertie_WH,0,0,0,151,7,190,0,,,
bertie_C1,0,0,0,131,8,185,0,,,
bertie_WD,0,0,0,204,2,29,0,,,
bertie_M2,0,0,0,209,16,92,0,,,
bertie_W2,0,0,0,32,16,214,0,,,
bertie_RX,0,0,0,310,7,82,0,,,
bertie_SN,0,0,0,164,6,33,0,,,
bertie_M1,0,0,0,119,2,133,0,,,
bertie_IW,0,0,0,127,0,14,0,,,
bertie_ONESTOP,0,0,0,1652,69,755,2,,,
bladen_P202,0,0,0,155,48,225,0,,,
bladen_P60,0,0,0,274,25,203,1,,,
bladen_P65,0,0,0,59,7,136,0,,,
bladen_P15,0,0,0,194,28,384,1,,,
bladen_P30,0,0,0,183,7,36,1,,,
bladen_P35,0,0,0,92,16,65,0,,,
bladen_ONESTOP,0,0,0,2426,254,2205,7,,,
bladen_P201,0,0,0,79,27,187,3,,,
bladen_P70,0,0,0,76,9,64,0,,,
bladen_P501,0,0,0,340,22,203,2,,,
bladen_P25,0,0,0,163,44,155,0,,,
bladen_P10,0,0,0,113,11,109,0,,,
bladen_P80,0,0,0,117,18,178,3,,,
bladen_P40,0,0,0,128,30,248,3,,,
bladen_P45,0,0,0,56,15,108,0,,,
bladen_P75,0,0,0,225,18,89,0,,,
bladen_P502,0,0,0,170,10,115,0,,,
bladen_P55,0,0,0,118,10,98,0,,,
brunswick_11,0,0,0,536,57,314,1,,,
brunswick_8,0,0,0,831,104,1164,3,,,
brunswick_22,0,0,0,402,88,648,2,,,
brunswick_5,0,2,0,452,86,667,1,,,
brunswick_2,0,0,0,889,72,711,5,,,
brunswick_14,0,0,0,597,115,1181,1,,,
brunswick_16,0,0,0,840,113,1484,3,,,
brunswick_19,0,0,0,658,108,1084,1,,,
brunswick_21,0,0,1,497,155,1130,4,,,
brunswick_13,0,0,0,434,79,613,0,,,
brunswick_18,0,0,0,210,55,397,0,,,
brunswick_CURBSIDE,0,0,0,90,14,59,0,,,
brunswick_04A,0,0,1,1439,121,1622,3,,,
brunswick_04C1,0,0,1,524,33,595,1,,,
brunswick_7,0,0,2,575,71,723,2,,,
brunswick_10A,0,0,0,524,78,946,1,,,
brunswick_1,0,0,0,340,43,264,1,,,
brunswick_20,0,0,0,394,84,881,3,,,
brunswick_3,0,0,0,370,22,176,1,,,
brunswick_6,0,0,0,266,56,363,2,,,
brunswick_9,0,0,1,238,32,351,0,,,
brunswick_23,2,0,1,420,83,664,0,,,
brunswick_10B,0,0,0,966,73,1671,3,,,
brunswick_17,0,0,0,1008,113,1359,0,,,
brunswick_12,0,0,1,442,96,731,0,,,
brunswick_15,0,0,3,714,112,1475,2,,,
brunswick_04B1,0,0,0,718,69,922,2,,,
buncombe_23.3,0,0,0,351,7,207,1,,,
buncombe_19.1,0,0,0,196,13,105,1,,,
buncombe_1.1,0,0,0,478,29,49,1,,,
buncombe_66.1,1,0,0,364,41,310,0,,,
buncombe_2.1,0,0,0,1096,40,66,1,,,
buncombe_6.1,0,0,0,518,18,174,1,,,
buncombe_12.1,0,0,0,531,35,83,2,,,
buncombe_27.2,0,0,0,325,9,137,0,,,
buncombe_29.2,0,0,0,590,31,422,1,,,
buncombe_43.2,0,0,0,205,23,164,0,,,
buncombe_24.1,0,0,2,283,44,246,2,,,
buncombe_15.1,0,0,0,468,31,97,2,,,
buncombe_22.2,0,0,0,979,42,361,3,,,
buncombe_60.2,0,0,0,325,23,193,2,,,
buncombe_8.3,0,0,0,622,40,190,0,,,
buncombe_70.1,0,0,0,665,64,336,0,,,
buncombe_8.2,0,0,0,491,30,157,2,,,
buncombe_9.1,0,0,0,899,67,331,2,,,
buncombe_13.1,0,0,0,501,39,68,1,,,
buncombe_25.1,0,0,2,601,39,301,0,,,
buncombe_64.1,0,0,0,340,39,365,0,,,
buncombe_26.1,0,0,0,294,32,110,0,,,
buncombe_42.1,0,0,0,282,36,233,0,,,
buncombe_16.2,0,0,0,501,28,114,1,,,
buncombe_68.1,0,0,0,505,65,735,2,,,
buncombe_3.1,0,0,0,839,41,73,0,,,
buncombe_10.1,0,0,0,487,10,22,0,,,
buncombe_14.2,0,0,0,476,27,122,1,,,
buncombe_23.2,0,0,0,178,2,59,0,,,
buncombe_28.1,0,0,0,792,46,140,0,,,
buncombe_20.1,0,0,0,240,13,48,0,,,
buncombe_60.4,0,0,0,388,28,360,0,,,
buncombe_21.1,0,0,0,762,37,357,0,,,
buncombe_57.1,0,0,0,490,36,632,3,,,
buncombe_4.1,0,0,0,680,20,139,2,,,
buncombe_11.1,0,0,0,324,13,19,0,,,
buncombe_14.3,0,0,0,193,24,87,0,,,
buncombe_62.1,0,0,0,611,43,448,0,,,
buncombe_5.1,0,0,0,1104,30,445,0,,,
buncombe_7.1,0,0,0,652,31,132,1,,,
buncombe_17.1,0,0,0,563,29,141,1,,,
buncombe_ONESTOP,0,0,2,12080,471,5778,12,,,
buncombe_51.2,0,0,0,398,42,443,0,,,
buncombe_40.2,0,0,0,648,59,1000,1,,,
buncombe_61.1,0,0,0,612,67,584,2,,,
buncombe_41.1,0,0,0,464,52,726,1,,,
buncombe_32.1,0,0,0,225,41,276,2,,,
buncombe_39.3,0,0,1,545,56,679,2,,,
buncombe_67.1,0,0,0,815,54,542,0,,,
buncombe_33.2,0,0,0,167,28,148,0,,,
buncombe_50.1,0,0,0,291,32,350,0,,,
buncombe_39.2,0,0,2,404,38,405,0,,,
buncombe_59.1,0,0,0,893,64,880,0,,,
buncombe_71.1,0,0,3,998,56,833,0,,,
buncombe_65.1,0,0,0,735,74,533,2,,,
buncombe_33.3,0,0,0,256,36,230,3,,,
buncombe_36.1,0,0,0,236,22,236,1,,,
buncombe_38.3,0,0,0,555,51,930,1,,,
buncombe_58.1,0,0,1,464,27,465,1,,,
buncombe_34.1,0,0,0,172,22,141,0,,,
buncombe_37.1,0,0,3,209,24,274,1,,,
buncombe_52.1,0,0,0,471,94,824,1,,,
buncombe_35.1,0,0,2,232,16,164,1,,,
buncombe_38.2,0,0,0,317,41,546,0,,,
buncombe_49.1,0,0,1,460,95,811,1,,,
buncombe_45.1,0,0,0,368,50,545,0,,,
buncombe_48.1,0,0,3,369,58,626,2,,,
buncombe_54.2,0,0,0,440,37,444,1,,,
buncombe_56.2,0,0,0,459,39,409,0,,,
buncombe_31.1,0,0,0,265,8,364,0,,,
buncombe_44.1,0,0,1,419,52,494,3,,,
buncombe_47.1,0,0,2,417,60,732,0,,,
buncombe_69.1,0,0,0,473,67,614,1,,,
buncombe_30.2,0,0,0,218,25,310,0,,,
buncombe_681,0,0,0,60,3,114,1,,,
buncombe_63.1,0,0,1,125,7,127,0,,,
buncombe_30.3,0,0,0,349,28,479,1,,,
buncombe_55.1,0,0,0,496,64,593,4,,,
buncombe_46.1,0,0,0,214,13,180,0,,,
buncombe_18.2,0,0,0,472,30,546,0,,,
buncombe_53.1,0,0,0,475,48,719,1,,,
burke_15,,0,,149,28,411,1,,,
burke_18,,0,,83,7,135,0,,,
burke_38,,0,,361,68,483,0,,,
burke_13,,0,,211,53,850,3,,,
