label,time,mle_phc_mse,mean_phc_mse,phc_granularity,n_steps
1_1,2363.7653074264526,0.12250000000000057,0.12250000000000057,10,1000
1_2,971.0192637443542,0.27624998867511763,0.27624998867511763,10,1000
2_1,1253.728304862976,0.0658333305517833,0.039166668653488314,10,1000
2_2,1113.939274628957,0.19791666314005854,0.2879166686038178,10,1000
3_1,710.383846282959,0.06249999761581424,0.06249999761581424,10,1000
3_2,641.3495527108511,0.021249999552965183,0.021249999552965183,10,1000
