label,time,mse,n_steps
1_1,17.5591193040212,0.024455844147923095,1000
1_2,25.91204071044922,0.001433501219518743,1000
2_1,14.091246048609415,0.0013449731286586362,1000
2_2,23.24649914105733,0.05237009504423412,1000
3_1,13.78352403640747,0.001376256976969105,1000
3_2,13.70097835858663,0.03320108620592521,1000
