WARD,PRECINCT,JOINID,Emanuel_M11,DelValle_M11,Braun_M11,Chico_M11,Watkins_M11,Walls_M11
4,15,C04015,153,20,39,31,8,4
4,16,C04016,169,14,75,28,13,2
4,17,C04017,203,21,43,23,9,5
4,18,C04018,138,18,50,28,4,16
4,19,C04019,160,12,62,18,9,3
4,20,C04020,123,7,52,16,9,3
4,21,C04021,192,49,50,46,11,3
4,22,C04022,220,49,36,37,5,13
4,23,C04023,125,26,27,26,2,5
4,24,C04024,175,21,39,27,6,7
4,25,C04025,174,8,77,29,5,7
4,26,C04026,158,17,74,30,7,8
4,27,C04027,141,10,41,21,7,2
4,28,C04028,112,21,21,20,4,1
4,29,C04029,194,15,18,26,4,2
4,30,C04030,131,14,38,33,3,6
4,31,C04031,102,81,8,11,0,1
4,32,C04032,200,45,30,29,1,1
4,33,C04033,152,22,42,28,11,4
4,34,C04034,132,55,14,17,3,2
4,35,C04035,89,8,32,15,3,12
4,36,C04036,122,10,34,23,3,3
4,37,C04037,3,0,1,0,1,0
4,38,C04038,232,38,75,44,8,4
4,39,C04039,108,6,36,20,10,10
4,40,C04040,145,5,71,21,4,6
4,41,C04041,67,43,6,18,1,3
4,42,C04042,181,16,63,37,9,10
4,43,C04043,97,31,23,12,3,3
4,44,C04044,100,13,30,12,3,2
4,45,C04045,307,29,80,32,8,7
4,46,C04046,92,13,42,21,10,6
4,47,C04047,188,67,53,34,7,5
4,48,C04048,252,41,41,37,8,2
4,49,C04049,123,8,50,15,4,5
4,50,C04050,151,11,51,35,9,3
4,51,C04051,167,12,48,25,8,7
4,52,C04052,164,8,78,20,16,9
5,1,C05001,149,18,60,38,12,5
5,2,C05002,117,5,38,23,6,7
5,3,C05003,74,16,13,14,2,4
5,4,C05004,97,5,51,15,5,1
5,5,C05005,121,9,47,13,5,5
5,6,C05006,145,7,72,36,13,5
5,7,C05007,145,19,69,24,10,2
5,8,C05008,240,51,10,25,2,1
5,9,C05009,130,5,48,37,10,4
5,10,C05010,118,10,36,16,5,5
5,11,C05011,142,29,21,25,3,4
5,12,C05012,104,6,23,18,7,4
5,13,C05013,120,16,63,16,11,8
5,14,C05014,206,50,49,28,9,8
5,15,C05015,145,27,34,14,2,0
5,16,C05016,104,10,32,20,7,3
5,17,C05017,150,7,42,19,3,4
5,18,C05018,156,13,37,16,6,7
5,19,C05019,66,5,21,8,7,6
5,20,C05020,68,3,10,15,4,2
5,21,C05021,161,11,49,6,11,4
5,22,C05022,160,16,59,19,9,5
5,23,C05023,90,3,36,14,11,3
5,24,C05024,174,15,29,21,1,2
5,25,C05025,142,7,51,19,12,1
5,26,C05026,173,5,55,22,16,8
5,27,C05027,197,51,15,40,7,0
5,28,C05028,174,4,57,21,7,6
5,29,C05029,138,14,45,25,6,9
5,30,C05030,152,34,17,27,4,0
5,31,C05031,143,10,43,21,7,4
5,32,C05032,250,20,78,38,13,9
5,33,C05033,116,6,52,4,4,2
5,34,C05034,192,10,55,19,7,4
5,35,C05035,130,20,22,15,5,3
5,36,C05036,71,1,22,9,8,1
5,37,C05037,118,27,17,29,6,1
5,38,C05038,197,41,25,23,6,2
5,39,C05039,230,53,14,34,2,0
5,40,C05040,150,3,32,14,10,2
5,41,C05041,174,37,4,28,0,0
5,42,C05042,169,9,55,17,10,3
5,43,C05043,146,13,68,20,6,4
5,44,C05044,161,14,40,29,12,9
5,45,C05045,71,3,39,4,3,4
5,46,C05046,164,31,19,29,3,1
5,47,C05047,113,9,36,11,9,1
5,48,C05048,106,24,28,21,3,2
5,49,C05049,30,2,16,8,0,1
5,50,C05050,116,1,31,12,4,4
5,51,C05051,82,5,36,18,7,1
5,52,C05052,4,1,0,0,0,0
5,53,C05053,183,29,31,26,10,3
5,54,C05054,208,20,77,39,6,14
5,55,C05055,161,6,26,22,1,3
6,1,C06001,176,13,86,34,7,6
6,2,C06002,148,11,71,30,11,5
6,3,C06003,188,7,66,16,13,5
6,4,C06004,99,1,58,12,4,7
6,5,C06005,74,2,27,6,6,0
6,6,C06006,135,11,55,21,5,5
6,7,C06007,150,4,49,23,9,0
6,8,C06008,201,8,92,24,10,10
6,9,C06009,147,11,60,20,16,5
6,10,C06010,235,9,91,25,6,8
6,11,C06011,156,13,61,22,7,6
6,12,C06012,114,6,42,11,8,5
6,13,C06013,148,2,54,7,6,4
6,14,C06014,145,10,52,25,9,4
6,15,C06015,103,3,33,12,9,4
6,16,C06016,187,9,71,25,19,5
6,17,C06017,165,13,86,33,6,10
6,18,C06018,85,1,27,15,13,3
6,19,C06019,163,13,68,27,16,6
6,20,C06020,148,9,46,17,11,2
6,21,C06021,159,6,66,23,15,2
6,22,C06022,145,6,52,25,7,3
6,23,C06023,141,4,41,17,4,4
