JOINID,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT,MG_VOTES,MG_E,MG_WIL,MG_F,MG_G,MG_WAL,MRO_VOTES,MRO_E,MRO_G,DPP_VOTES,DPP_C,DPP_S,Maj Cand?,Plu Cand?,RO Winner?,Change?,GE 2nd Place?
C01009,0.325051796,0.039337474,0.566252552,0.051759834,0.017598344,198,0.439393939,0.060606061,0.065656566,0.434343434,0,264,0.401515152,0.598484848,347,0.475504323,0.524495677,None,Rahm,Chuy,Yes,Chuy
C01027,0.397270149,0.030172411,0.515804562,0.028017247,0.028735632,170,0.435294118,0.041176471,0.082352941,0.429411765,0.011764706,247,0.477732794,0.522267206,388,0.43556701,0.56443299,None,Rahm,Chuy,Yes,Chuy
C01028,0.094949662,0.450504941,0.430302945,0.006060629,0.018181823,132,0.484848485,0.121212121,0.015151515,0.272727273,0.106060606,133,0.383458647,0.616541353,157,0.751592357,0.248407643,None,Rahm,Chuy,Yes,Chuy
C01031,0.289491998,0.104384137,0.540013916,0.041057758,0.025052191,209,0.473684211,0.04784689,0.04784689,0.416267943,0.014354067,279,0.440860215,0.559139785,414,0.417874396,0.582125604,None,Rahm,Chuy,Yes,Chuy
C01035,0.549242425,0.015151515,0.381944442,0.031565657,0.022095961,221,0.443438914,0.018099548,0.090497738,0.425339367,0.022624434,299,0.484949833,0.515050167,447,0.398210291,0.601789709,None,Rahm,Chuy,Yes,Chuy
C05029,0.022488763,0.946776586,0.011244388,4.18E-09,0.019490258,346,0.384393064,0.170520231,0.052023121,0.329479769,0.063583815,376,0.47606383,0.52393617,474,0.597046414,0.402953586,None,Rahm,Chuy,Yes,Chuy
C07025,0.0345098,0.696470589,0.249411769,3.93E-10,0.019607841,203,0.399014778,0.246305419,0.024630542,0.290640394,0.039408867,239,0.468619247,0.531380753,351,0.618233618,0.381766382,None,Rahm,Chuy,Yes,Chuy
C07031,0.016033757,0.763713055,0.206751078,0.001687764,0.011814346,148,0.432432432,0.114864865,0.047297297,0.364864865,0.040540541,171,0.467836257,0.532163743,244,0.618852459,0.381147541,None,Rahm,Chuy,Yes,Chuy
C07035,0.02529511,0.811129829,0.136593612,0.006745362,0.020236088,235,0.387234043,0.225531915,0.05106383,0.289361702,0.046808511,272,0.481617647,0.518382353,347,0.65129683,0.34870317,None,Rahm,Chuy,Yes,Chuy
C08046,0.005747127,0.979885058,0.005747125,0,0.00862069,196,0.336734694,0.265306122,0.056122449,0.285714286,0.056122449,240,0.5,0.5,294,0.649659864,0.350340136,None,Rahm,Chuy,Yes,Chuy
C09028,0.017492711,0.548104947,0.423469398,0.000728863,0.010204081,124,0.483870968,0.217741935,0.016129032,0.274193548,0.008064516,164,0.432926829,0.567073171,246,0.617886179,0.382113821,None,Rahm,Chuy,Yes,Chuy
