Precinct_Name,WARD,PRECINCT,JOINID,TOTVOTES,JOYCE,VALLAS,WILSON,PRECKWINKLE,DALEY,MCCARTHY,CHICO,MENDOZA,ENYIA,FORD,SALESGRIFFIN,LIGHTFOOT,FIORETTI,KOZLAR,P_JOYCE,P_VALLAS,P_WISLON,P_PRECKWINKLE,P_DALEY,P_MCCARTHY,P_CHICO,P_MENDOZA,P_ENYIA,P_FORD,P_SALESGRIFFIN,P_LIGHTFOOT,P_FIORETTI,P_KOZLAR,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,PER_NW
Ward 03 Precinct 28,3,28,C03028,280,5,2,86,94,21,2,2,14,14,2,0,31,1,1,0.017857143,0.007142857,0.307142857,0.335714286,0.075,0.007142857,0.007142857,0.05,0.05,0.007142857,0,0.110714286,0.003571429,0.003571429,831.0000026,5.999999827,797.0000028,6,9,0.007220216,0.95908544,0.007220217,0.010830325,0.992779784
Ward 03 Precinct 29,3,29,C03029,279,4,11,75,58,23,1,5,14,38,5,0,40,4,1,0.014336918,0.039426523,0.268817204,0.207885305,0.082437276,0.003584229,0.017921147,0.050179211,0.136200717,0.017921147,0,0.143369176,0.014336918,0.003584229,1179.000001,34.00000002,1112.000001,19.99999988,2.999999993,0.028837998,0.94317218,0.016963528,0.002544529,0.971162002
Ward 03 Precinct 30,3,30,C03030,295,2,7,83,76,19,0,10,8,42,4,1,41,0,0,0.006779661,0.023728814,0.281355932,0.257627119,0.06440678,0,0.033898305,0.027118644,0.142372881,0.013559322,0.003389831,0.138983051,0,0,1340.999969,5.000000992,1271.999969,6,19.99999806,0.003728562,0.948545861,0.004474273,0.014914242,0.996271438
Ward 03 Precinct 31,3,31,C03031,348,5,3,88,93,26,1,7,9,54,8,1,50,0,0,0.014367816,0.00862069,0.252873563,0.267241379,0.074712644,0.002873563,0.020114943,0.025862069,0.155172414,0.022988506,0.002873563,0.143678161,0,0,1525.000053,43.99999989,1432.000049,1.99999981,32.00000265,0.028852458,0.939016393,0.001311475,0.020983608,0.971147542
Ward 03 Precinct 32,3,32,C03032,369,10,14,27,76,62,9,13,30,29,2,1,82,9,2,0.027100271,0.037940379,0.073170732,0.20596206,0.16802168,0.024390244,0.035230352,0.081300813,0.078590786,0.005420054,0.002710027,0.222222222,0.024390244,0.005420054,1573.000006,756.0000038,397.0000006,264.0000014,109.0000004,0.480610299,0.252383979,0.167832168,0.069294342,0.519389701
Ward 03 Precinct 33,3,33,C03033,349,10,19,12,67,47,12,11,29,27,5,3,99,5,2,0.028653295,0.054441261,0.034383954,0.191977077,0.134670487,0.034383954,0.031518625,0.083094556,0.077363897,0.014326648,0.008595989,0.283667622,0.014326648,0.005730659,1527,931,253,197,104,0.609692207,0.165684348,0.129011133,0.0681074,0.390307793
Ward 03 Precinct 34,3,34,C03034,388,5,22,28,74,53,5,27,25,26,3,1,102,14,2,0.012886598,0.056701031,0.072164948,0.190721649,0.136597938,0.012886598,0.069587629,0.06443299,0.067010309,0.007731959,0.00257732,0.262886598,0.036082474,0.005154639,1347.000019,720.0000137,341.0000022,174.0000013,77.00000176,0.534521161,0.253155158,0.129175946,0.057164069,0.465478839
Ward 03 Precinct 35,3,35,C03035,139,2,3,21,35,19,1,2,2,15,3,0,29,6,0,0.014388489,0.021582734,0.151079137,0.251798561,0.136690647,0.007194245,0.014388489,0.014388489,0.107913669,0.021582734,0,0.208633094,0.043165468,0,835.9999053,59.9999936,705.9999181,10,45.9999944,0.071770335,0.844497605,0.011961724,0.055023923,0.928229665
Ward 03 Precinct 36,3,36,C03036,153,1,4,47,39,8,1,3,3,16,2,0,22,2,1,0.006535948,0.026143791,0.307189542,0.254901961,0.052287582,0.006535948,0.019607843,0.019607843,0.104575163,0.013071895,0,0.14379085,0.013071895,0.006535948,1121.999948,2.99999984,1081.99995,0,23.99999931,0.002673797,0.964349376,0,0.021390375,0.997326203
Ward 03 Precinct 37,3,37,C03037,271,5,4,74,73,17,1,7,6,39,5,0,38,0,0,0.018450185,0.014760148,0.273062731,0.269372694,0.062730627,0.003690037,0.025830258,0.022140221,0.143911439,0.018450185,0,0.140221402,0,0,1380.000029,24.00000015,1302.000029,1,33.00000015,0.017391304,0.943478262,0.000724638,0.023913043,0.982608696
Ward 03 Precinct 38,3,38,C03038,324,3,9,86,101,19,4,9,9,29,3,0,45,2,0,0.009259259,0.027777778,0.265432099,0.311728395,0.058641975,0.012345679,0.027777778,0.027777778,0.089506173,0.009259259,0,0.138888889,0.00617284,0,864.9999999,15,820.9999999,2,17,0.01734104,0.949132948,0.002312139,0.019653179,0.98265896
Ward 03 Precinct 39,3,39,C03039,447,20,27,5,72,88,10,19,47,41,4,6,98,6,3,0.044742729,0.060402685,0.011185682,0.161073826,0.196868009,0.022371365,0.042505593,0.105145414,0.091722595,0.008948546,0.013422819,0.219239374,0.013422819,0.006711409,1408.000018,870.000011,147.0000011,255.0000054,90.99999961,0.617897727,0.104403409,0.181107956,0.064630681,0.382102273
Ward 03 Precinct 40,3,40,C03040,257,7,5,35,56,36,2,8,20,29,3,1,42,11,2,0.027237354,0.019455253,0.13618677,0.217898833,0.140077821,0.007782101,0.031128405,0.077821012,0.112840467,0.011673152,0.003891051,0.163424125,0.042801556,0.007782101,1432.000003,318.0000001,912.0000027,77.00000006,85.00000007,0.222067039,0.636871509,0.05377095,0.059357542,0.777932961
Ward 03 Precinct 41,3,41,C03041,296,11,11,42,85,34,4,9,8,26,2,0,43,7,5,0.037162162,0.037162162,0.141891892,0.287162162,0.114864865,0.013513514,0.030405405,0.027027027,0.087837838,0.006756757,0,0.14527027,0.023648649,0.016891892,2579.000034,948.0000016,915.0000284,512.0000002,134.0000014,0.367584331,0.354788684,0.198526558,0.051958123,0.632415669
Ward 04 Precinct 01,4,1,C04001,461,3,7,21,176,25,3,9,18,75,2,5,116,1,0,0.006507592,0.015184382,0.045553145,0.381778742,0.054229935,0.006507592,0.019522777,0.039045553,0.162689805,0.004338395,0.010845987,0.251626898,0.002169197,0,2237.000004,1056.999969,524.0000636,379.9999732,183.9999912,0.472507808,0.234242317,0.16987035,0.082253013,0.527492192
Ward 04 Precinct 02,4,2,C04002,398,12,24,8,75,63,10,15,24,20,2,3,131,9,2,0.030150754,0.060301508,0.020100503,0.188442211,0.158291457,0.025125628,0.037688442,0.060301508,0.050251256,0.005025126,0.007537688,0.329145729,0.022613065,0.005025126,1509.00001,772.0000103,220.0000016,374.9999977,84.00000036,0.511597088,0.145791915,0.248508943,0.055666004,0.488402912
