prec_id,Lisa Baker,Nelson Dollar,election
wake_ONESTOP,5234,4449,nc_house_of_representatives_district_036
wake_18-04,375,619,nc_house_of_representatives_district_036
wake_43935,384,395,nc_house_of_representatives_district_036
wake_43940,300,345,nc_house_of_representatives_district_036
wake_43937,473,401,nc_house_of_representatives_district_036
wake_44170,823,1497,nc_house_of_representatives_district_036
wake_18-07,375,809,nc_house_of_representatives_district_036
wake_43927,607,582,nc_house_of_representatives_district_036
wake_43928,500,792,nc_house_of_representatives_district_036
wake_43933,547,582,nc_house_of_representatives_district_036
wake_20-01,472,430,nc_house_of_representatives_district_036
wake_18-05,841,1162,nc_house_of_representatives_district_036
wake_43931,569,558,nc_house_of_representatives_district_036
wake_18-02,665,1195,nc_house_of_representatives_district_036
wake_18-03,420,566,nc_house_of_representatives_district_036
wake_20-09,498,570,nc_house_of_representatives_district_036
wake_18-08,475,510,nc_house_of_representatives_district_036
wake_20-05,656,882,nc_house_of_representatives_district_036
wake_43989,562,680,nc_house_of_representatives_district_036
wake_15-02,417,652,nc_house_of_representatives_district_036
wake_44172,284,579,nc_house_of_representatives_district_036
