prec_id,Gladys A. Robinson,election
guilford_FEN1,1123,nc_state_senate_district_28
guilford_FR2,17,nc_state_senate_district_28
guilford_G43,490,nc_state_senate_district_28
guilford_SUM2,422,nc_state_senate_district_28
guilford_SUM1,373,nc_state_senate_district_28
guilford_FR1,440,nc_state_senate_district_28
guilford_CURBSIDE,333,nc_state_senate_district_28
guilford_MON2A,578,nc_state_senate_district_28
guilford_H03,158,nc_state_senate_district_28
guilford_G61,630,nc_state_senate_district_28
guilford_G64,740,nc_state_senate_district_28
guilford_JEF3,1678,nc_state_senate_district_28
guilford_JEF2,24,nc_state_senate_district_28
guilford_PG1,112,nc_state_senate_district_28
guilford_G47,707,nc_state_senate_district_28
guilford_G60,506,nc_state_senate_district_28
guilford_G63,570,nc_state_senate_district_28
guilford_G69,865,nc_state_senate_district_28
guilford_G26,623,nc_state_senate_district_28
guilford_H19A,492,nc_state_senate_district_28
guilford_G11,583,nc_state_senate_district_28
guilford_G01,387,nc_state_senate_district_28
guilford_G04,646,nc_state_senate_district_28
guilford_G03,780,nc_state_senate_district_28
guilford_G51,532,nc_state_senate_district_28
guilford_G54,910,nc_state_senate_district_28
guilford_H29A,600,nc_state_senate_district_28
guilford_G37,733,nc_state_senate_district_28
guilford_G71,870,nc_state_senate_district_28
guilford_G72,880,nc_state_senate_district_28
guilford_H08,261,nc_state_senate_district_28
guilford_H07,378,nc_state_senate_district_28
guilford_H28,835,nc_state_senate_district_28
guilford_G67,334,nc_state_senate_district_28
guilford_G46,923,nc_state_senate_district_28
guilford_G06,755,nc_state_senate_district_28
guilford_G52,783,nc_state_senate_district_28
guilford_G55,1006,nc_state_senate_district_28
guilford_G58,582,nc_state_senate_district_28
guilford_G02,315,nc_state_senate_district_28
guilford_G62,414,nc_state_senate_district_28
guilford_G49,329,nc_state_senate_district_28
guilford_G48,826,nc_state_senate_district_28
guilford_G12,464,nc_state_senate_district_28
guilford_H19B,248,nc_state_senate_district_28
guilford_G57,746,nc_state_senate_district_28
guilford_G08,779,nc_state_senate_district_28
guilford_G07,494,nc_state_senate_district_28
guilford_G10,971,nc_state_senate_district_28
guilford_H29B,614,nc_state_senate_district_28
guilford_H10,796,nc_state_senate_district_28
guilford_G73,728,nc_state_senate_district_28
guilford_G74,1137,nc_state_senate_district_28
guilford_H05,586,nc_state_senate_district_28
guilford_G14,537,nc_state_senate_district_28
guilford_H09,489,nc_state_senate_district_28
guilford_G44,587,nc_state_senate_district_28
guilford_G68,456,nc_state_senate_district_28
guilford_G45,498,nc_state_senate_district_28
guilford_G09,896,nc_state_senate_district_28
guilford_G56,617,nc_state_senate_district_28
guilford_G59,517,nc_state_senate_district_28
guilford_H11,568,nc_state_senate_district_28
guilford_H18,633,nc_state_senate_district_28
guilford_G70,776,nc_state_senate_district_28
guilford_G75,822,nc_state_senate_district_28
guilford_G50,715,nc_state_senate_district_28
guilford_G53,1205,nc_state_senate_district_28
guilford_CG3B,150,nc_state_senate_district_28
guilford_G05,714,nc_state_senate_district_28
