prec_id,Robert T. Reives II,Wesley Seawell,election
chatham_45,132,193,nc_house_of_representatives_district_054
chatham_24,44,293,nc_house_of_representatives_district_054
chatham_78,244,329,nc_house_of_representatives_district_054
chatham_NWM117,284,285,nc_house_of_representatives_district_054
chatham_3,154,436,nc_house_of_representatives_district_054
chatham_42,166,330,nc_house_of_representatives_district_054
chatham_ESC114,325,251,nc_house_of_representatives_district_054
chatham_30,110,249,nc_house_of_representatives_district_054
chatham_18,133,313,nc_house_of_representatives_district_054
chatham_21,192,258,nc_house_of_representatives_district_054
chatham_15,203,194,nc_house_of_representatives_district_054
chatham_ABSENTEE,975,643,nc_house_of_representatives_district_054
chatham_9,136,339,nc_house_of_representatives_district_054
chatham_6,81,331,nc_house_of_representatives_district_054
chatham_85,206,214,nc_house_of_representatives_district_054
chatham_MCH110,365,270,nc_house_of_representatives_district_054
chatham_75,365,574,nc_house_of_representatives_district_054
chatham_20,235,422,nc_house_of_representatives_district_054
chatham_PIT113,454,466,nc_house_of_representatives_district_054
lee_E2,8,4,nc_house_of_representatives_district_054
lee_OS-PAPER,2407,910,nc_house_of_representatives_district_054
lee_B1,55,99,nc_house_of_representatives_district_054
lee_B2,239,199,nc_house_of_representatives_district_054
lee_A2,386,49,nc_house_of_representatives_district_054
lee_A1,232,98,nc_house_of_representatives_district_054
lee_ABSENTEE,91,44,nc_house_of_representatives_district_054
