prec_id,Toni Morris,Wesley Meredith,election
cumberland_ABSENTEE 31-57,372,578,nc_state_senate_district_19
cumberland_G2D,769,804,nc_state_senate_district_19
cumberland_G2B,879,683,nc_state_senate_district_19
cumberland_G4C,450,236,nc_state_senate_district_19
cumberland_G8A,416,391,nc_state_senate_district_19
cumberland_AH49,317,169,nc_state_senate_district_19
cumberland_CC12,315,842,nc_state_senate_district_19
cumberland_CC21,13,17,nc_state_senate_district_19
cumberland_G2C-2,615,711,nc_state_senate_district_19
cumberland_CC27,322,187,nc_state_senate_district_19
cumberland_CC03,11,18,nc_state_senate_district_19
cumberland_G8C,371,326,nc_state_senate_district_19
cumberland_CC07,265,425,nc_state_senate_district_19
cumberland_G11B,546,700,nc_state_senate_district_19
cumberland_G11A-2,148,79,nc_state_senate_district_19
cumberland_CC04,350,344,nc_state_senate_district_19
cumberland_G2C-1,556,455,nc_state_senate_district_19
cumberland_G8D,726,978,nc_state_senate_district_19
cumberland_LI65,568,1160,nc_state_senate_district_19
cumberland_CC31,327,297,nc_state_senate_district_19
cumberland_CC34,533,806,nc_state_senate_district_19
cumberland_G8B,633,645,nc_state_senate_district_19
cumberland_CC15,507,966,nc_state_senate_district_19
cumberland_CC18,259,597,nc_state_senate_district_19
cumberland_G4B,304,508,nc_state_senate_district_19
cumberland_G2A,413,244,nc_state_senate_district_19
cumberland_CC14,535,948,nc_state_senate_district_19
cumberland_G10B,764,811,nc_state_senate_district_19
cumberland_CC33,383,342,nc_state_senate_district_19
cumberland_G5C,348,319,nc_state_senate_district_19
cumberland_CC06,259,375,nc_state_senate_district_19
cumberland_G10C,729,1351,nc_state_senate_district_19
cumberland_G7A,216,609,nc_state_senate_district_19
cumberland_CC24,472,321,nc_state_senate_district_19
cumberland_CC29,55,29,nc_state_senate_district_19
cumberland_G2E-1,94,72,nc_state_senate_district_19
cumberland_G5A-1,239,237,nc_state_senate_district_19
cumberland_MR02,582,359,nc_state_senate_district_19
cumberland_G5A-2,542,376,nc_state_senate_district_19
cumberland_G4A,341,346,nc_state_senate_district_19
cumberland_CU02,524,466,nc_state_senate_district_19
cumberland_CC08,192,531,nc_state_senate_district_19
cumberland_ABSENTEE 1-30,462,709,nc_state_senate_district_19
cumberland_G7B,208,565,nc_state_senate_district_19
cumberland_CC10,195,307,nc_state_senate_district_19
cumberland_G10A,1188,1576,nc_state_senate_district_19
cumberland_G11A-1,272,144,nc_state_senate_district_19
cumberland_CC32,16,13,nc_state_senate_district_19
cumberland_CC25,613,451,nc_state_senate_district_19
cumberland_CC26,377,288,nc_state_senate_district_19
cumberland_G2E-2,12,3,nc_state_senate_district_19
cumberland_G3B,251,235,nc_state_senate_district_19
cumberland_G9B-2,997,1219,nc_state_senate_district_19
cumberland_SH77,625,996,nc_state_senate_district_19
cumberland_EO61-1,351,913,nc_state_senate_district_19
cumberland_G3A-2,347,322,nc_state_senate_district_19
cumberland_G1B,996,1574,nc_state_senate_district_19
cumberland_G9A,786,920,nc_state_senate_district_19
cumberland_G6A,764,2007,nc_state_senate_district_19
cumberland_G6C,482,740,nc_state_senate_district_19
cumberland_AL51,1003,1977,nc_state_senate_district_19
cumberland_G3C,281,458,nc_state_senate_district_19
cumberland_G1A,145,216,nc_state_senate_district_19
cumberland_G6B,214,546,nc_state_senate_district_19
cumberland_CC01,57,48,nc_state_senate_district_19
cumberland_EO61-2,392,723,nc_state_senate_district_19
cumberland_G9B-1,1078,1225,nc_state_senate_district_19
cumberland_G3A-1,636,441,nc_state_senate_district_19
