prec_id,Ken Goodman,election
hoke_14,742,nc_house_of_representatives_district_066
hoke_06B,836,nc_house_of_representatives_district_066
hoke_2,192,nc_house_of_representatives_district_066
hoke_5,172,nc_house_of_representatives_district_066
hoke_13,283,nc_house_of_representatives_district_066
hoke_4,113,nc_house_of_representatives_district_066
hoke_63,16,nc_house_of_representatives_district_066
hoke_15,434,nc_house_of_representatives_district_066
hoke_12,699,nc_house_of_representatives_district_066
montgomery_ROC,230,nc_house_of_representatives_district_066
montgomery_CHE,158,nc_house_of_representatives_district_066
montgomery_MTG,551,nc_house_of_representatives_district_066
montgomery_ONESTOP,166,nc_house_of_representatives_district_066
richmond_15,43,nc_house_of_representatives_district_066
richmond_1,228,nc_house_of_representatives_district_066
richmond_4,220,nc_house_of_representatives_district_066
richmond_7,61,nc_house_of_representatives_district_066
richmond_16,76,nc_house_of_representatives_district_066
richmond_14,63,nc_house_of_representatives_district_066
richmond_11,152,nc_house_of_representatives_district_066
richmond_5,79,nc_house_of_representatives_district_066
richmond_8,148,nc_house_of_representatives_district_066
richmond_ONESTOP,2411,nc_house_of_representatives_district_066
richmond_3,184,nc_house_of_representatives_district_066
richmond_6,252,nc_house_of_representatives_district_066
richmond_9,660,nc_house_of_representatives_district_066
richmond_10,120,nc_house_of_representatives_district_066
richmond_12,199,nc_house_of_representatives_district_066
richmond_2,828,nc_house_of_representatives_district_066
richmond_13,247,nc_house_of_representatives_district_066
robeson_ONESTOP,134,nc_house_of_representatives_district_066
robeson_10,145,nc_house_of_representatives_district_066
robeson_32A,535,nc_house_of_representatives_district_066
robeson_21,469,nc_house_of_representatives_district_066
scotland_1,77,nc_house_of_representatives_district_066
scotland_4,833,nc_house_of_representatives_district_066
scotland_2,0,nc_house_of_representatives_district_066
scotland_8,328,nc_house_of_representatives_district_066
scotland_ONESTOP,0,nc_house_of_representatives_district_066
scotland_9,555,nc_house_of_representatives_district_066
scotland_3,631,nc_house_of_representatives_district_066
scotland_10,267,nc_house_of_representatives_district_066
