prec_id,Jean Farmer-Butterfield,election
pitt_101,0,nc_house_of_representatives_district_024
pitt_1509,7,nc_house_of_representatives_district_024
pitt_1506,207,nc_house_of_representatives_district_024
pitt_1201,89,nc_house_of_representatives_district_024
pitt_1512A,309,nc_house_of_representatives_district_024
pitt_1512B,95,nc_house_of_representatives_district_024
pitt_1508A,25,nc_house_of_representatives_district_024
pitt_ONESTOP,3849,nc_house_of_representatives_district_024
pitt_901,145,nc_house_of_representatives_district_024
pitt_501,29,nc_house_of_representatives_district_024
pitt_401,442,nc_house_of_representatives_district_024
pitt_1505A,350,nc_house_of_representatives_district_024
pitt_1504A,405,nc_house_of_representatives_district_024
pitt_1504B,547,nc_house_of_representatives_district_024
pitt_701,269,nc_house_of_representatives_district_024
pitt_301,593,nc_house_of_representatives_district_024
pitt_1503,397,nc_house_of_representatives_district_024
pitt_1501,163,nc_house_of_representatives_district_024
pitt_1505B,520,nc_house_of_representatives_district_024
wilson_PRWQ,293,nc_house_of_representatives_district_024
wilson_PRWE,506,nc_house_of_representatives_district_024
wilson_PRWR,621,nc_house_of_representatives_district_024
wilson_CURBSIDE,198,nc_house_of_representatives_district_024
wilson_PRWA,316,nc_house_of_representatives_district_024
wilson_PRWC,654,nc_house_of_representatives_district_024
wilson_PRWH,215,nc_house_of_representatives_district_024
wilson_PRBL,5,nc_house_of_representatives_district_024
wilson_PRWI,558,nc_house_of_representatives_district_024
wilson_PRWN,1040,nc_house_of_representatives_district_024
wilson_PRGA,700,nc_house_of_representatives_district_024
wilson_PRWB,390,nc_house_of_representatives_district_024
wilson_PRWD,79,nc_house_of_representatives_district_024
wilson_PRWJ,358,nc_house_of_representatives_district_024
wilson_PRST,8,nc_house_of_representatives_district_024
wilson_PRSA,303,nc_house_of_representatives_district_024
wilson_PRWM,341,nc_house_of_representatives_district_024
