prec_id,Charlie Pat Farris,Susan Martin,election
pitt_ABSENTEE #2,28,31,nc_house_of_representatives_district_008
pitt_OS WILLIS BUILDING #2,62,51,nc_house_of_representatives_district_008
pitt_OS AYDEN #2,4,3,nc_house_of_representatives_district_008
pitt_OS COMMUNITY SCHOOLS 2,243,220,nc_house_of_representatives_district_008
pitt_1403B,190,132,nc_house_of_representatives_district_008
pitt_OS COMMUNITY SCHOOLS 1,549,634,nc_house_of_representatives_district_008
pitt_OS COUNTY OFFICE 1,968,375,nc_house_of_representatives_district_008
pitt_OS FARMVILLE 2,1,5,nc_house_of_representatives_district_008
pitt_OS FARMVILLE 1,983,819,nc_house_of_representatives_district_008
pitt_ABSENTEE #1,193,125,nc_house_of_representatives_district_008
pitt_1403A2,100,78,nc_house_of_representatives_district_008
pitt_OS COUNTY OFFICE 2,129,59,nc_house_of_representatives_district_008
pitt_OS WINTERVILLE #2,949,759,nc_house_of_representatives_district_008
pitt_OS AYDEN #1,580,591,nc_house_of_representatives_district_008
pitt_OS AG CENTER 2,50,41,nc_house_of_representatives_district_008
pitt_0200B,216,172,nc_house_of_representatives_district_008
pitt_OS ECU-WILLIS BLDG 1,139,135,nc_house_of_representatives_district_008
pitt_OS AG CENTER 1,236,173,nc_house_of_representatives_district_008
pitt_OS WINTERVILLE #1,1803,2104,nc_house_of_representatives_district_008
pitt_901,11,36,nc_house_of_representatives_district_008
pitt_101,352,383,nc_house_of_representatives_district_008
pitt_1512A,176,224,nc_house_of_representatives_district_008
pitt_1512B,183,222,nc_house_of_representatives_district_008
pitt_0800A,195,267,nc_house_of_representatives_district_008
pitt_0200A,187,283,nc_house_of_representatives_district_008
pitt_0800B,218,254,nc_house_of_representatives_district_008
pitt_1403A1,158,288,nc_house_of_representatives_district_008
wilson_PRTO,439,480,nc_house_of_representatives_district_008
wilson_CURBSIDE,0,0,nc_house_of_representatives_district_008
wilson_ABSENTEE,317,452,nc_house_of_representatives_district_008
wilson_PRWP,181,230,nc_house_of_representatives_district_008
wilson_PRBL,300,498,nc_house_of_representatives_district_008
wilson_PRWD,175,179,nc_house_of_representatives_district_008
wilson_PRWK,151,209,nc_house_of_representatives_district_008
wilson_PRCR,297,436,nc_house_of_representatives_district_008
wilson_PRSA,56,57,nc_house_of_representatives_district_008
wilson_PRWL,277,283,nc_house_of_representatives_district_008
wilson_PRSP,208,470,nc_house_of_representatives_district_008
wilson_PRWJ,230,162,nc_house_of_representatives_district_008
wilson_PROL,309,610,nc_house_of_representatives_district_008
wilson_PRTA,521,551,nc_house_of_representatives_district_008
wilson_PRST,274,187,nc_house_of_representatives_district_008
wilson_PRWM,222,251,nc_house_of_representatives_district_008
