prec_id,Becky Carney,election
mecklenburg_120,520,nc_house_of_representatives_district_102
mecklenburg_CURBSIDE,304,nc_house_of_representatives_district_102
mecklenburg_1,325,nc_house_of_representatives_district_102
mecklenburg_9,180,nc_house_of_representatives_district_102
mecklenburg_122,15,nc_house_of_representatives_district_102
mecklenburg_228,270,nc_house_of_representatives_district_102
mecklenburg_230,434,nc_house_of_representatives_district_102
mecklenburg_138,647,nc_house_of_representatives_district_102
mecklenburg_17,422,nc_house_of_representatives_district_102
mecklenburg_2,669,nc_house_of_representatives_district_102
mecklenburg_53,217,nc_house_of_representatives_district_102
mecklenburg_98,684,nc_house_of_representatives_district_102
mecklenburg_35,35,nc_house_of_representatives_district_102
mecklenburg_147,989,nc_house_of_representatives_district_102
mecklenburg_22,1192,nc_house_of_representatives_district_102
mecklenburg_39,658,nc_house_of_representatives_district_102
mecklenburg_78.1,437,nc_house_of_representatives_district_102
mecklenburg_13,744,nc_house_of_representatives_district_102
mecklenburg_52,940,nc_house_of_representatives_district_102
mecklenburg_77,784,nc_house_of_representatives_district_102
mecklenburg_14,522,nc_house_of_representatives_district_102
mecklenburg_23,500,nc_house_of_representatives_district_102
mecklenburg_31,794,nc_house_of_representatives_district_102
mecklenburg_97,419,nc_house_of_representatives_district_102
