prec_id,Shelly Willingham,election
edgecombe_1401,158,nc_house_of_representatives_district_023
edgecombe_301,92,nc_house_of_representatives_district_023
edgecombe_1201,549,nc_house_of_representatives_district_023
edgecombe_104,329,nc_house_of_representatives_district_023
edgecombe_1101,214,nc_house_of_representatives_district_023
edgecombe_1204,260,nc_house_of_representatives_district_023
edgecombe_601,252,nc_house_of_representatives_district_023
edgecombe_CURBSIDE,20,nc_house_of_representatives_district_023
edgecombe_501,157,nc_house_of_representatives_district_023
edgecombe_701,250,nc_house_of_representatives_district_023
edgecombe_801,182,nc_house_of_representatives_district_023
edgecombe_102,459,nc_house_of_representatives_district_023
edgecombe_103,398,nc_house_of_representatives_district_023
edgecombe_401,147,nc_house_of_representatives_district_023
edgecombe_ABSENTEE,117,nc_house_of_representatives_district_023
edgecombe_1205,169,nc_house_of_representatives_district_023
edgecombe_1203,415,nc_house_of_representatives_district_023
edgecombe_1202,292,nc_house_of_representatives_district_023
edgecombe_901,220,nc_house_of_representatives_district_023
edgecombe_101,413,nc_house_of_representatives_district_023
edgecombe_1301,209,nc_house_of_representatives_district_023
edgecombe_201,287,nc_house_of_representatives_district_023
edgecombe_1001,265,nc_house_of_representatives_district_023
martin_HS,101,nc_house_of_representatives_district_023
martin_CR,233,nc_house_of_representatives_district_023
martin_J,383,nc_house_of_representatives_district_023
martin_W,180,nc_house_of_representatives_district_023
martin_BG,349,nc_house_of_representatives_district_023
martin_HM,231,nc_house_of_representatives_district_023
martin_PP,67,nc_house_of_representatives_district_023
martin_ABSENTEE,131,nc_house_of_representatives_district_023
martin_GN,283,nc_house_of_representatives_district_023
martin_R2,378,nc_house_of_representatives_district_023
martin_GR,274,nc_house_of_representatives_district_023
martin_W1,435,nc_house_of_representatives_district_023
martin_R1,288,nc_house_of_representatives_district_023
martin_W2,454,nc_house_of_representatives_district_023
