prec_id,Debra Conrad,Mary Dickinson,election
forsyth_91,688,264,nc_house_of_representatives_district_074
forsyth_906,744,786,nc_house_of_representatives_district_074
forsyth_31,453,244,nc_house_of_representatives_district_074
forsyth_804,442,365,nc_house_of_representatives_district_074
forsyth_33,65,20,nc_house_of_representatives_district_074
forsyth_34,577,319,nc_house_of_representatives_district_074
forsyth_101,417,354,nc_house_of_representatives_district_074
forsyth_67,445,272,nc_house_of_representatives_district_074
forsyth_133,733,400,nc_house_of_representatives_district_074
forsyth_92,633,219,nc_house_of_representatives_district_074
forsyth_112,785,441,nc_house_of_representatives_district_074
forsyth_806,427,181,nc_house_of_representatives_district_074
forsyth_809,975,660,nc_house_of_representatives_district_074
forsyth_62,643,361,nc_house_of_representatives_district_074
forsyth_82,691,441,nc_house_of_representatives_district_074
forsyth_132,1119,671,nc_house_of_representatives_district_074
forsyth_21,1213,381,nc_house_of_representatives_district_074
forsyth_68,850,381,nc_house_of_representatives_district_074
forsyth_131,958,605,nc_house_of_representatives_district_074
forsyth_32,738,404,nc_house_of_representatives_district_074
forsyth_701,397,250,nc_house_of_representatives_district_074
forsyth_707,198,177,nc_house_of_representatives_district_074
forsyth_805,788,661,nc_house_of_representatives_district_074
forsyth_111,611,210,nc_house_of_representatives_district_074
forsyth_61,551,340,nc_house_of_representatives_district_074
forsyth_64,300,189,nc_house_of_representatives_district_074
forsyth_66,686,247,nc_house_of_representatives_district_074
forsyth_81,282,246,nc_house_of_representatives_district_074
forsyth_83,226,232,nc_house_of_representatives_district_074
forsyth_306,19,30,nc_house_of_representatives_district_074
