prec_id,Dean Arp,Gordon B. Daniels,election
union_35,1035,410,nc_house_of_representatives_district_069
union_5,1272,691,nc_house_of_representatives_district_069
union_4,157,650,nc_house_of_representatives_district_069
union_15,1884,1082,nc_house_of_representatives_district_069
union_40,1377,623,nc_house_of_representatives_district_069
union_16,2326,992,nc_house_of_representatives_district_069
union_038A,1338,867,nc_house_of_representatives_district_069
union_029A,209,134,nc_house_of_representatives_district_069
union_ABSENTEE,0,0,nc_house_of_representatives_district_069
union_39,1252,269,nc_house_of_representatives_district_069
union_13,1761,212,nc_house_of_representatives_district_069
union_037A,2043,1247,nc_house_of_representatives_district_069
union_43,87,467,nc_house_of_representatives_district_069
union_32,897,353,nc_house_of_representatives_district_069
union_037B,879,276,nc_house_of_representatives_district_069
union_038B,1123,561,nc_house_of_representatives_district_069
union_CURBSIDE,0,0,nc_house_of_representatives_district_069
union_30,1952,1017,nc_house_of_representatives_district_069
union_8,640,928,nc_house_of_representatives_district_069
union_029C,477,188,nc_house_of_representatives_district_069
union_6,998,263,nc_house_of_representatives_district_069
union_017A,903,467,nc_house_of_representatives_district_069
union_14,639,273,nc_house_of_representatives_district_069
