prec_id,Hugh Blackwell,Jim Cates,election
burke_15,447,134,nc_house_of_representatives_district_086
burke_18,143,81,nc_house_of_representatives_district_086
burke_38,561,333,nc_house_of_representatives_district_086
burke_13,881,220,nc_house_of_representatives_district_086
burke_31,298,527,nc_house_of_representatives_district_086
burke_34,472,460,nc_house_of_representatives_district_086
burke_24,854,306,nc_house_of_representatives_district_086
burke_40,445,305,nc_house_of_representatives_district_086
burke_1,862,445,nc_house_of_representatives_district_086
burke_0047-B,300,231,nc_house_of_representatives_district_086
burke_3,369,125,nc_house_of_representatives_district_086
burke_35,320,345,nc_house_of_representatives_district_086
burke_22,646,231,nc_house_of_representatives_district_086
burke_48,594,463,nc_house_of_representatives_district_086
burke_20,297,213,nc_house_of_representatives_district_086
burke_70,750,361,nc_house_of_representatives_district_086
burke_ONESTOP,0,0,nc_house_of_representatives_district_086
burke_19,186,111,nc_house_of_representatives_district_086
burke_36,524,303,nc_house_of_representatives_district_086
burke_52,272,216,nc_house_of_representatives_district_086
burke_0047-A,421,577,nc_house_of_representatives_district_086
burke_12,703,133,nc_house_of_representatives_district_086
burke_21,389,179,nc_house_of_representatives_district_086
burke_51,832,532,nc_house_of_representatives_district_086
burke_62,199,150,nc_house_of_representatives_district_086
burke_66,461,287,nc_house_of_representatives_district_086
burke_11,755,198,nc_house_of_representatives_district_086
burke_14,653,127,nc_house_of_representatives_district_086
burke_39,336,333,nc_house_of_representatives_district_086
