prec_id,Cecil Brockman,election
guilford_G43,347,nc_house_of_representatives_district_060
guilford_H17,198,nc_house_of_representatives_district_060
guilford_SUM1,491,nc_house_of_representatives_district_060
guilford_FR1,200,nc_house_of_representatives_district_060
guilford_CURBSIDE,81,nc_house_of_representatives_district_060
guilford_H06,425,nc_house_of_representatives_district_060
guilford_H03,341,nc_house_of_representatives_district_060
guilford_G61,600,nc_house_of_representatives_district_060
guilford_G64,667,nc_house_of_representatives_district_060
guilford_H04,205,nc_house_of_representatives_district_060
guilford_H12,190,nc_house_of_representatives_district_060
guilford_JAM4,64,nc_house_of_representatives_district_060
guilford_G36,105,nc_house_of_representatives_district_060
guilford_G60,453,nc_house_of_representatives_district_060
guilford_G63,520,nc_house_of_representatives_district_060
guilford_H19A,407,nc_house_of_representatives_district_060
guilford_G37,462,nc_house_of_representatives_district_060
guilford_H08,239,nc_house_of_representatives_district_060
guilford_H07,357,nc_house_of_representatives_district_060
guilford_G55,906,nc_house_of_representatives_district_060
guilford_G58,492,nc_house_of_representatives_district_060
guilford_G49,297,nc_house_of_representatives_district_060
guilford_G48,475,nc_house_of_representatives_district_060
guilford_G57,676,nc_house_of_representatives_district_060
guilford_H10,742,nc_house_of_representatives_district_060
guilford_H05,571,nc_house_of_representatives_district_060
guilford_H09,446,nc_house_of_representatives_district_060
guilford_G56,518,nc_house_of_representatives_district_060
guilford_G59,449,nc_house_of_representatives_district_060
guilford_H11,558,nc_house_of_representatives_district_060
guilford_H18,511,nc_house_of_representatives_district_060
guilford_G50,380,nc_house_of_representatives_district_060
