prec_id,Sam Watford,election
davidson_74,2157,nc_house_of_representatives_district_080
davidson_56,757,nc_house_of_representatives_district_080
davidson_66,714,nc_house_of_representatives_district_080
davidson_60,2023,nc_house_of_representatives_district_080
davidson_18,1172,nc_house_of_representatives_district_080
davidson_CURBSIDE,0,nc_house_of_representatives_district_080
davidson_64,385,nc_house_of_representatives_district_080
davidson_42,1395,nc_house_of_representatives_district_080
davidson_44,2173,nc_house_of_representatives_district_080
davidson_80A,2962,nc_house_of_representatives_district_080
davidson_76,1873,nc_house_of_representatives_district_080
davidson_68,918,nc_house_of_representatives_district_080
davidson_88,1283,nc_house_of_representatives_district_080
davidson_86A,1608,nc_house_of_representatives_district_080
davidson_14,1106,nc_house_of_representatives_district_080
davidson_16,1774,nc_house_of_representatives_district_080
davidson_54,1057,nc_house_of_representatives_district_080
davidson_46,1449,nc_house_of_representatives_district_080
davidson_20,1589,nc_house_of_representatives_district_080
davidson_ABSENTEE,1517,nc_house_of_representatives_district_080
davidson_12,467,nc_house_of_representatives_district_080
davidson_72,1588,nc_house_of_representatives_district_080
davidson_62,422,nc_house_of_representatives_district_080
