prec_id,Arthur Rich,G. K. Butterfield,election
beaufort_ONESTOP,294,819,us_house_of_representatives_district_01
beaufort_WASH2,120,228,us_house_of_representatives_district_01
beaufort_WASH1,109,222,us_house_of_representatives_district_01
beaufort_PSJW3,58,252,us_house_of_representatives_district_01
bertie_MH,101,138,us_house_of_representatives_district_01
bertie_W1,228,545,us_house_of_representatives_district_01
bertie_C2,90,271,us_house_of_representatives_district_01
bertie_WH,167,168,us_house_of_representatives_district_01
bertie_C1,176,139,us_house_of_representatives_district_01
bertie_WD,21,212,us_house_of_representatives_district_01
bertie_M2,88,224,us_house_of_representatives_district_01
bertie_W2,195,53,us_house_of_representatives_district_01
bertie_RX,80,314,us_house_of_representatives_district_01
bertie_SN,30,167,us_house_of_representatives_district_01
bertie_M1,118,133,us_house_of_representatives_district_01
bertie_IW,11,129,us_house_of_representatives_district_01
bertie_ONESTOP,716,1735,us_house_of_representatives_district_01
chowan_6,0,1,us_house_of_representatives_district_01
chowan_2,282,324,us_house_of_representatives_district_01
chowan_ONESTOP,686,914,us_house_of_representatives_district_01
chowan_1,112,304,us_house_of_representatives_district_01
chowan_4,118,174,us_house_of_representatives_district_01
craven_7,598,529,us_house_of_representatives_district_01
craven_N4,609,918,us_house_of_representatives_district_01
craven_8,250,258,us_house_of_representatives_district_01
craven_N5,230,521,us_house_of_representatives_district_01
craven_9,123,168,us_house_of_representatives_district_01
craven_6,188,232,us_house_of_representatives_district_01
craven_N1,428,606,us_house_of_representatives_district_01
craven_N2,228,759,us_house_of_representatives_district_01
durham_1,39,330,us_house_of_representatives_district_01
durham_46,187,664,us_house_of_representatives_district_01
durham_41,13,497,us_house_of_representatives_district_01
durham_7,60,538,us_house_of_representatives_district_01
durham_52,103,874,us_house_of_representatives_district_01
durham_15,33,312,us_house_of_representatives_district_01
durham_47,27,551,us_house_of_representatives_district_01
durham_20,41,628,us_house_of_representatives_district_01
durham_54,296,1221,us_house_of_representatives_district_01
durham_30-1,502,1194,us_house_of_representatives_district_01
durham_19,116,773,us_house_of_representatives_district_01
durham_14,50,455,us_house_of_representatives_district_01
durham_55-49,8,383,us_house_of_representatives_district_01
durham_29,482,808,us_house_of_representatives_district_01
durham_42,6,377,us_house_of_representatives_district_01
durham_8,37,638,us_house_of_representatives_district_01
durham_5,100,620,us_house_of_representatives_district_01
durham_10,8,256,us_house_of_representatives_district_01
durham_9,173,777,us_house_of_representatives_district_01
durham_40,73,541,us_house_of_representatives_district_01
durham_3,44,565,us_house_of_representatives_district_01
durham_6,75,594,us_house_of_representatives_district_01
durham_23,193,1217,us_house_of_representatives_district_01
durham_24,465,718,us_house_of_representatives_district_01
durham_12,3,175,us_house_of_representatives_district_01
durham_17,21,616,us_house_of_representatives_district_01
durham_34-2,134,1255,us_house_of_representatives_district_01
durham_34-1,148,736,us_house_of_representatives_district_01
durham_21,97,578,us_house_of_representatives_district_01
durham_55-11,13,509,us_house_of_representatives_district_01
durham_ONESTOP,1504,15930,us_house_of_representatives_district_01
durham_2,75,771,us_house_of_representatives_district_01
durham_22,58,1223,us_house_of_representatives_district_01
durham_30-2,322,1714,us_house_of_representatives_district_01
durham_31,469,783,us_house_of_representatives_district_01
durham_13,10,284,us_house_of_representatives_district_01
durham_18,33,532,us_house_of_representatives_district_01
edgecombe_501,89,103,us_house_of_representatives_district_01
edgecombe_401,50,143,us_house_of_representatives_district_01
edgecombe_701,115,381,us_house_of_representatives_district_01
edgecombe_102,284,431,us_house_of_representatives_district_01
edgecombe_201,152,242,us_house_of_representatives_district_01
edgecombe_1203,199,299,us_house_of_representatives_district_01
edgecombe_1205,2,237,us_house_of_representatives_district_01
edgecombe_901,5,1,us_house_of_representatives_district_01
edgecombe_1202,9,317,us_house_of_representatives_district_01
edgecombe_101,47,517,us_house_of_representatives_district_01
edgecombe_601,75,305,us_house_of_representatives_district_01
edgecombe_ONESTOP,817,4884,us_house_of_representatives_district_01
edgecombe_1204,9,416,us_house_of_representatives_district_01
edgecombe_1201,32,756,us_house_of_representatives_district_01
edgecombe_1101,15,19,us_house_of_representatives_district_01
edgecombe_104,219,292,us_house_of_representatives_district_01
edgecombe_301,41,97,us_house_of_representatives_district_01
franklin_11,283,542,us_house_of_representatives_district_01
