prec_id,Phillip Shepard,election
onslow_FS16,721,nc_house_of_representatives_district_015
onslow_NR02,81,nc_house_of_representatives_district_015
onslow_ONESTOP,3025,nc_house_of_representatives_district_015
onslow_HM05,151,nc_house_of_representatives_district_015
onslow_HR17,404,nc_house_of_representatives_district_015
onslow_VR15,298,nc_house_of_representatives_district_015
onslow_WN04,800,nc_house_of_representatives_district_015
onslow_CR07,716,nc_house_of_representatives_district_015
onslow_JA01,378,nc_house_of_representatives_district_015
onslow_TL06,520,nc_house_of_representatives_district_015
onslow_SF18,871,nc_house_of_representatives_district_015
