prec_id,Alma Adams,Leon Threatt,election
mecklenburg_223.1,2803,1784,us_house_of_representatives_district_12
mecklenburg_135,3683,605,us_house_of_representatives_district_12
mecklenburg_240,1489,2551,us_house_of_representatives_district_12
mecklenburg_CURBSIDE 21-40,1552,133,us_house_of_representatives_district_12
mecklenburg_4,1033,347,us_house_of_representatives_district_12
mecklenburg_31,1386,72,us_house_of_representatives_district_12
mecklenburg_50,739,517,us_house_of_representatives_district_12
mecklenburg_94,816,388,us_house_of_representatives_district_12
mecklenburg_97,762,189,us_house_of_representatives_district_12
mecklenburg_65,508,507,us_house_of_representatives_district_12
mecklenburg_68,771,414,us_house_of_representatives_district_12
mecklenburg_142,1537,2364,us_house_of_representatives_district_12
mecklenburg_147,1739,413,us_house_of_representatives_district_12
mecklenburg_148,3455,3308,us_house_of_representatives_district_12
mecklenburg_88,941,843,us_house_of_representatives_district_12
mecklenburg_89,2719,1217,us_house_of_representatives_district_12
mecklenburg_39,1332,90,us_house_of_representatives_district_12
mecklenburg_41,1381,138,us_house_of_representatives_district_12
mecklenburg_128,1243,746,us_house_of_representatives_district_12
mecklenburg_123,1311,316,us_house_of_representatives_district_12
mecklenburg_115,742,301,us_house_of_representatives_district_12
mecklenburg_7,805,394,us_house_of_representatives_district_12
mecklenburg_20,905,771,us_house_of_representatives_district_12
mecklenburg_234,1158,996,us_house_of_representatives_district_12
mecklenburg_239,1562,671,us_house_of_representatives_district_12
mecklenburg_CURBSIDE 41-60,834,287,us_house_of_representatives_district_12
mecklenburg_5,781,163,us_house_of_representatives_district_12
mecklenburg_63,1083,288,us_house_of_representatives_district_12
mecklenburg_80,1439,463,us_house_of_representatives_district_12
mecklenburg_58,762,734,us_house_of_representatives_district_12
mecklenburg_53,1767,177,us_house_of_representatives_district_12
mecklenburg_34,1060,464,us_house_of_representatives_district_12
mecklenburg_33,951,267,us_house_of_representatives_district_12
mecklenburg_82,1734,112,us_house_of_representatives_district_12
mecklenburg_83,1501,630,us_house_of_representatives_district_12
mecklenburg_222,3450,942,us_house_of_representatives_district_12
mecklenburg_212,4881,1288,us_house_of_representatives_district_12
mecklenburg_214,1705,668,us_house_of_representatives_district_12
mecklenburg_132,851,313,us_house_of_representatives_district_12
mecklenburg_241,1814,2254,us_house_of_representatives_district_12
mecklenburg_42,1590,71,us_house_of_representatives_district_12
mecklenburg_49,806,797,us_house_of_representatives_district_12
mecklenburg_22,2644,1654,us_house_of_representatives_district_12
mecklenburg_15,1586,624,us_house_of_representatives_district_12
mecklenburg_12,1430,124,us_house_of_representatives_district_12
mecklenburg_25,1325,39,us_house_of_representatives_district_12
mecklenburg_28,1169,206,us_house_of_representatives_district_12
mecklenburg_203,2720,807,us_house_of_representatives_district_12
mecklenburg_206,2268,1478,us_house_of_representatives_district_12
mecklenburg_229,2820,2478,us_house_of_representatives_district_12
mecklenburg_201,2964,1384,us_house_of_representatives_district_12
mecklenburg_17,1099,118,us_house_of_representatives_district_12
mecklenburg_6,1183,192,us_house_of_representatives_district_12
mecklenburg_54,1637,139,us_house_of_representatives_district_12
mecklenburg_35,633,612,us_house_of_representatives_district_12
mecklenburg_62,1046,236,us_house_of_representatives_district_12
mecklenburg_67,437,576,us_house_of_representatives_district_12
mecklenburg_209,1304,1764,us_house_of_representatives_district_12
mecklenburg_224,974,695,us_house_of_representatives_district_12
mecklenburg_141,2215,865,us_house_of_representatives_district_12
mecklenburg_146,2171,387,us_house_of_representatives_district_12
mecklenburg_CURBSIDE 61-80,109,42,us_house_of_representatives_district_12
mecklenburg_95,959,261,us_house_of_representatives_district_12
mecklenburg_98,1288,194,us_house_of_representatives_district_12
mecklenburg_127,1260,1981,us_house_of_representatives_district_12
mecklenburg_78.1,910,301,us_house_of_representatives_district_12
mecklenburg_51,1070,810,us_house_of_representatives_district_12
mecklenburg_104,1740,171,us_house_of_representatives_district_12
mecklenburg_105,2074,557,us_house_of_representatives_district_12
mecklenburg_102,1920,821,us_house_of_representatives_district_12
mecklenburg_130,714,307,us_house_of_representatives_district_12
mecklenburg_59,520,380,us_house_of_representatives_district_12
mecklenburg_56,845,39,us_house_of_representatives_district_12
mecklenburg_36,848,864,us_house_of_representatives_district_12
mecklenburg_231,1582,1161,us_house_of_representatives_district_12
mecklenburg_202,2301,2997,us_house_of_representatives_district_12
mecklenburg_CURBSIDE 1-20,2183,266,us_house_of_representatives_district_12
mecklenburg_213,2605,344,us_house_of_representatives_district_12
mecklenburg_211,4631,1572,us_house_of_representatives_district_12
