prec_id,Dannie M. Montgomery,Tom McInnis,election
anson_POLK,135,189,nc_state_senate_district_25
anson_W1,314,137,nc_state_senate_district_25
anson_GULL,126,178,nc_state_senate_district_25
anson_ANS,207,244,nc_state_senate_district_25
anson_PEAC,109,417,nc_state_senate_district_25
anson_BURN,115,442,nc_state_senate_district_25
anson_MM,253,90,nc_state_senate_district_25
anson_WS,62,85,nc_state_senate_district_25
anson_ABSENTEE,125,89,nc_state_senate_district_25
anson_W3,174,185,nc_state_senate_district_25
anson_LILE,282,258,nc_state_senate_district_25
anson_W2,153,99,nc_state_senate_district_25
richmond_10,230,100,nc_state_senate_district_25
richmond_11,102,191,nc_state_senate_district_25
richmond_ABSENTEE,122,178,nc_state_senate_district_25
richmond_9,462,801,nc_state_senate_district_25
richmond_13,99,203,nc_state_senate_district_25
richmond_6,84,264,nc_state_senate_district_25
richmond_3,51,189,nc_state_senate_district_25
richmond_14,58,32,nc_state_senate_district_25
richmond_2,293,638,nc_state_senate_district_25
richmond_8,456,362,nc_state_senate_district_25
richmond_5,36,95,nc_state_senate_district_25
richmond_16,11,113,nc_state_senate_district_25
richmond_15,21,63,nc_state_senate_district_25
richmond_1,546,400,nc_state_senate_district_25
richmond_12,142,305,nc_state_senate_district_25
richmond_4,157,212,nc_state_senate_district_25
richmond_7,119,145,nc_state_senate_district_25
rowan_3,238,1415,nc_state_senate_district_25
rowan_23,144,878,nc_state_senate_district_25
rowan_26,199,1029,nc_state_senate_district_25
rowan_33,145,1124,nc_state_senate_district_25
rowan_13,187,1195,nc_state_senate_district_25
rowan_25,338,1964,nc_state_senate_district_25
rowan_1,173,1005,nc_state_senate_district_25
rowan_05A,648,2062,nc_state_senate_district_25
rowan_22,79,511,nc_state_senate_district_25
scotland_1,379,71,nc_state_senate_district_25
scotland_2,270,87,nc_state_senate_district_25
scotland_5,116,313,nc_state_senate_district_25
scotland_8,98,197,nc_state_senate_district_25
scotland_10,257,291,nc_state_senate_district_25
scotland_9,181,316,nc_state_senate_district_25
scotland_6,83,86,nc_state_senate_district_25
scotland_3,263,354,nc_state_senate_district_25
scotland_4,255,465,nc_state_senate_district_25
scotland_7,391,313,nc_state_senate_district_25
scotland_ABSENTEE,107,169,nc_state_senate_district_25
stanly_7,545,922,nc_state_senate_district_25
stanly_26,261,874,nc_state_senate_district_25
stanly_24,285,1883,nc_state_senate_district_25
stanly_27,469,1234,nc_state_senate_district_25
stanly_13,227,986,nc_state_senate_district_25
stanly_15,347,542,nc_state_senate_district_25
stanly_18,225,622,nc_state_senate_district_25
stanly_22,273,1027,nc_state_senate_district_25
stanly_23,261,1729,nc_state_senate_district_25
stanly_25,309,1849,nc_state_senate_district_25
stanly_3,637,917,nc_state_senate_district_25
stanly_20,223,1475,nc_state_senate_district_25
stanly_14,167,587,nc_state_senate_district_25
stanly_16,280,582,nc_state_senate_district_25
stanly_11,232,716,nc_state_senate_district_25
stanly_28,399,572,nc_state_senate_district_25
stanly_21,110,879,nc_state_senate_district_25
stanly_19,168,970,nc_state_senate_district_25
stanly_17,273,1095,nc_state_senate_district_25
stanly_8,994,147,nc_state_senate_district_25
stanly_2,251,517,nc_state_senate_district_25
stanly_12,116,577,nc_state_senate_district_25
stanly_10,283,586,nc_state_senate_district_25
