prec_id,Dean Arp,election
union_8,465,nc_house_of_representatives_district_069
union_029C,281,nc_house_of_representatives_district_069
union_037A,1051,nc_house_of_representatives_district_069
union_ONESTOP,0,nc_house_of_representatives_district_069
union_43,97,nc_house_of_representatives_district_069
union_6,587,nc_house_of_representatives_district_069
union_14,354,nc_house_of_representatives_district_069
union_15,1232,nc_house_of_representatives_district_069
union_40,918,nc_house_of_representatives_district_069
union_30,1181,nc_house_of_representatives_district_069
union_16,1192,nc_house_of_representatives_district_069
union_038A,759,nc_house_of_representatives_district_069
union_13,992,nc_house_of_representatives_district_069
union_4,133,nc_house_of_representatives_district_069
union_5,765,nc_house_of_representatives_district_069
union_029A,122,nc_house_of_representatives_district_069
union_39,657,nc_house_of_representatives_district_069
union_038B,760,nc_house_of_representatives_district_069
union_017A,513,nc_house_of_representatives_district_069
union_037B,624,nc_house_of_representatives_district_069
union_32,565,nc_house_of_representatives_district_069
union_35,725,nc_house_of_representatives_district_069
