prec_id,Brenden Jones,Ken Waddell,election
bladen_P202,192,228,nc_house_of_representatives_district_046
bladen_ONESTOP,460,465,nc_house_of_representatives_district_046
bladen_P201,168,101,nc_house_of_representatives_district_046
columbus_P13,125,92,nc_house_of_representatives_district_046
columbus_P12,61,35,nc_house_of_representatives_district_046
columbus_ONESTOP,1895,3188,nc_house_of_representatives_district_046
columbus_P02B,55,238,nc_house_of_representatives_district_046
columbus_P04,71,49,nc_house_of_representatives_district_046
columbus_P16B,271,288,nc_house_of_representatives_district_046
columbus_P21,170,143,nc_house_of_representatives_district_046
columbus_P23,203,233,nc_house_of_representatives_district_046
columbus_P18,73,103,nc_house_of_representatives_district_046
columbus_P19,278,259,nc_house_of_representatives_district_046
columbus_P20A,48,115,nc_house_of_representatives_district_046
columbus_P05,64,74,nc_house_of_representatives_district_046
columbus_P24,367,197,nc_house_of_representatives_district_046
columbus_P07,202,435,nc_house_of_representatives_district_046
columbus_P14,353,446,nc_house_of_representatives_district_046
columbus_P15,261,330,nc_house_of_representatives_district_046
columbus_P22A,278,217,nc_house_of_representatives_district_046
columbus_P03,117,66,nc_house_of_representatives_district_046
columbus_P06,121,178,nc_house_of_representatives_district_046
columbus_P09,112,256,nc_house_of_representatives_district_046
columbus_P17,81,259,nc_house_of_representatives_district_046
columbus_P25B,290,123,nc_house_of_representatives_district_046
columbus_P08,102,40,nc_house_of_representatives_district_046
columbus_P01A,182,290,nc_house_of_representatives_district_046
columbus_P26B,444,338,nc_house_of_representatives_district_046
columbus_P10,171,104,nc_house_of_representatives_district_046
columbus_P11,187,105,nc_house_of_representatives_district_046
robeson_41,439,356,nc_house_of_representatives_district_046
robeson_20,21,19,nc_house_of_representatives_district_046
robeson_14,0,0,nc_house_of_representatives_district_046
robeson_8,261,217,nc_house_of_representatives_district_046
robeson_ONESTOP,583,664,nc_house_of_representatives_district_046
robeson_11,681,476,nc_house_of_representatives_district_046
robeson_36,0,0,nc_house_of_representatives_district_046
robeson_12,1,1,nc_house_of_representatives_district_046
robeson_9,18,26,nc_house_of_representatives_district_046
robeson_18A,83,69,nc_house_of_representatives_district_046
robeson_3,235,224,nc_house_of_representatives_district_046
robeson_30,37,25,nc_house_of_representatives_district_046
robeson_37,117,102,nc_house_of_representatives_district_046
