prec_id,Mark Crawford,Terry Van Duyn,election
buncombe_23.3,200,358,nc_state_senate_district_49
buncombe_1.1,60,490,nc_state_senate_district_49
buncombe_66.1,330,378,nc_state_senate_district_49
buncombe_2.1,72,1112,nc_state_senate_district_49
buncombe_6.1,183,522,nc_state_senate_district_49
buncombe_12.1,88,555,nc_state_senate_district_49
buncombe_27.2,135,329,nc_state_senate_district_49
buncombe_43.2,174,209,nc_state_senate_district_49
buncombe_24.1,262,306,nc_state_senate_district_49
buncombe_15.1,114,474,nc_state_senate_district_49
buncombe_22.2,371,991,nc_state_senate_district_49
buncombe_60.2,202,332,nc_state_senate_district_49
buncombe_8.3,210,630,nc_state_senate_district_49
buncombe_70.1,356,685,nc_state_senate_district_49
buncombe_8.2,178,485,nc_state_senate_district_49
buncombe_9.1,367,916,nc_state_senate_district_49
buncombe_13.1,79,523,nc_state_senate_district_49
buncombe_25.1,326,605,nc_state_senate_district_49
buncombe_64.1,396,329,nc_state_senate_district_49
buncombe_26.1,113,319,nc_state_senate_district_49
buncombe_42.1,250,298,nc_state_senate_district_49
buncombe_16.2,123,508,nc_state_senate_district_49
buncombe_68.1,771,524,nc_state_senate_district_49
buncombe_3.1,80,857,nc_state_senate_district_49
buncombe_10.1,20,493,nc_state_senate_district_49
buncombe_14.2,129,495,nc_state_senate_district_49
buncombe_23.2,59,174,nc_state_senate_district_49
buncombe_28.1,144,810,nc_state_senate_district_49
buncombe_20.1,55,246,nc_state_senate_district_49
buncombe_60.4,370,393,nc_state_senate_district_49
buncombe_21.1,366,771,nc_state_senate_district_49
buncombe_4.1,145,679,nc_state_senate_district_49
buncombe_11.1,15,328,nc_state_senate_district_49
buncombe_14.3,90,207,nc_state_senate_district_49
buncombe_62.1,477,598,nc_state_senate_district_49
buncombe_5.1,440,1105,nc_state_senate_district_49
buncombe_7.1,137,668,nc_state_senate_district_49
buncombe_17.1,152,569,nc_state_senate_district_49
buncombe_ONESTOP,4050,9446,nc_state_senate_district_49
buncombe_51.2,450,423,nc_state_senate_district_49
buncombe_40.2,1002,683,nc_state_senate_district_49
buncombe_61.1,611,628,nc_state_senate_district_49
buncombe_41.1,742,482,nc_state_senate_district_49
buncombe_32.1,300,231,nc_state_senate_district_49
buncombe_39.3,671,569,nc_state_senate_district_49
buncombe_67.1,581,818,nc_state_senate_district_49
buncombe_33.2,175,164,nc_state_senate_district_49
buncombe_50.1,356,315,nc_state_senate_district_49
buncombe_39.2,424,405,nc_state_senate_district_49
buncombe_59.1,899,912,nc_state_senate_district_49
buncombe_71.1,837,1020,nc_state_senate_district_49
buncombe_65.1,576,757,nc_state_senate_district_49
buncombe_33.3,266,244,nc_state_senate_district_49
buncombe_36.1,264,225,nc_state_senate_district_49
buncombe_58.1,481,467,nc_state_senate_district_49
buncombe_34.1,160,173,nc_state_senate_district_49
buncombe_37.1,287,210,nc_state_senate_district_49
buncombe_52.1,875,497,nc_state_senate_district_49
buncombe_35.1,179,236,nc_state_senate_district_49
buncombe_49.1,868,476,nc_state_senate_district_49
buncombe_45.1,548,393,nc_state_senate_district_49
buncombe_48.1,649,398,nc_state_senate_district_49
buncombe_31.1,313,319,nc_state_senate_district_49
buncombe_44.1,529,418,nc_state_senate_district_49
buncombe_69.1,652,484,nc_state_senate_district_49
buncombe_681,122,53,nc_state_senate_district_49
buncombe_63.1,130,131,nc_state_senate_district_49
buncombe_53.1,709,499,nc_state_senate_district_49
