prec_id,Craig Horn,election
union_028D,2258,nc_house_of_representatives_district_068
union_028C,1941,nc_house_of_representatives_district_068
union_40,570,nc_house_of_representatives_district_068
union_029B,963,nc_house_of_representatives_district_068
union_18,1548,nc_house_of_representatives_district_068
union_42,975,nc_house_of_representatives_district_068
union_029A,1970,nc_house_of_representatives_district_068
union_ABSENTEE,0,nc_house_of_representatives_district_068
union_41,2157,nc_house_of_representatives_district_068
union_10,400,nc_house_of_representatives_district_068
union_3,406,nc_house_of_representatives_district_068
union_2,591,nc_house_of_representatives_district_068
union_19,2419,nc_house_of_representatives_district_068
union_31,1747,nc_house_of_representatives_district_068
union_020B,2231,nc_house_of_representatives_district_068
union_CURBSIDE,0,nc_house_of_representatives_district_068
union_1,320,nc_house_of_representatives_district_068
union_028A,2695,nc_house_of_representatives_district_068
union_028B,2078,nc_house_of_representatives_district_068
union_020A,1931,nc_house_of_representatives_district_068
union_017B,2460,nc_house_of_representatives_district_068
union_029C,628,nc_house_of_representatives_district_068
union_017A,665,nc_house_of_representatives_district_068
