prec_id,Paul R. Newton,Robert Brown,election
cabarrus_44175,311,133,nc_state_senate_district_36
cabarrus_44177,454,243,nc_state_senate_district_36
cabarrus_43837,531,203,nc_state_senate_district_36
cabarrus_43834,741,496,nc_state_senate_district_36
cabarrus_43870,733,555,nc_state_senate_district_36
cabarrus_43867,483,435,nc_state_senate_district_36
cabarrus_43931,511,319,nc_state_senate_district_36
cabarrus_43929,309,129,nc_state_senate_district_36
cabarrus_43928,350,108,nc_state_senate_district_36
cabarrus_36739,1138,256,nc_state_senate_district_36
cabarrus_36770,901,164,nc_state_senate_district_36
cabarrus_OS-CBB,4413,2811,nc_state_senate_district_36
cabarrus_36586,793,322,nc_state_senate_district_36
cabarrus_43926,215,160,nc_state_senate_district_36
cabarrus_36800,1689,418,nc_state_senate_district_36
cabarrus_44173,221,199,nc_state_senate_district_36
cabarrus_44172,43,406,nc_state_senate_district_36
cabarrus_43922,385,375,nc_state_senate_district_36
cabarrus_OS-CFS,6255,4086,nc_state_senate_district_36
cabarrus_44168,388,197,nc_state_senate_district_36
cabarrus_44169,285,274,nc_state_senate_district_36
cabarrus_43923,275,372,nc_state_senate_district_36
cabarrus_43930,483,235,nc_state_senate_district_36
cabarrus_43836,452,316,nc_state_senate_district_36
cabarrus_OS-LOB,10798,8697,nc_state_senate_district_36
cabarrus_36647,656,172,nc_state_senate_district_36
cabarrus_43866,759,361,nc_state_senate_district_36
cabarrus_43863,796,435,nc_state_senate_district_36
cabarrus_43840,515,277,nc_state_senate_district_36
cabarrus_43924,456,368,nc_state_senate_district_36
cabarrus_43927,266,289,nc_state_senate_district_36
cabarrus_OS-HBL,5048,3698,nc_state_senate_district_36
cabarrus_43925,196,200,nc_state_senate_district_36
cabarrus_44170,499,211,nc_state_senate_district_36
cabarrus_44174,499,249,nc_state_senate_district_36
cabarrus_36708,476,87,nc_state_senate_district_36
cabarrus_43839,241,74,nc_state_senate_district_36
cabarrus_43862,467,247,nc_state_senate_district_36
cabarrus_43869,973,621,nc_state_senate_district_36
cabarrus_36678,899,141,nc_state_senate_district_36
cabarrus_43868,530,205,nc_state_senate_district_36
cabarrus_44136,836,667,nc_state_senate_district_36
cabarrus_44171,343,241,nc_state_senate_district_36
cabarrus_44137,749,259,nc_state_senate_district_36
cabarrus_43864,1022,474,nc_state_senate_district_36
cabarrus_ABSENTEE,2612,1397,nc_state_senate_district_36
cabarrus_44176,306,174,nc_state_senate_district_36
cabarrus_43838,689,401,nc_state_senate_district_36
cabarrus_44167,189,333,nc_state_senate_district_36
cabarrus_44166,101,108,nc_state_senate_district_36
cabarrus_43832,708,213,nc_state_senate_district_36
union_35,1023,412,nc_state_senate_district_36
union_12,1500,217,nc_state_senate_district_36
union_ABSENTEE,0,0,nc_state_senate_district_36
union_32,1689,567,nc_state_senate_district_36
union_037B,871,280,nc_state_senate_district_36
union_CURBSIDE,0,0,nc_state_senate_district_36
