prec_id,Carroll G. (Carr) Ipock II,Norman W. Sanderson,election
carteret_EMIS,270,621,nc_state_senate_district_02
carteret_BOGU,136,544,nc_state_senate_district_02
carteret_WILD,164,512,nc_state_senate_district_02
carteret_ATSL,82,146,nc_state_senate_district_02
carteret_PELE,50,201,nc_state_senate_district_02
carteret_NPT2,109,520,nc_state_senate_district_02
carteret_CISL,34,35,nc_state_senate_district_02
carteret_PKNL,193,374,nc_state_senate_district_02
carteret_NRIV,127,68,nc_state_senate_district_02
carteret_IBSP,39,80,nc_state_senate_district_02
carteret_BFT2,330,352,nc_state_senate_district_02
carteret_DASW,52,164,nc_state_senate_district_02
carteret_MHD3,339,654,nc_state_senate_district_02
carteret_MHD4,202,595,nc_state_senate_district_02
carteret_STEL,84,295,nc_state_senate_district_02
carteret_MHD2,279,451,nc_state_senate_district_02
carteret_MCRK,39,155,nc_state_senate_district_02
carteret_MHD1,250,484,nc_state_senate_district_02
carteret_MERR,65,107,nc_state_senate_district_02
carteret_NPT1,223,545,nc_state_senate_district_02
carteret_CCCP,137,501,nc_state_senate_district_02
carteret_HAIS,116,254,nc_state_senate_district_02
carteret_OTBE,125,435,nc_state_senate_district_02
carteret_WIHA,127,340,nc_state_senate_district_02
carteret_BFT1,219,101,nc_state_senate_district_02
carteret_ABCH,106,339,nc_state_senate_district_02
carteret_BCRK,108,409,nc_state_senate_district_02
carteret_MASM,81,164,nc_state_senate_district_02
carteret_ONESTOP,3352,7143,nc_state_senate_district_02
craven_16,645,1091,nc_state_senate_district_02
craven_19,728,670,nc_state_senate_district_02
craven_20,612,1153,nc_state_senate_district_02
craven_4,287,270,nc_state_senate_district_02
craven_7,614,529,nc_state_senate_district_02
craven_N3,494,358,nc_state_senate_district_02
craven_N4,961,577,nc_state_senate_district_02
craven_3,872,1316,nc_state_senate_district_02
craven_12,63,173,nc_state_senate_district_02
craven_15,218,188,nc_state_senate_district_02
craven_17,254,795,nc_state_senate_district_02
craven_11,381,796,nc_state_senate_district_02
craven_14,806,643,nc_state_senate_district_02
craven_2,1088,1855,nc_state_senate_district_02
craven_5,579,887,nc_state_senate_district_02
craven_8,268,234,nc_state_senate_district_02
craven_N5,541,208,nc_state_senate_district_02
craven_N6,1045,1116,nc_state_senate_district_02
craven_13,123,200,nc_state_senate_district_02
craven_21,502,936,nc_state_senate_district_02
craven_9,167,119,nc_state_senate_district_02
craven_6,246,171,nc_state_senate_district_02
craven_N1,657,383,nc_state_senate_district_02
craven_N2,771,215,nc_state_senate_district_02
craven_23,846,1370,nc_state_senate_district_02
craven_10,195,214,nc_state_senate_district_02
pamlico_4MSIC,79,37,nc_state_senate_district_02
pamlico_4HB,12,103,nc_state_senate_district_02
pamlico_2SW,99,134,nc_state_senate_district_02
pamlico_2OT,533,634,nc_state_senate_district_02
pamlico_1RB,219,451,nc_state_senate_district_02
pamlico_1AL A,111,156,nc_state_senate_district_02
pamlico_1GB,119,364,nc_state_senate_district_02
pamlico_3BY,477,304,nc_state_senate_district_02
pamlico_5AP,446,710,nc_state_senate_district_02
pamlico_4VM A,63,47,nc_state_senate_district_02
pamlico_CURBSIDE,80,47,nc_state_senate_district_02
