prec_id,Albert Pacer,Rick Horner,election
johnston_PR22,35,12,nc_state_senate_district_11
johnston_PR26,221,53,nc_state_senate_district_11
johnston_PR36,71,290,nc_state_senate_district_11
johnston_PR34,245,268,nc_state_senate_district_11
johnston_PR10A,261,254,nc_state_senate_district_11
johnston_PR09,210,513,nc_state_senate_district_11
johnston_PR29A,211,589,nc_state_senate_district_11
johnston_PR27B,142,160,nc_state_senate_district_11
johnston_PR10B,105,347,nc_state_senate_district_11
johnston_PR25,302,314,nc_state_senate_district_11
johnston_PR20,408,720,nc_state_senate_district_11
johnston_PR11A,60,151,nc_state_senate_district_11
johnston_PR21,129,694,nc_state_senate_district_11
johnston_PR27A,159,173,nc_state_senate_district_11
johnston_PR28,127,260,nc_state_senate_district_11
johnston_PR30,263,508,nc_state_senate_district_11
johnston_PR12A,13,92,nc_state_senate_district_11
johnston_PR32,197,579,nc_state_senate_district_11
johnston_PR24,343,246,nc_state_senate_district_11
johnston_PR29B,333,878,nc_state_senate_district_11
johnston_PR11B,288,441,nc_state_senate_district_11
johnston_PR19,99,354,nc_state_senate_district_11
nash_P06A,276,283,nc_state_senate_district_11
nash_MT PLEASANT OS,644,1483,nc_state_senate_district_11
nash_P14A,70,240,nc_state_senate_district_11
nash_P19A,388,679,nc_state_senate_district_11
nash_P08A,358,415,nc_state_senate_district_11
nash_ABSENTEE,148,390,nc_state_senate_district_11
nash_P04A,146,307,nc_state_senate_district_11
nash_P07A,66,217,nc_state_senate_district_11
nash_NASHVILLE OS,5285,8265,nc_state_senate_district_11
nash_SPRING HOPE OS,876,777,nc_state_senate_district_11
nash_P05A,78,654,nc_state_senate_district_11
nash_P15A,192,440,nc_state_senate_district_11
nash_P23A,0,2,nc_state_senate_district_11
nash_ROCKY MOUNT OS,742,606,nc_state_senate_district_11
nash_P03A,157,427,nc_state_senate_district_11
nash_P11A,98,552,nc_state_senate_district_11
nash_P01A,222,460,nc_state_senate_district_11
nash_P09A,172,271,nc_state_senate_district_11
nash_P02A,252,508,nc_state_senate_district_11
wilson_PRTO,16,84,nc_state_senate_district_11
wilson_CURBSIDE,0,0,nc_state_senate_district_11
wilson_ABSENTEE,234,561,nc_state_senate_district_11
wilson_PRGA,151,358,nc_state_senate_district_11
wilson_PRWP,137,259,nc_state_senate_district_11
wilson_PRBL,159,603,nc_state_senate_district_11
wilson_PRWD,119,284,nc_state_senate_district_11
wilson_PRWK,98,257,nc_state_senate_district_11
wilson_PRCR,187,528,nc_state_senate_district_11
wilson_PRSA,159,259,nc_state_senate_district_11
wilson_PRWL,206,341,nc_state_senate_district_11
wilson_PRSP,153,513,nc_state_senate_district_11
wilson_PRWJ,329,245,nc_state_senate_district_11
wilson_PROL,199,692,nc_state_senate_district_11
wilson_PRTA,413,630,nc_state_senate_district_11
wilson_PRST,213,219,nc_state_senate_district_11
wilson_PRWM,379,331,nc_state_senate_district_11
