prec_id,Dan Blue,election
wake_43853,2,nc_state_senate_district_14
wake_43855,67,nc_state_senate_district_14
wake_43856,513,nc_state_senate_district_14
wake_12785,568,nc_state_senate_district_14
wake_43858,1114,nc_state_senate_district_14
wake_43844,88,nc_state_senate_district_14
wake_43849,553,nc_state_senate_district_14
wake_44107,42,nc_state_senate_district_14
wake_19-17,385,nc_state_senate_district_14
wake_16-03,172,nc_state_senate_district_14
wake_16-08,1750,nc_state_senate_district_14
wake_43848,243,nc_state_senate_district_14
wake_16-09,164,nc_state_senate_district_14
wake_16-02,1261,nc_state_senate_district_14
wake_16072,816,nc_state_senate_district_14
wake_16803,767,nc_state_senate_district_14
wake_17-04,627,nc_state_senate_district_14
wake_17-05,1036,nc_state_senate_district_14
wake_17-07,953,nc_state_senate_district_14
wake_17-10,306,nc_state_senate_district_14
wake_44075,208,nc_state_senate_district_14
wake_13-09,1056,nc_state_senate_district_14
wake_17-01,695,nc_state_senate_district_14
wake_18-01,62,nc_state_senate_district_14
wake_ONESTOP,16359,nc_state_senate_district_14
wake_15707,225,nc_state_senate_district_14
wake_43851,45,nc_state_senate_district_14
wake_43852,1047,nc_state_senate_district_14
wake_12420,481,nc_state_senate_district_14
wake_44106,379,nc_state_senate_district_14
wake_13-05,340,nc_state_senate_district_14
wake_18-04,51,nc_state_senate_district_14
wake_18264,704,nc_state_senate_district_14
wake_13-08,676,nc_state_senate_district_14
wake_19-04,36,nc_state_senate_district_14
wake_17-02,93,nc_state_senate_district_14
wake_17-08,1399,nc_state_senate_district_14
wake_17-09,993,nc_state_senate_district_14
wake_14611,1129,nc_state_senate_district_14
wake_43857,297,nc_state_senate_district_14
wake_43850,598,nc_state_senate_district_14
wake_13881,156,nc_state_senate_district_14
wake_13-01,984,nc_state_senate_district_14
wake_16-01,20,nc_state_senate_district_14
wake_16-04,151,nc_state_senate_district_14
wake_17-11,1058,nc_state_senate_district_14
wake_17-03,1266,nc_state_senate_district_14
wake_43843,75,nc_state_senate_district_14
wake_44108,865,nc_state_senate_district_14
wake_13-07,583,nc_state_senate_district_14
wake_16-06,153,nc_state_senate_district_14
