prec_id,Bobbie J. Richardson,election
franklin_8,152,nc_house_of_representatives_district_007
franklin_11,638,nc_house_of_representatives_district_007
franklin_2,573,nc_house_of_representatives_district_007
franklin_16,875,nc_house_of_representatives_district_007
franklin_1,745,nc_house_of_representatives_district_007
franklin_12,421,nc_house_of_representatives_district_007
franklin_15,978,nc_house_of_representatives_district_007
franklin_3,748,nc_house_of_representatives_district_007
franklin_9,102,nc_house_of_representatives_district_007
franklin_10,169,nc_house_of_representatives_district_007
nash_0040A,783,nc_house_of_representatives_district_007
nash_31,209,nc_house_of_representatives_district_007
nash_33,400,nc_house_of_representatives_district_007
nash_34,606,nc_house_of_representatives_district_007
nash_38,507,nc_house_of_representatives_district_007
nash_22,259,nc_house_of_representatives_district_007
nash_35,208,nc_house_of_representatives_district_007
nash_32,307,nc_house_of_representatives_district_007
nash_ONESTOP,6266,nc_house_of_representatives_district_007
nash_36,456,nc_house_of_representatives_district_007
nash_42,201,nc_house_of_representatives_district_007
nash_7,383,nc_house_of_representatives_district_007
nash_21,303,nc_house_of_representatives_district_007
nash_2,221,nc_house_of_representatives_district_007
nash_37,292,nc_house_of_representatives_district_007
nash_25,163,nc_house_of_representatives_district_007
nash_11,251,nc_house_of_representatives_district_007
nash_3,161,nc_house_of_representatives_district_007
nash_8,117,nc_house_of_representatives_district_007
nash_39,242,nc_house_of_representatives_district_007
nash_4,2,nc_house_of_representatives_district_007
nash_15,539,nc_house_of_representatives_district_007
nash_41,98,nc_house_of_representatives_district_007
nash_12,64,nc_house_of_representatives_district_007
