prec_id,Brian Brown,Uriah Ward,election
pitt_1301,237,71,nc_house_of_representatives_district_009
pitt_1509,470,408,nc_house_of_representatives_district_009
pitt_1511B,315,279,nc_house_of_representatives_district_009
pitt_1510B,448,278,nc_house_of_representatives_district_009
pitt_1507,246,343,nc_house_of_representatives_district_009
pitt_1513B,326,152,nc_house_of_representatives_district_009
pitt_1201,357,289,nc_house_of_representatives_district_009
pitt_1403A2,140,104,nc_house_of_representatives_district_009
pitt_1513A,405,232,nc_house_of_representatives_district_009
pitt_1507B,78,93,nc_house_of_representatives_district_009
pitt_0200B,0,0,nc_house_of_representatives_district_009
pitt_1403B,403,174,nc_house_of_representatives_district_009
pitt_1510A,534,229,nc_house_of_representatives_district_009
pitt_1508A,70,99,nc_house_of_representatives_district_009
pitt_1511A,685,322,nc_house_of_representatives_district_009
pitt_601,676,168,nc_house_of_representatives_district_009
pitt_1102B,701,297,nc_house_of_representatives_district_009
pitt_ONESTOP,5390,4053,nc_house_of_representatives_district_009
pitt_1508B,177,175,nc_house_of_representatives_district_009
pitt_1001,524,343,nc_house_of_representatives_district_009
pitt_1102A,474,249,nc_house_of_representatives_district_009
pitt_1101,211,187,nc_house_of_representatives_district_009
pitt_501,226,99,nc_house_of_representatives_district_009
pitt_401,18,4,nc_house_of_representatives_district_009
