prec_id,Joe Sam Queen,Mike Clampitt,election
haywood_CURBSIDE,0,0,nc_house_of_representatives_district_119
haywood_IH,120,102,nc_house_of_representatives_district_119
haywood_SA,449,482,nc_house_of_representatives_district_119
haywood_WS-1,614,426,nc_house_of_representatives_district_119
haywood_WS-2,496,339,nc_house_of_representatives_district_119
haywood_HA,219,153,nc_house_of_representatives_district_119
haywood_ID,224,216,nc_house_of_representatives_district_119
haywood_WC,190,104,nc_house_of_representatives_district_119
haywood_WE,433,291,nc_house_of_representatives_district_119
haywood_AC,399,428,nc_house_of_representatives_district_119
haywood_WW,343,314,nc_house_of_representatives_district_119
haywood_LJ,581,366,nc_house_of_representatives_district_119
jackson_BCK,224,319,nc_house_of_representatives_district_119
jackson_SSW,709,484,nc_house_of_representatives_district_119
jackson_CAN,90,94,nc_house_of_representatives_district_119
jackson_RIV,164,164,nc_house_of_representatives_district_119
jackson_SND,718,509,nc_house_of_representatives_district_119
jackson_CAS,269,626,nc_house_of_representatives_district_119
jackson_SAV,219,298,nc_house_of_representatives_district_119
jackson_CURBSIDE,53,39,nc_house_of_representatives_district_119
jackson_GLV,214,486,nc_house_of_representatives_district_119
jackson_WEB,623,342,nc_house_of_representatives_district_119
jackson_GCK,245,241,nc_house_of_representatives_district_119
jackson_CUL,855,490,nc_house_of_representatives_district_119
jackson_CFK,145,119,nc_house_of_representatives_district_119
jackson_SCC,393,321,nc_house_of_representatives_district_119
jackson_QUA,531,526,nc_house_of_representatives_district_119
swain_BC2,574,552,nc_house_of_representatives_district_119
swain_BC1,521,602,nc_house_of_representatives_district_119
swain_ALARKA,219,272,nc_house_of_representatives_district_119
swain_ALMOND,271,379,nc_house_of_representatives_district_119
swain_WHCH,527,425,nc_house_of_representatives_district_119
