prec_id,Chuck Edwards,Norman Bossert,election
buncombe_OS ABTC,47,75,nc_state_senate_district_48
buncombe_57.1,413,165,nc_state_senate_district_48
buncombe_56.2,205,164,nc_state_senate_district_48
buncombe_38.3,425,163,nc_state_senate_district_48
buncombe_OS LCBL,13,10,nc_state_senate_district_48
buncombe_OS PCBC,198,41,nc_state_senate_district_48
buncombe_OS BTFD,13,11,nc_state_senate_district_48
buncombe_47.1,693,300,nc_state_senate_district_48
buncombe_OS WOCO,13,7,nc_state_senate_district_48
buncombe_OS WABL,71,158,nc_state_senate_district_48
buncombe_OS UNCA,24,126,nc_state_senate_district_48
buncombe_38.2,289,81,nc_state_senate_district_48
buncombe_OS BMBL,14,32,nc_state_senate_district_48
buncombe_OS SBBL,2861,3255,nc_state_senate_district_48
buncombe_OS WVTH,23,14,nc_state_senate_district_48
buncombe_OS ECBL,1046,654,nc_state_senate_district_48
buncombe_OS ACCC,1407,1084,nc_state_senate_district_48
buncombe_OS PACK,44,145,nc_state_senate_district_48
buncombe_OS AVML,145,183,nc_state_senate_district_48
buncombe_46.1,206,129,nc_state_senate_district_48
buncombe_18.2,405,354,nc_state_senate_district_48
buncombe_OS MORC,27,40,nc_state_senate_district_48
buncombe_55.1,377,233,nc_state_senate_district_48
buncombe_29.2,255,238,nc_state_senate_district_48
buncombe_OS WGSC,21,102,nc_state_senate_district_48
buncombe_ABSENTEE,0,0,nc_state_senate_district_48
buncombe_OS FVBL,1445,920,nc_state_senate_district_48
buncombe_OS FCAM,17,74,nc_state_senate_district_48
buncombe_OS NHPC,1883,2311,nc_state_senate_district_48
buncombe_30.3,310,188,nc_state_senate_district_48
buncombe_19.1,95,118,nc_state_senate_district_48
buncombe_54.2,420,325,nc_state_senate_district_48
buncombe_OS NABL,33,75,nc_state_senate_district_48
buncombe_30.2,291,170,nc_state_senate_district_48
henderson_HC,1512,638,nc_state_senate_district_48
henderson_EV,1234,505,nc_state_senate_district_48
henderson_ED,1115,439,nc_state_senate_district_48
henderson_CURBSIDE,1269,664,nc_state_senate_district_48
henderson_CB,575,221,nc_state_senate_district_48
henderson_NB,1670,594,nc_state_senate_district_48
henderson_FR,1568,838,nc_state_senate_district_48
henderson_BC,367,219,nc_state_senate_district_48
henderson_RG,1055,432,nc_state_senate_district_48
henderson_HV-3,780,784,nc_state_senate_district_48
henderson_RR,403,217,nc_state_senate_district_48
henderson_SM,1728,649,nc_state_senate_district_48
henderson_EF,1005,428,nc_state_senate_district_48
henderson_CC,1570,690,nc_state_senate_district_48
henderson_GR,1306,400,nc_state_senate_district_48
henderson_PR,1066,492,nc_state_senate_district_48
henderson_HS,1077,556,nc_state_senate_district_48
henderson_AR,608,326,nc_state_senate_district_48
henderson_ES,928,420,nc_state_senate_district_48
henderson_LP,705,555,nc_state_senate_district_48
henderson_SW,1056,568,nc_state_senate_district_48
henderson_SE,498,238,nc_state_senate_district_48
henderson_LJ,889,558,nc_state_senate_district_48
henderson_ABSENTEE,1913,1061,nc_state_senate_district_48
henderson_NM,1289,652,nc_state_senate_district_48
henderson_PV,912,530,nc_state_senate_district_48
henderson_GM,568,251,nc_state_senate_district_48
henderson_MG,429,213,nc_state_senate_district_48
henderson_AT,1477,619,nc_state_senate_district_48
henderson_CV,246,121,nc_state_senate_district_48
henderson_FL,1596,1072,nc_state_senate_district_48
henderson_HV-1,813,710,nc_state_senate_district_48
henderson_HV-2,664,657,nc_state_senate_district_48
henderson_NW,773,446,nc_state_senate_district_48
henderson_BK,517,272,nc_state_senate_district_48
henderson_NE,661,390,nc_state_senate_district_48
henderson_SB,1380,380,nc_state_senate_district_48
transylvania_EF,403,286,nc_state_senate_district_48
transylvania_LR,765,369,nc_state_senate_district_48
transylvania_BD,1188,585,nc_state_senate_district_48
transylvania_PF,557,289,nc_state_senate_district_48
transylvania_B1,531,712,nc_state_senate_district_48
transylvania_CC,1125,500,nc_state_senate_district_48
transylvania_DR,954,796,nc_state_senate_district_48
transylvania_B3,689,699,nc_state_senate_district_48
transylvania_WC,717,503,nc_state_senate_district_48
transylvania_B2,430,596,nc_state_senate_district_48
transylvania_TC7,860,265,nc_state_senate_district_48
transylvania_RE,986,265,nc_state_senate_district_48
transylvania_CM,296,255,nc_state_senate_district_48
transylvania_B4,456,610,nc_state_senate_district_48
transylvania_TC1,482,93,nc_state_senate_district_48
