prec_id,Michael Speciale,Whit Whitley,election
beaufort_ONESTOP,1028,1619,nc_house_of_representatives_district_003
beaufort_AUROR,157,219,nc_house_of_representatives_district_003
beaufort_WASH2,111,234,nc_house_of_representatives_district_003
beaufort_WASH1,88,217,nc_house_of_representatives_district_003
beaufort_CHOCO,418,286,nc_house_of_representatives_district_003
beaufort_EDWAR,161,193,nc_house_of_representatives_district_003
beaufort_PSJW3,63,236,nc_house_of_representatives_district_003
beaufort_WASH4,61,70,nc_house_of_representatives_district_003
beaufort_BLCK,134,176,nc_house_of_representatives_district_003
craven_16,1134,496,nc_house_of_representatives_district_003
craven_19,461,172,nc_house_of_representatives_district_003
craven_20,1163,605,nc_house_of_representatives_district_003
craven_N3,23,5,nc_house_of_representatives_district_003
craven_12,185,51,nc_house_of_representatives_district_003
craven_15,67,58,nc_house_of_representatives_district_003
craven_17,782,247,nc_house_of_representatives_district_003
craven_11,849,314,nc_house_of_representatives_district_003
craven_14,629,626,nc_house_of_representatives_district_003
craven_2,1517,718,nc_house_of_representatives_district_003
craven_N5,174,139,nc_house_of_representatives_district_003
craven_13,231,90,nc_house_of_representatives_district_003
craven_21,632,305,nc_house_of_representatives_district_003
craven_N1,167,215,nc_house_of_representatives_district_003
craven_23,1377,772,nc_house_of_representatives_district_003
pamlico_4MSIC,33,82,nc_house_of_representatives_district_003
pamlico_4HB,77,35,nc_house_of_representatives_district_003
pamlico_2SW,115,112,nc_house_of_representatives_district_003
pamlico_2OT,653,514,nc_house_of_representatives_district_003
pamlico_1RB,445,218,nc_house_of_representatives_district_003
pamlico_1AL A,139,123,nc_house_of_representatives_district_003
pamlico_1GB,345,140,nc_house_of_representatives_district_003
pamlico_3BY,273,505,nc_house_of_representatives_district_003
pamlico_5AP,684,471,nc_house_of_representatives_district_003
pamlico_4VM A,45,64,nc_house_of_representatives_district_003
pamlico_CURBSIDE,44,84,nc_house_of_representatives_district_003
