prec_id,David L. Curtis,election
gaston_42,527,nc_state_senate_district_44
gaston_ONESTOP,685,nc_state_senate_district_44
gaston_43,674,nc_state_senate_district_44
iredell_ST2,849,nc_state_senate_district_44
iredell_ST5,809,nc_state_senate_district_44
iredell_SH-A,1126,nc_state_senate_district_44
iredell_SH-B,1106,nc_state_senate_district_44
iredell_FT,2559,nc_state_senate_district_44
iredell_ST1,1267,nc_state_senate_district_44
iredell_ST4,969,nc_state_senate_district_44
iredell_ST3,693,nc_state_senate_district_44
iredell_DV1-B,3281,nc_state_senate_district_44
iredell_CC1,1756,nc_state_senate_district_44
iredell_ST6,729,nc_state_senate_district_44
iredell_DV2-B,1401,nc_state_senate_district_44
iredell_CC3,2276,nc_state_senate_district_44
iredell_DV2-A,1520,nc_state_senate_district_44
iredell_CC2,1431,nc_state_senate_district_44
iredell_CC4,1654,nc_state_senate_district_44
iredell_DV1-A,2235,nc_state_senate_district_44
lincoln_LW31,635,nc_state_senate_district_44
lincoln_PC22,405,nc_state_senate_district_44
lincoln_IS20,485,nc_state_senate_district_44
lincoln_ONESTOP,6031,nc_state_senate_district_44
lincoln_AS25,653,nc_state_senate_district_44
lincoln_DN29,470,nc_state_senate_district_44
lincoln_NB35,818,nc_state_senate_district_44
lincoln_BS26,443,nc_state_senate_district_44
lincoln_LS12,234,nc_state_senate_district_44
lincoln_DV08,701,nc_state_senate_district_44
lincoln_DW28,389,nc_state_senate_district_44
lincoln_LN11,277,nc_state_senate_district_44
lincoln_LI14,362,nc_state_senate_district_44
lincoln_LW18,235,nc_state_senate_district_44
lincoln_HC33,737,nc_state_senate_district_44
lincoln_TA37,606,nc_state_senate_district_44
lincoln_IS23,580,nc_state_senate_district_44
lincoln_CF19,375,nc_state_senate_district_44
lincoln_ST36,655,nc_state_senate_district_44
lincoln_WP32,781,nc_state_senate_district_44
lincoln_OB21,461,nc_state_senate_district_44
lincoln_SL24,488,nc_state_senate_district_44
lincoln_LB34,673,nc_state_senate_district_44
lincoln_BC13,226,nc_state_senate_district_44
