prec_id,Garland E. Pierce,election
hoke_2,359,nc_house_of_representatives_district_048
hoke_5,245,nc_house_of_representatives_district_048
hoke_64,590,nc_house_of_representatives_district_048
hoke_65,374,nc_house_of_representatives_district_048
hoke_13,17,nc_house_of_representatives_district_048
hoke_61,577,nc_house_of_representatives_district_048
hoke_1,106,nc_house_of_representatives_district_048
hoke_4,133,nc_house_of_representatives_district_048
hoke_62,273,nc_house_of_representatives_district_048
hoke_63,844,nc_house_of_representatives_district_048
hoke_3,282,nc_house_of_representatives_district_048
richmond_1,481,nc_house_of_representatives_district_048
richmond_4,114,nc_house_of_representatives_district_048
richmond_7,145,nc_house_of_representatives_district_048
richmond_11,90,nc_house_of_representatives_district_048
richmond_5,12,nc_house_of_representatives_district_048
richmond_8,508,nc_house_of_representatives_district_048
richmond_ONESTOP,1492,nc_house_of_representatives_district_048
richmond_9,307,nc_house_of_representatives_district_048
richmond_10,93,nc_house_of_representatives_district_048
richmond_12,141,nc_house_of_representatives_district_048
richmond_2,39,nc_house_of_representatives_district_048
robeson_15,145,nc_house_of_representatives_district_048
robeson_7,87,nc_house_of_representatives_district_048
robeson_05A,631,nc_house_of_representatives_district_048
robeson_1,27,nc_house_of_representatives_district_048
robeson_16,225,nc_house_of_representatives_district_048
robeson_38,0,nc_house_of_representatives_district_048
robeson_19,609,nc_house_of_representatives_district_048
robeson_29,363,nc_house_of_representatives_district_048
robeson_ONESTOP,1043,nc_house_of_representatives_district_048
robeson_36,46,nc_house_of_representatives_district_048
robeson_12,0,nc_house_of_representatives_district_048
robeson_17,89,nc_house_of_representatives_district_048
robeson_26A,679,nc_house_of_representatives_district_048
robeson_2,120,nc_house_of_representatives_district_048
scotland_1,1040,nc_house_of_representatives_district_048
scotland_4,430,nc_house_of_representatives_district_048
scotland_7,1133,nc_house_of_representatives_district_048
scotland_2,749,nc_house_of_representatives_district_048
scotland_5,386,nc_house_of_representatives_district_048
scotland_8,52,nc_house_of_representatives_district_048
scotland_ONESTOP,0,nc_house_of_representatives_district_048
scotland_9,0,nc_house_of_representatives_district_048
scotland_6,194,nc_house_of_representatives_district_048
scotland_3,400,nc_house_of_representatives_district_048
scotland_10,330,nc_house_of_representatives_district_048
