prec_id,Devin R. King,Gladys A. Robinson,election
guilford_G56,249,935,nc_state_senate_district_28
guilford_G59,179,784,nc_state_senate_district_28
guilford_G67,27,952,nc_state_senate_district_28
guilford_G64,355,1332,nc_state_senate_district_28
guilford_G53,121,1876,nc_state_senate_district_28
guilford_H29A,569,863,nc_state_senate_district_28
guilford_H05,189,1143,nc_state_senate_district_28
guilford_G10,304,1526,nc_state_senate_district_28
guilford_G12,168,685,nc_state_senate_district_28
guilford_H09,25,932,nc_state_senate_district_28
guilford_G49,131,653,nc_state_senate_district_28
guilford_G61,210,1037,nc_state_senate_district_28
guilford_G48,439,1629,nc_state_senate_district_28
guilford_G50,331,1558,nc_state_senate_district_28
guilford_G43,399,873,nc_state_senate_district_28
guilford_SUM1,42,563,nc_state_senate_district_28
guilford_G09,277,1630,nc_state_senate_district_28
guilford_G45,385,2137,nc_state_senate_district_28
guilford_G44,275,1240,nc_state_senate_district_28
guilford_FR1,387,812,nc_state_senate_district_28
guilford_G05,60,1016,nc_state_senate_district_28
guilford_ABS/CURB/PROV 4,0,0,nc_state_senate_district_28
guilford_H11,157,957,nc_state_senate_district_28
guilford_H18,241,996,nc_state_senate_district_28
guilford_H19B,289,377,nc_state_senate_district_28
guilford_G72,80,1462,nc_state_senate_district_28
guilford_G71,40,1462,nc_state_senate_district_28
guilford_H10,142,1266,nc_state_senate_district_28
guilford_CG3B,59,238,nc_state_senate_district_28
guilford_G11,249,826,nc_state_senate_district_28
guilford_MON2A,83,1032,nc_state_senate_district_28
guilford_H19A,99,801,nc_state_senate_district_28
guilford_G57,229,1124,nc_state_senate_district_28
guilford_G68,35,1234,nc_state_senate_district_28
guilford_G06,31,1016,nc_state_senate_district_28
guilford_G46,81,1763,nc_state_senate_district_28
guilford_H28,923,1210,nc_state_senate_district_28
guilford_SUM2,74,690,nc_state_senate_district_28
guilford_G26,108,1099,nc_state_senate_district_28
guilford_G54,188,1586,nc_state_senate_district_28
guilford_G62,348,595,nc_state_senate_district_28
guilford_G51,305,814,nc_state_senate_district_28
guilford_G47,289,1460,nc_state_senate_district_28
guilford_JEF3,404,2286,nc_state_senate_district_28
guilford_ABS/PROV/CURB 1,28,237,nc_state_senate_district_28
guilford_G14,253,666,nc_state_senate_district_28
guilford_G52,111,1141,nc_state_senate_district_28
guilford_G55,287,1507,nc_state_senate_district_28
guilford_G58,187,1268,nc_state_senate_district_28
guilford_G63,436,880,nc_state_senate_district_28
guilford_G60,265,909,nc_state_senate_district_28
guilford_H29B,668,1046,nc_state_senate_district_28
guilford_JEF2,11,25,nc_state_senate_district_28
guilford_H07,70,815,nc_state_senate_district_28
guilford_G69,120,1379,nc_state_senate_district_28
guilford_PG1,160,108,nc_state_senate_district_28
guilford_ABS/PROV/CURB 3,19,131,nc_state_senate_district_28
guilford_H08,50,571,nc_state_senate_district_28
guilford_H03,24,317,nc_state_senate_district_28
guilford_G74,21,1518,nc_state_senate_district_28
guilford_G02,202,586,nc_state_senate_district_28
guilford_G73,21,1043,nc_state_senate_district_28
guilford_G37,399,1355,nc_state_senate_district_28
guilford_ABS/PROV/CURB 2,84,547,nc_state_senate_district_28
guilford_G07,280,955,nc_state_senate_district_28
guilford_G04,90,1130,nc_state_senate_district_28
guilford_G01,79,793,nc_state_senate_district_28
guilford_G70,42,1483,nc_state_senate_district_28
guilford_G75,77,1154,nc_state_senate_district_28
guilford_G03,73,1241,nc_state_senate_district_28
guilford_G08,310,1228,nc_state_senate_district_28
guilford_FR2,26,14,nc_state_senate_district_28
guilford_FEN1,296,1715,nc_state_senate_district_28
