prec_id,John A. Torbett,election
gaston_9,235,nc_house_of_representatives_district_108
gaston_10,374,nc_house_of_representatives_district_108
gaston_26,447,nc_house_of_representatives_district_108
gaston_24,441,nc_house_of_representatives_district_108
gaston_30,322,nc_house_of_representatives_district_108
gaston_44,860,nc_house_of_representatives_district_108
gaston_13,476,nc_house_of_representatives_district_108
gaston_18,798,nc_house_of_representatives_district_108
gaston_42,517,nc_house_of_representatives_district_108
gaston_8,150,nc_house_of_representatives_district_108
gaston_32,502,nc_house_of_representatives_district_108
gaston_ONESTOP,5324,nc_house_of_representatives_district_108
gaston_12,431,nc_house_of_representatives_district_108
gaston_45,434,nc_house_of_representatives_district_108
gaston_7,22,nc_house_of_representatives_district_108
gaston_25,393,nc_house_of_representatives_district_108
gaston_14,267,nc_house_of_representatives_district_108
gaston_43,680,nc_house_of_representatives_district_108
gaston_46,646,nc_house_of_representatives_district_108
