prec_id,Don Davis,election
greene_CAST,171,nc_state_senate_district_05
greene_ONESTOP,1709,nc_state_senate_district_05
greene_MAUR,345,nc_state_senate_district_05
greene_BULL,172,nc_state_senate_district_05
greene_WALS,277,nc_state_senate_district_05
greene_SHIN,264,nc_state_senate_district_05
greene_SUGG,185,nc_state_senate_district_05
greene_HOOK,163,nc_state_senate_district_05
greene_BEAR,165,nc_state_senate_district_05
greene_SH#1,207,nc_state_senate_district_05
greene_ARBA,213,nc_state_senate_district_05
lenoir_K3,327,nc_state_senate_district_05
lenoir_N,154,nc_state_senate_district_05
lenoir_CURBSIDE,0,nc_state_senate_district_05
lenoir_I,192,nc_state_senate_district_05
lenoir_V,609,nc_state_senate_district_05
lenoir_K4,253,nc_state_senate_district_05
lenoir_MH,1013,nc_state_senate_district_05
lenoir_C,131,nc_state_senate_district_05
lenoir_K5,503,nc_state_senate_district_05
lenoir_K1,274,nc_state_senate_district_05
lenoir_K7,739,nc_state_senate_district_05
lenoir_K2,332,nc_state_senate_district_05
lenoir_K6,777,nc_state_senate_district_05
lenoir_K8,512,nc_state_senate_district_05
lenoir_K9,771,nc_state_senate_district_05
pitt_0200A,321,nc_state_senate_district_05
pitt_101,479,nc_state_senate_district_05
pitt_1509,148,nc_state_senate_district_05
pitt_1506,106,nc_state_senate_district_05
pitt_1507,120,nc_state_senate_district_05
pitt_1201,336,nc_state_senate_district_05
pitt_1403A2,103,nc_state_senate_district_05
pitt_0200B,304,nc_state_senate_district_05
pitt_1403B,213,nc_state_senate_district_05
pitt_1512A,479,nc_state_senate_district_05
pitt_1512B,133,nc_state_senate_district_05
pitt_1508A,14,nc_state_senate_district_05
pitt_1403A1,90,nc_state_senate_district_05
pitt_ONESTOP,6812,nc_state_senate_district_05
pitt_0800B,380,nc_state_senate_district_05
pitt_1001,278,nc_state_senate_district_05
pitt_1102A,29,nc_state_senate_district_05
pitt_1101,39,nc_state_senate_district_05
pitt_0800A,400,nc_state_senate_district_05
pitt_901,177,nc_state_senate_district_05
pitt_501,204,nc_state_senate_district_05
pitt_401,471,nc_state_senate_district_05
pitt_1505A,349,nc_state_senate_district_05
pitt_1504A,400,nc_state_senate_district_05
pitt_1504B,544,nc_state_senate_district_05
pitt_701,285,nc_state_senate_district_05
pitt_301,606,nc_state_senate_district_05
pitt_1503,398,nc_state_senate_district_05
pitt_1501,161,nc_state_senate_district_05
pitt_1505B,522,nc_state_senate_district_05
wayne_22,48,nc_state_senate_district_05
wayne_ONESTOP,5076,nc_state_senate_district_05
wayne_30,267,nc_state_senate_district_05
wayne_21,210,nc_state_senate_district_05
wayne_16,118,nc_state_senate_district_05
wayne_14,3,nc_state_senate_district_05
wayne_19,277,nc_state_senate_district_05
wayne_11,209,nc_state_senate_district_05
wayne_26,344,nc_state_senate_district_05
wayne_9,3,nc_state_senate_district_05
wayne_10,275,nc_state_senate_district_05
wayne_6,140,nc_state_senate_district_05
wayne_17,201,nc_state_senate_district_05
wayne_15,2,nc_state_senate_district_05
wayne_28,72,nc_state_senate_district_05
wayne_25,21,nc_state_senate_district_05
wayne_7,222,nc_state_senate_district_05
wayne_12,410,nc_state_senate_district_05
wayne_13,316,nc_state_senate_district_05
wayne_18,224,nc_state_senate_district_05
wayne_27,320,nc_state_senate_district_05
wayne_20,340,nc_state_senate_district_05
wayne_29,292,nc_state_senate_district_05
