prec_id,Joyce Waddell,Marguerite Cooke,election
mecklenburg_CURBSIDE 21-40,918,75,nc_state_senate_district_40
mecklenburg_4,1040,327,nc_state_senate_district_40
mecklenburg_94,825,363,nc_state_senate_district_40
mecklenburg_123,1329,288,nc_state_senate_district_40
mecklenburg_115,745,289,nc_state_senate_district_40
mecklenburg_7,714,267,nc_state_senate_district_40
mecklenburg_234,386,273,nc_state_senate_district_40
mecklenburg_CURBSIDE 41-60,8,3,nc_state_senate_district_40
mecklenburg_63,1104,260,nc_state_senate_district_40
mecklenburg_34,488,168,nc_state_senate_district_40
mecklenburg_82,1733,110,nc_state_senate_district_40
mecklenburg_83,1523,586,nc_state_senate_district_40
mecklenburg_132,857,302,nc_state_senate_district_40
mecklenburg_42,1598,70,nc_state_senate_district_40
mecklenburg_28,1155,198,nc_state_senate_district_40
mecklenburg_203,2008,407,nc_state_senate_district_40
mecklenburg_201,1702,548,nc_state_senate_district_40
mecklenburg_17,995,89,nc_state_senate_district_40
mecklenburg_54,1649,123,nc_state_senate_district_40
mecklenburg_35,219,138,nc_state_senate_district_40
mecklenburg_62,1041,218,nc_state_senate_district_40
mecklenburg_146,2169,358,nc_state_senate_district_40
mecklenburg_CURBSIDE 61-80,4,2,nc_state_senate_district_40
mecklenburg_95,962,249,nc_state_senate_district_40
mecklenburg_104,1748,150,nc_state_senate_district_40
mecklenburg_105,2058,524,nc_state_senate_district_40
mecklenburg_102,1927,778,nc_state_senate_district_40
mecklenburg_130,720,280,nc_state_senate_district_40
mecklenburg_56,849,29,nc_state_senate_district_40
mecklenburg_CURBSIDE 1-20,836,68,nc_state_senate_district_40
mecklenburg_204.1,2142,436,nc_state_senate_district_40
mecklenburg_125,637,197,nc_state_senate_district_40
mecklenburg_14,1291,174,nc_state_senate_district_40
mecklenburg_26,1858,222,nc_state_senate_district_40
mecklenburg_108,1172,156,nc_state_senate_district_40
mecklenburg_43,1561,151,nc_state_senate_district_40
mecklenburg_CURBSIDE 81-96,11,4,nc_state_senate_district_40
mecklenburg_235,906,329,nc_state_senate_district_40
mecklenburg_85,358,87,nc_state_senate_district_40
mecklenburg_99,1090,168,nc_state_senate_district_40
mecklenburg_117,918,288,nc_state_senate_district_40
mecklenburg_116,804,200,nc_state_senate_district_40
mecklenburg_60,1193,79,nc_state_senate_district_40
mecklenburg_55,967,35,nc_state_senate_district_40
mecklenburg_13,269,54,nc_state_senate_district_40
mecklenburg_126,1654,287,nc_state_senate_district_40
mecklenburg_149,2872,584,nc_state_senate_district_40
mecklenburg_107.1,1962,431,nc_state_senate_district_40
mecklenburg_124,1333,154,nc_state_senate_district_40
mecklenburg_3,1299,85,nc_state_senate_district_40
mecklenburg_64,72,17,nc_state_senate_district_40
mecklenburg_205,692,193,nc_state_senate_district_40
mecklenburg_27,1343,118,nc_state_senate_district_40
