prec_id,Margie Storch,Rob Bryan,election
mecklenburg_20,597,536,nc_house_of_representatives_district_088
mecklenburg_88,453,487,nc_house_of_representatives_district_088
mecklenburg_18,300,647,nc_house_of_representatives_district_088
mecklenburg_58,379,301,nc_house_of_representatives_district_088
mecklenburg_49,438,518,nc_house_of_representatives_district_088
mecklenburg_50,421,330,nc_house_of_representatives_district_088
mecklenburg_101,363,678,nc_house_of_representatives_district_088
mecklenburg_10,681,446,nc_house_of_representatives_district_088
mecklenburg_21,536,287,nc_house_of_representatives_district_088
mecklenburg_120,11,12,nc_house_of_representatives_district_088
mecklenburg_86,181,428,nc_house_of_representatives_district_088
mecklenburg_87,260,245,nc_house_of_representatives_district_088
mecklenburg_CURBSIDE,72,68,nc_house_of_representatives_district_088
mecklenburg_59,304,243,nc_house_of_representatives_district_088
mecklenburg_51,659,503,nc_house_of_representatives_district_088
mecklenburg_75,555,983,nc_house_of_representatives_district_088
mecklenburg_92,532,844,nc_house_of_representatives_district_088
mecklenburg_76,622,801,nc_house_of_representatives_district_088
mecklenburg_1,95,165,nc_house_of_representatives_district_088
mecklenburg_47,160,240,nc_house_of_representatives_district_088
mecklenburg_32,321,791,nc_house_of_representatives_district_088
mecklenburg_37,431,438,nc_house_of_representatives_district_088
mecklenburg_38,414,317,nc_house_of_representatives_district_088
mecklenburg_57,450,558,nc_house_of_representatives_district_088
mecklenburg_8,414,743,nc_house_of_representatives_district_088
mecklenburg_19,357,563,nc_house_of_representatives_district_088
mecklenburg_9,590,454,nc_house_of_representatives_district_088
mecklenburg_93,304,559,nc_house_of_representatives_district_088
mecklenburg_226,492,629,nc_house_of_representatives_district_088
