prec_id,Mark Meadows,Tom Hill,election
cherokee_CSON,268,105,us_house_of_representatives_district_11
clay_HAY2,471,222,us_house_of_representatives_district_11
clay_HAYC,143,76,us_house_of_representatives_district_11
clay_BRAS,299,143,us_house_of_representatives_district_11
clay_HAY1,437,188,us_house_of_representatives_district_11
clay_HIAW,524,176,us_house_of_representatives_district_11
clay_SHCR,519,158,us_house_of_representatives_district_11
clay_SWEE,241,101,us_house_of_representatives_district_11
clay_WARN,238,105,us_house_of_representatives_district_11
clay_TUSQ,255,118,us_house_of_representatives_district_11
graham_TAPO,200,42,us_house_of_representatives_district_11
graham_STEC,444,154,us_house_of_representatives_district_11
graham_EAST,840,444,us_house_of_representatives_district_11
graham_WEST,768,358,us_house_of_representatives_district_11
haywood_PC,322,139,us_house_of_representatives_district_11
haywood_CURBSIDE,0,0,us_house_of_representatives_district_11
haywood_BE56,378,373,us_house_of_representatives_district_11
haywood_CL-N,539,347,us_house_of_representatives_district_11
haywood_CL-S,562,381,us_house_of_representatives_district_11
haywood_BE-1,306,143,us_house_of_representatives_district_11
haywood_JC,759,505,us_house_of_representatives_district_11
haywood_BE-4,427,204,us_house_of_representatives_district_11
haywood_CE,116,37,us_house_of_representatives_district_11
haywood_EF,325,147,us_house_of_representatives_district_11
haywood_WO,67,72,us_house_of_representatives_district_11
haywood_P,807,339,us_house_of_representatives_district_11
haywood_BE-3,512,268,us_house_of_representatives_district_11
haywood_FC-2,57,31,us_house_of_representatives_district_11
haywood_BC,8,5,us_house_of_representatives_district_11
haywood_BE-7,362,125,us_house_of_representatives_district_11
haywood_BE-2,241,196,us_house_of_representatives_district_11
haywood_IH,944,603,us_house_of_representatives_district_11
haywood_FC-1,179,133,us_house_of_representatives_district_11
haywood_CR,420,334,us_house_of_representatives_district_11
haywood_SA,536,393,us_house_of_representatives_district_11
haywood_WS-1,534,495,us_house_of_representatives_district_11
haywood_WS-2,416,408,us_house_of_representatives_district_11
haywood_HA,177,183,us_house_of_representatives_district_11
haywood_ID,229,205,us_house_of_representatives_district_11
haywood_WC,125,165,us_house_of_representatives_district_11
