prec_id,Nathan A. Baskerville,election
granville_WOEL,520,nc_house_of_representatives_district_032
granville_ANTI,338,nc_house_of_representatives_district_032
granville_OKHL,426,nc_house_of_representatives_district_032
granville_SOOX,585,nc_house_of_representatives_district_032
granville_SASS,578,nc_house_of_representatives_district_032
granville_CORI,279,nc_house_of_representatives_district_032
granville_CRDL,366,nc_house_of_representatives_district_032
granville_EAOX,544,nc_house_of_representatives_district_032
granville_SALM,311,nc_house_of_representatives_district_032
vance_KITT,1227,nc_house_of_representatives_district_032
vance_EH1,831,nc_house_of_representatives_district_032
vance_NH1,845,nc_house_of_representatives_district_032
vance_NV,462,nc_house_of_representatives_district_032
vance_SCRK,1325,nc_house_of_representatives_district_032
vance_NH,1284,nc_house_of_representatives_district_032
vance_SH2,252,nc_house_of_representatives_district_032
vance_MIDD,1163,nc_house_of_representatives_district_032
vance_SH1,737,nc_house_of_representatives_district_032
vance_WH,1509,nc_house_of_representatives_district_032
vance_CC,937,nc_house_of_representatives_district_032
vance_HTOP,327,nc_house_of_representatives_district_032
warren_14,544,nc_house_of_representatives_district_032
warren_11,148,nc_house_of_representatives_district_032
warren_8,504,nc_house_of_representatives_district_032
warren_9,208,nc_house_of_representatives_district_032
warren_3,316,nc_house_of_representatives_district_032
warren_2,281,nc_house_of_representatives_district_032
warren_12,238,nc_house_of_representatives_district_032
warren_7,303,nc_house_of_representatives_district_032
warren_6,462,nc_house_of_representatives_district_032
warren_1,336,nc_house_of_representatives_district_032
warren_10,736,nc_house_of_representatives_district_032
warren_13,174,nc_house_of_representatives_district_032
warren_4,300,nc_house_of_representatives_district_032
warren_5,535,nc_house_of_representatives_district_032
