prec_id,Jim Nolan,Patricia (Pat) McElraft,election
carteret_EMIS,219,682,nc_house_of_representatives_district_013
carteret_BOGU,132,553,nc_house_of_representatives_district_013
carteret_WILD,176,505,nc_house_of_representatives_district_013
carteret_ATSL,83,145,nc_house_of_representatives_district_013
carteret_PELE,48,207,nc_house_of_representatives_district_013
carteret_NPT2,117,519,nc_house_of_representatives_district_013
carteret_CISL,22,44,nc_house_of_representatives_district_013
carteret_PKNL,170,403,nc_house_of_representatives_district_013
carteret_NRIV,128,66,nc_house_of_representatives_district_013
carteret_IBSP,33,87,nc_house_of_representatives_district_013
carteret_BFT2,303,379,nc_house_of_representatives_district_013
carteret_DASW,55,162,nc_house_of_representatives_district_013
carteret_MHD3,325,669,nc_house_of_representatives_district_013
carteret_MHD4,214,592,nc_house_of_representatives_district_013
carteret_STEL,71,308,nc_house_of_representatives_district_013
carteret_MHD2,277,463,nc_house_of_representatives_district_013
carteret_MCRK,42,152,nc_house_of_representatives_district_013
carteret_MHD1,253,486,nc_house_of_representatives_district_013
carteret_MERR,64,110,nc_house_of_representatives_district_013
carteret_NPT1,232,539,nc_house_of_representatives_district_013
carteret_CCCP,126,516,nc_house_of_representatives_district_013
carteret_HAIS,98,278,nc_house_of_representatives_district_013
carteret_OTBE,131,427,nc_house_of_representatives_district_013
carteret_WIHA,128,344,nc_house_of_representatives_district_013
carteret_BFT1,207,115,nc_house_of_representatives_district_013
carteret_ABCH,94,357,nc_house_of_representatives_district_013
carteret_BCRK,111,412,nc_house_of_representatives_district_013
carteret_MASM,78,171,nc_house_of_representatives_district_013
carteret_ONESTOP,3141,7428,nc_house_of_representatives_district_013
jones_P03,61,172,nc_house_of_representatives_district_013
jones_P06,64,184,nc_house_of_representatives_district_013
jones_P02,41,147,nc_house_of_representatives_district_013
jones_P05,294,208,nc_house_of_representatives_district_013
jones_P07,184,328,nc_house_of_representatives_district_013
jones_ONESTOP,361,693,nc_house_of_representatives_district_013
jones_P01,128,151,nc_house_of_representatives_district_013
jones_P04,226,464,nc_house_of_representatives_district_013
