prec_id,Art Sherwood,Deanna Ballard,election
avery_18,21,118,nc_state_senate_district_45
avery_13,38,147,nc_state_senate_district_45
avery_2,236,523,nc_state_senate_district_45
avery_16,105,331,nc_state_senate_district_45
avery_14,33,232,nc_state_senate_district_45
avery_19,11,127,nc_state_senate_district_45
avery_8,22,135,nc_state_senate_district_45
avery_5,11,100,nc_state_senate_district_45
avery_11,50,133,nc_state_senate_district_45
avery_12,6,109,nc_state_senate_district_45
avery_17,33,223,nc_state_senate_district_45
avery_9,13,150,nc_state_senate_district_45
avery_10,56,257,nc_state_senate_district_45
avery_6,38,237,nc_state_senate_district_45
avery_3,34,178,nc_state_senate_district_45
avery_4,7,25,nc_state_senate_district_45
avery_7,12,99,nc_state_senate_district_45
avery_1,67,278,nc_state_senate_district_45
avery_ABSENTEE,78,235,nc_state_senate_district_45
avery_15,33,170,nc_state_senate_district_45
caldwell_PR01,182,379,nc_state_senate_district_45
caldwell_PR08,107,260,nc_state_senate_district_45
caldwell_ABSENTEE,317,682,nc_state_senate_district_45
caldwell_PR17,120,190,nc_state_senate_district_45
caldwell_PR32,145,555,nc_state_senate_district_45
caldwell_PR24,60,218,nc_state_senate_district_45
caldwell_PR29,199,280,nc_state_senate_district_45
caldwell_PR33,263,634,nc_state_senate_district_45
caldwell_PR18,209,461,nc_state_senate_district_45
caldwell_PR13,143,632,nc_state_senate_district_45
caldwell_PR02,101,239,nc_state_senate_district_45
caldwell_PR07,99,371,nc_state_senate_district_45
caldwell_PR25,83,251,nc_state_senate_district_45
caldwell_PR35,71,307,nc_state_senate_district_45
caldwell_PR22,129,452,nc_state_senate_district_45
caldwell_PR34,190,673,nc_state_senate_district_45
caldwell_PR14,122,330,nc_state_senate_district_45
caldwell_PR16,117,128,nc_state_senate_district_45
caldwell_PR21,128,504,nc_state_senate_district_45
caldwell_PR30,202,202,nc_state_senate_district_45
caldwell_PR31,101,148,nc_state_senate_district_45
ashe_17,54,263,nc_state_senate_district_45
ashe_4,55,112,nc_state_senate_district_45
ashe_7,38,104,nc_state_senate_district_45
ashe_12,69,247,nc_state_senate_district_45
ashe_15,70,264,nc_state_senate_district_45
ashe_20,201,536,nc_state_senate_district_45
ashe_10,21,71,nc_state_senate_district_45
ashe_ABSENTEE,162,301,nc_state_senate_district_45
ashe_8,29,47,nc_state_senate_district_45
ashe_16,92,341,nc_state_senate_district_45
ashe_14,105,319,nc_state_senate_district_45
ashe_2,122,305,nc_state_senate_district_45
ashe_11,161,412,nc_state_senate_district_45
ashe_13,94,274,nc_state_senate_district_45
ashe_18,8,63,nc_state_senate_district_45
ashe_9,231,522,nc_state_senate_district_45
ashe_6,40,138,nc_state_senate_district_45
ashe_3,34,186,nc_state_senate_district_45
alleghany_03A,800,1476,nc_state_senate_district_45
alleghany_ABSENTEE,0,0,nc_state_senate_district_45
alleghany_4,221,674,nc_state_senate_district_45
alleghany_1,199,618,nc_state_senate_district_45
alleghany_CURBSIDE,0,0,nc_state_senate_district_45
alleghany_06A,296,694,nc_state_senate_district_45
watauga_1,47,85,nc_state_senate_district_45
watauga_20,63,120,nc_state_senate_district_45
watauga_7,286,401,nc_state_senate_district_45
watauga_4,206,499,nc_state_senate_district_45
watauga_5,136,88,nc_state_senate_district_45
watauga_2,81,269,nc_state_senate_district_45
watauga_OS MEAT CAMP,230,471,nc_state_senate_district_45
watauga_11,168,366,nc_state_senate_district_45
watauga_8,174,377,nc_state_senate_district_45
watauga_14,221,310,nc_state_senate_district_45
watauga_16,12,45,nc_state_senate_district_45
watauga_19,248,550,nc_state_senate_district_45
watauga_OS BLOWING ROCK,448,595,nc_state_senate_district_45
watauga_OS ADMIN,4841,3865,nc_state_senate_district_45
watauga_9,59,108,nc_state_senate_district_45
watauga_6,196,127,nc_state_senate_district_45
watauga_3,229,345,nc_state_senate_district_45
watauga_12,160,120,nc_state_senate_district_45
watauga_15,254,401,nc_state_senate_district_45
watauga_ABSENTEE MAIL,582,557,nc_state_senate_district_45
watauga_17,72,171,nc_state_senate_district_45
watauga_OS ASU,4017,1854,nc_state_senate_district_45
watauga_10,89,195,nc_state_senate_district_45
watauga_OS WESTERN W,311,664,nc_state_senate_district_45
watauga_18,98,336,nc_state_senate_district_45
watauga_13,207,191,nc_state_senate_district_45
watauga_OS DEEP GAP,249,665,nc_state_senate_district_45
