prec_id,Rodney W. Moore,election
mecklenburg_CURBSIDE,281,nc_house_of_representatives_district_099
mecklenburg_116,524,nc_house_of_representatives_district_099
mecklenburg_123,813,nc_house_of_representatives_district_099
mecklenburg_4,699,nc_house_of_representatives_district_099
mecklenburg_204.1,1641,nc_house_of_representatives_district_099
mecklenburg_61,334,nc_house_of_representatives_district_099
mecklenburg_205,410,nc_house_of_representatives_district_099
mecklenburg_149,1526,nc_house_of_representatives_district_099
mecklenburg_60,805,nc_house_of_representatives_district_099
mecklenburg_3,701,nc_house_of_representatives_district_099
mecklenburg_84,642,nc_house_of_representatives_district_099
mecklenburg_43,872,nc_house_of_representatives_district_099
mecklenburg_124,812,nc_house_of_representatives_district_099
mecklenburg_203,1187,nc_house_of_representatives_district_099
mecklenburg_201,793,nc_house_of_representatives_district_099
mecklenburg_104,1105,nc_house_of_representatives_district_099
mecklenburg_108,698,nc_house_of_representatives_district_099
mecklenburg_95,534,nc_house_of_representatives_district_099
mecklenburg_83,374,nc_house_of_representatives_district_099
mecklenburg_6,177,nc_house_of_representatives_district_099
