prec_id,Howard J. Hunter III,Sidney Pierce III,election
bertie_MH,133,97,nc_house_of_representatives_district_005
bertie_W1,523,231,nc_house_of_representatives_district_005
bertie_C2,277,82,nc_house_of_representatives_district_005
bertie_WH,151,163,nc_house_of_representatives_district_005
bertie_C1,143,168,nc_house_of_representatives_district_005
bertie_WD,208,22,nc_house_of_representatives_district_005
bertie_M2,228,85,nc_house_of_representatives_district_005
bertie_W2,48,193,nc_house_of_representatives_district_005
bertie_RX,317,70,nc_house_of_representatives_district_005
bertie_SN,164,32,nc_house_of_representatives_district_005
bertie_M1,148,107,nc_house_of_representatives_district_005
bertie_IW,127,13,nc_house_of_representatives_district_005
bertie_ONESTOP,1697,692,nc_house_of_representatives_district_005
gates_4S,209,125,nc_house_of_representatives_district_005
gates_4N,184,287,nc_house_of_representatives_district_005
gates_3,309,250,nc_house_of_representatives_district_005
gates_ONESTOP,527,267,nc_house_of_representatives_district_005
gates_5,147,202,nc_house_of_representatives_district_005
gates_1,230,193,nc_house_of_representatives_district_005
gates_2,120,220,nc_house_of_representatives_district_005
hertford_M1,654,205,nc_house_of_representatives_district_005
hertford_ONESTOP,1219,267,nc_house_of_representatives_district_005
hertford_A3,440,17,nc_house_of_representatives_district_005
hertford_ML,98,109,nc_house_of_representatives_district_005
hertford_SJ,222,60,nc_house_of_representatives_district_005
hertford_CM,98,66,nc_house_of_representatives_district_005
hertford_BR,154,16,nc_house_of_representatives_district_005
hertford_UN,187,85,nc_house_of_representatives_district_005
hertford_WN,174,78,nc_house_of_representatives_district_005
hertford_A2,404,205,nc_house_of_representatives_district_005
hertford_A1,424,175,nc_house_of_representatives_district_005
hertford_CO,164,24,nc_house_of_representatives_district_005
hertford_HV,191,76,nc_house_of_representatives_district_005
hertford_M2,321,68,nc_house_of_representatives_district_005
pasquotank_ONESTOP,1804,732,nc_house_of_representatives_district_005
pasquotank_4-B,271,42,nc_house_of_representatives_district_005
pasquotank_4-A,169,8,nc_house_of_representatives_district_005
pasquotank_PRO,55,87,nc_house_of_representatives_district_005
pasquotank_MH,360,387,nc_house_of_representatives_district_005
pasquotank_3-A,146,49,nc_house_of_representatives_district_005
pasquotank_2-B,115,40,nc_house_of_representatives_district_005
pasquotank_2-A,78,29,nc_house_of_representatives_district_005
pasquotank_1-A,120,60,nc_house_of_representatives_district_005
pasquotank_1-B,90,42,nc_house_of_representatives_district_005
pasquotank_3-B,196,11,nc_house_of_representatives_district_005
pasquotank_NEW,182,61,nc_house_of_representatives_district_005
