prec_id,Ralph C. Johnson,election
guilford_FEN1,1042,nc_house_of_representatives_district_058
guilford_JEF4,11,nc_house_of_representatives_district_058
guilford_G15,397,nc_house_of_representatives_district_058
guilford_SUM2,378,nc_house_of_representatives_district_058
guilford_G16,553,nc_house_of_representatives_district_058
guilford_CURBSIDE,149,nc_house_of_representatives_district_058
guilford_JEF3,1444,nc_house_of_representatives_district_058
guilford_G17,580,nc_house_of_representatives_district_058
guilford_G33,539,nc_house_of_representatives_district_058
guilford_G35,455,nc_house_of_representatives_district_058
guilford_G36,456,nc_house_of_representatives_district_058
guilford_G34,680,nc_house_of_representatives_district_058
guilford_G47,634,nc_house_of_representatives_district_058
guilford_G69,748,nc_house_of_representatives_district_058
guilford_G51,459,nc_house_of_representatives_district_058
guilford_G54,790,nc_house_of_representatives_district_058
guilford_G71,704,nc_house_of_representatives_district_058
guilford_G46,771,nc_house_of_representatives_district_058
guilford_G52,607,nc_house_of_representatives_district_058
guilford_G48,303,nc_house_of_representatives_district_058
guilford_G12,313,nc_house_of_representatives_district_058
guilford_G73,588,nc_house_of_representatives_district_058
guilford_G74,908,nc_house_of_representatives_district_058
guilford_G14,386,nc_house_of_representatives_district_058
guilford_G44,529,nc_house_of_representatives_district_058
guilford_G45,474,nc_house_of_representatives_district_058
guilford_G70,638,nc_house_of_representatives_district_058
guilford_G75,674,nc_house_of_representatives_district_058
guilford_G50,268,nc_house_of_representatives_district_058
guilford_G53,1024,nc_house_of_representatives_district_058
guilford_G20,171,nc_house_of_representatives_district_058
guilford_G18,435,nc_house_of_representatives_district_058
